,Concept_ID,myv,ba
539,Schuld::N,чумочи,ғәйеп
540,Alter::N,шка,йәш
541,Schluss::N,пе,һуң
542,Schluss::N,пе,аҙаҡ
543,Zeit::N,шка,мәл
544,Zeit::N,шка,заман
545,Zeit::N,пинге,мәл
546,Zeit::N,пинге,заман
547,Tag::N,чи,көн
548,Morgen::N,валске,иртә
549,Morgen::N,валске,иртәнсәк
550,Mittag::N,чикуншка,төш
551,Abend::N,чокшнэ,кис
552,Nacht::N,ве,төн
553,Woche::N,недля,аҙна
554,Monat::N,ков,ай
555,Jahr::N,ие,йыл
556,Frühling::N,тундо,яҙ
557,Sommer::N,кизэ,йәй
558,Herbst::N,сёксь,көз
559,Winter::N,теле,ҡыш
560,Januar::N,якшамков,ғинуар
561,Februar::N,февраль,февраль
562,März::N,март,март
563,April::N,апрель,апрель
564,Mai::N,май,май
565,Juni::N,июнь,июнь
566,Juli::N,июль,июль
567,August::N,август,август
568,September::N,сентября,сентябрь
569,Oktober::N,октября,октябрь
570,November::N,ноября,ноябрь
571,Dezember::N,декабря,декабрь
572,Montag::N,пондельник,дүшәмбе
573,Dienstag::N,овторник,шишәмбе
574,Mittwoch::N,серёда,шаршамбы
575,Donnerstag::N,цетьверьг,кесаҙна
576,Freitag::N,пеця,йома
577,Samstag::N,субута,шәмбе
578,Samstag::N,шлямочи,шәмбе
579,Sonntag::N,недлячи,йәкшәмбе
580,groß::A,ине,ҙур
581,groß::A,покш,ҙур
582,klein::A,вишка,бәләкәс
583,lang::A,кувака,оҙон
584,kurz::A,нурькине,ҡыҫҡа
585,breit::A,келей,киң
586,schmal::A,теине,тар
587,dicht::A,тусто,йыш
588,dicht::A,тусто,ҡуйы
589,dick[Gegenstand]::A,эчке,ҡалын
590,dünn::A,човине,йоҡа
591,dünn::A,човине,нәҙек
592,fein::A,човине,нескә
593,fest::A,кеме,ныҡ
594,flach::A,лапужа,яҫы
595,flach::A,лапужа,ялпаҡ
596,glatt::A,валаня,шыма
597,hart::A,калгодо,ҡаты
598,weich::A,чевте,йомшаҡ
599,rund::A,кеверь,түңәрәк
600,spitz::A,пшти,осло түбәле
601,scharf::A,пшти,үткер
602,stumpf::A,ношка,утмәҫ
603,schwer::A,стака,ауыр
604,schön::A,мазый,матур
605,heiß::A,пси,эҫе
606,warm::A,лембе,йылы
607,kalt::A,якшамо,һыуыҡ
608,kühl::A,экше,һалҡынса
609,frisch::A,свежа,һалҡынса
610,feucht::A,летьке,еүеш
611,feucht::A,летьке,дымлы
612,nass::A,начко,еүеш
613,trocken::A,коське,кипкән
614,voll::A,пешксе,тулы
615,leer::A,чаво,буш
616,offen::A,панжадо,асыҡ
617,offen::A,виде,асыҡ
618,geschlossen::A,пекстазь,ябыҡ
619,geschlossen::A,сёлгозь,ябыҡ
620,sauber::A,ванькс,таҙа
