,Concept_ID,myv,la
548,Schluss::N,пе,finis
549,Zeit::N,шка,tempus
550,Zeit::N,пинге,tempus
551,Tag::N,чи,dies
552,Morgen::N,валске,mane
553,Mittag::N,чикуншка,meridies
554,Abend::N,чокшнэ,vesper
555,Nacht::N,ве,nox
556,Woche::N,недля,septimana
557,Monat::N,ков,mensis
558,Jahr::N,ие,annus
559,Frühling::N,тундо,ver
560,Sommer::N,кизэ,aestas
561,Herbst::N,сёксь,autumnus
562,Winter::N,теле,hiems
563,Januar::N,якшамков,Ianuarius
564,Februar::N,февраль,Februarius
565,März::N,март,Martius
566,April::N,апрель,Aprilis
567,Mai::N,май,Maius
568,Juni::N,июнь,Iunius
569,Juli::N,июль,Iulius
570,August::N,август,Augustus
571,September::N,сентября,September
572,Oktober::N,октября,Octobris
573,November::N,ноября,Novembris
574,Dezember::N,декабря,December
575,Montag::N,пондельник,dies lunae
576,Dienstag::N,овторник,dies Martis 
577,Mittwoch::N,серёда,dies Mercurii
578,Donnerstag::N,цетьверьг,dies Iovis
579,Freitag::N,пеця,dies Veneris
580,Samstag::N,субута,dies Saturni
581,Samstag::N,шлямочи,dies Saturni
582,Sonntag::N,недлячи,dominicus
583,Sonntag::N,недлячи,dies solis
584,groß::A,ине,magnus
585,groß::A,покш,magnus
586,klein::A,вишка,parvus
587,lang::A,кувака,longus
588,kurz::A,нурькине,brevis
589,breit::A,келей,latus
590,schmal::A,теине,angustus
591,dicht::A,тусто,densus
592,dick[Gegenstand]::A,эчке,crassus
593,dünn::A,човине,tenuis
594,fein::A,човине,subtilis
595,fest::A,кеме,solidus
596,fest::A,кеме,stabilis
597,flach::A,лапужа,planus
598,glatt::A,валаня,levis
599,hart::A,калгодо,durus
600,weich::A,чевте,mollis
601,rund::A,кеверь,rotundus
602,spitz::A,пшти,acutus
603,scharf::A,пшти,acer
604,stumpf::A,ношка,hebes
605,schwer::A,стака,gravis
606,schön::A,мазый,pulcher
607,schön::A,мазый,formosus
608,heiß::A,пси,fervidus
609,warm::A,лембе,calidus
610,kalt::A,якшамо,frigidus
611,kühl::A,экше,frigidus
612,frisch::A,свежа,recens
613,feucht::A,летьке,umidus
614,nass::A,начко,madidus
615,trocken::A,коське,aridus
616,voll::A,пешксе,plenus
617,leer::A,чаво,vacuus
618,offen::A,панжадо,apertus
619,offen::A,виде,apertus
620,geschlossen::A,пекстазь,clausus
621,geschlossen::A,сёлгозь,clausus
622,sauber::A,ванькс,lautus
623,schmutzig::A,ливезев,sordidus
624,roh::A,верек,crudus
625,reif::A,кенерезь,maturus
626,lecker::A,тантей,delicatus
627,süß::A,ламбамо,dulcis
628,bitter::A,сэпей,amarus
629,bitter::A,сэпей,acerbus
630,sauer::A,чапамо,acidus
631,hell::A,валдо,clarus
632,dunkel::A,чопода,obscurus
633,schwarz::A,раужо,niger
634,weiß::A,ашо,albus
635,rot::A,якстере,ruber
636,gelb::A,ожо,flavus
637,blau::A,сэнь,caeruleus
638,grün::A,пиже,viridis
639,grau::A,шержев,canus
640,bunt::A,сёрмав,varius
641,billig::A,аволь питней,vilis
642,teuer::A,питней,carus
643,wertvoll::A,питней,pretiosus
644,blind::A,сокор,caecus
645,taub::A,амариця,surdus
646,kräftig::A,пек виев,robustus
647,stark::A,виев,firmus
648,stark::A,виев,validus
649,schwach::A,лавшо,debilis
650,schwach::A,лавшо,infirmus
651,fett::A,куя,crassus
652,schlank::A,виде ронга,procerus
653,hübsch::A,мазый,pulcher
654,böse::A,кежей,improbus
655,dumm::A,чавола,stultus
656,dumm::A,чавола,stupidus
657,dumm::A,превтеме,stultus
658,dumm::A,превтеме,stupidus
659,faul::A,нузякс,piger
660,fleißig::A,мелень путыця,sedulus
661,geizig::A,скупой,avarus
662,klug::A,превей,prudens
663,geschickt::A,маштозь теезь,sollers
664,lieb::A,вадря,carus
665,lustig::A,весёла,iocosus
666,sanft::A,сэтьме,clemens
667,hungrig::A,вачо,impastus
668,krank::A,сэредиця,aeger
669,nackt::A,штапо,nudus
670,traurig::A,нусманя,maestus
671,lebendig::A,эриця,vivus
672,gut::A,паро,bonus
673,schlecht::A,берянь,malus
674,richtig::A,виде,rectus
675,schlimm::A,берянь,malus
676,wahr::A,алкуксонь,verus
677,alt::A,ташто,antiquus
678,neu::A,од,novus
679,ehemalig::A,икелень,pristinus
680,alt[Lebewesen]::A,сыре,vetus
681,jung::A,од,iuvenis
682,arm::A,кажов,pauper
683,reich::A,сюпав,dives
684,bekannt::A,содавикс,notus
685,berühmt::A,содавикс,celeber
686,berühmt::A,содавикс,illustris
687,fremd::A,лия,peregrinus
688,fremd::A,асодавикс,peregrinus
689,verschieden::A,эрьва,varius
690,nah::A,а васолонь,propinquus
691,fern::A,умонь,longinquus
692,fern::A,кезэрень,longinquus
693,linker::A,керш,sinister
694,rechter::A,вить,dexter
695,anderer::A,лия,alius
696,erster::A,васень,primus
697,erster::A,васенце,primus
698,zweiter::A,омбоце,secundus
699,dritter::A,колмоце,tertius
700,letzter::A,меельце,ultimus
701,allein::ADV,башка,solum
702,allein::ADV,ськамонзо,solum
703,auf einmal::ADV,вейсэ,simul
704,zusammen::ADV,вейс,una
705,zusammen::ADV,вейсэ,una
706,lange::ADV,кувать,diu
707,plötzlich::ADV,апак учо,subito
708,plötzlich::ADV,апак учо,repente
709,sofort::ADV,курок,statim
710,sofort::ADV,нейке,statim
711,später::ADV,мейле,postea
712,jetzt::ADV,ней,nunc
713,heute::ADV,течи,hodie
714,morgen::ADV,ванды,cras
715,bald::ADV,курок,mox
716,dann::ADV,мейле,deinde
717,dann::ADV,седе мейле,deinde
718,gestern::ADV,исяк,heri
719,einst::ADV,весть,olim
720,einst::ADV,зярдо-бути,olim
721,damals::ADV,сестэ,tum
722,danach::ADV,мейле,postea
723,danach::ADV,седе мейле,postea
724,vorher::ADV,васняяк,antea
725,zuerst::ADV,васня,primo
726,einmal::ADV,весть,semel
727,manchmal::ADV,лиясто,interdum
728,oft::ADV,сеетьстэ,saepe
729,immer::ADV,свал,semper
730,niemals::ADV,а зярдояк,numquam
731,hier::ADV,тесэ,hic
732,hierhin::ADV,тей,huc
733,von hier::ADV,тестэ,hinc
734,dort::ADV,тосо,ibi
735,dorthin::ADV,тов,eo
736,geradeaus::ADV,витьстэ,recte
737,vorwärts::ADV,икелев,porro
738,rückwärts::ADV,мекев,retro
739,zurück::ADV,мекев,retro
740,unten::ADV,ало,infra
741,hinab::ADV,алов,pessum
742,oben::ADV,вере,supra
743,hinauf::ADV,верев,sursum
744,überall::ADV,эрьва косо,ubique
745,nicht::ADV,а,non
746,ein wenig::ADV,аламошка,paulum
747,kaum::ADV,ансяк,vix
748,kaum::ADV,ансяк,aegre
749,sehr::ADV,пек,valde
750,sehr::ADV,пек,magnopere
751,sehr::ADV,вельть,valde
752,sehr::ADV,вельть,magnopere
753,so::ADV,истя,ita
754,noch::ADV,таго,etiam
755,nur::ADV,ансяк,solum
756,nur::ADV,ансяк,tantum
757,schon::ADV,уш,iam
758,wieder::ADV,таго,rursus
759,vergebens::ADV,стяко,frustra
760,vor::PRP,икеле,ante
761,hinter::PRP,вельде,post
762,unter::PRP,ало,sub
763,durch::PRP,пачк,per
764,neben::PRP,вакссо,iuxta
765,zwischen::PRP,ютксо,inter
766,wegen::PRP,кис,propter
767,wegen::PRP,коряс,propter
768,wegen::PRP,кувалт,propter
769,dies::PRN,те,hoc
770,das::PRN,те,id
771,das::PRN,тона,id
772,alles::PRN,весе,omnia
773,alles::PRN,весемесь,omnia
774,ich::PRN,мон,ego
775,du::PRN,тон,tu
776,er::PRN,сон,is
777,er::PRN,сон,ille
778,wir::PRN,минь,nos
779,ihr::PRN,тынь,vos
780,sie::PRN,сынь,ii
781,sie::PRN,сынь,illi
782,was::FPRN,мезе,quid
783,wer::FPRN,ки,quis
784,wo::FADV,косо,ubi
785,wohin::FADV,ков,quo
786,wohin::FADV,козо,quo
787,wie::FADV,кода,quomodo
788,warum::FADV,мекс,cur
789,wieviel::FNUM,зяро,quantum
790,eins::NUM,вейке,unus
791,zwei::NUM,кавто,duo
792,drei::NUM,колмо,tres
793,vier::NUM,ниле,quattuor
794,fünf::NUM,вете,quinque
795,sechs::NUM,кото,sex
796,sieben::NUM,сисем,septem
797,acht::NUM,кавксо,octo
798,neun::NUM,вейксэ,novem
799,zehn::NUM,кемень,decem
800,elf::NUM,кевейкее,undecim
801,zwölf::NUM,кемгавтово,duodecim
802,zwanzig::NUM,комсь,viginti
803,dreißig::NUM,колоньгемень,triginta
804,vierzig::NUM,ниленьгемень,quadraginta
805,fünfzig::NUM,ведьгемень,quinquaginta
806,sechzig::NUM,кодгемень,sexaginta
807,siebzig::NUM,сизьгемень,septuaginta
808,achtzig::NUM,кавксоньгемень,octoginta
809,neunzig::NUM,вейксэньгемень,nonaginta
810,hundert::NUM,сядо,centum
811,tausend::NUM,тыща,mille
812,und::CNJ,ды,et
813,und::CNJ,ды,-que
814,oder::CNJ,или,vel
815,stehen::V,аштемс стядо,stare
816,sitzen::V,аштемс озадо,sedere
817,liegen::V,мадезь аштемс,iacere
818,hängen::V,нурьгемс,pendere
819,werden::V,арамс,fieri
