,Concept_ID,bg,el
640,dünn::A,тънък,λεπτός
641,fein::A,фин,ψιλός
642,fein::A,тънък,ψιλός
643,fest::A,твърд,στερεός
644,fest::A,плътен,στερεός
645,flach::A,равен,επίπεδος
646,flach::A,плосък,επίπεδος
647,glatt::A,гладък,λείος
648,glatt::A,гладък,ομαλός
649,hart::A,твърд,σκληρός
650,hart::A,корав,σκληρός
651,weich::A,мек,μαλακός
652,rund::A,кръгъл,στρογγυλός
653,spitz::A,островръх,μυτερός
654,scharf::A,остър,κοφτερός
655,stumpf::A,тъп,αμβλύς
656,schwer::A,тежък,βαρύς
657,schön::A,хубав,ωραίος
658,schön::A,хубав,όμορφος
659,schön::A,красив,ωραίος
660,schön::A,красив,όμορφος
661,heiß::A,жарък,ζεστός
662,warm::A,топъл,θερμός
663,kalt::A,студен,κρύος
664,kalt::A,студен,ψυχρός
665,kühl::A,хладен,δροσερός
666,frisch::A,свеж,νωπός
667,frisch::A,свеж,φρέσκος
668,feucht::A,влажен,υγρός
669,nass::A,мокър,βρεγμένος
670,trocken::A,сух,ξηρός
671,trocken::A,сух,στεγνός
672,voll::A,пълен,γεμάτος
673,leer::A,празен,άδειος
674,offen::A,откровен,ανοιχτός
675,geschlossen::A,закрит,κλειστός
676,geschlossen::A,затворен,κλειστός
677,sauber::A,чист,καθαρός
678,schmutzig::A,мръсен,βρώμικος
679,schmutzig::A,мръсен,λερωμένος
680,roh::A,суров,ωμός
681,reif::A,зрял,ώριμος
682,lecker::A,вкусен,νόστιμος
683,süß::A,сладък,γλυκός
684,bitter::A,горчив,πικρός
685,sauer::A,кисел,ξινός
686,hell::A,ясен,φωτεινός
687,hell::A,светъл,φωτεινός
688,dunkel::A,тъмен,σκοτεινός
689,schwarz::A,черен,μαύρος
690,schwarz::A,черен,μελανός
691,weiß::A,бял,άσπρος
692,rot::A,червен,κόκκινος
693,gelb::A,жълт,κίτρινος
694,blau::A,син,μπλε
695,blau::A,син,γαλανός
696,grün::A,зелен,πράσινος
697,grau::A,сив,γκρίζος
698,bunt::A,шарен,ποικιλόχρωπος
699,bunt::A,пъстър,ποικιλόχρωπος
700,billig::A,евтин,φτηνός
701,teuer::A,скъп,ακριβός
702,wertvoll::A,ценен,πολύτιμος
703,blind::A,сляп,τυφλός
704,taub::A,глух,κουφός
705,kräftig::A,силен,δυνατός
706,stark::A,здрав,γερός
707,stark::A,силен,γερός
708,schwach::A,слаб,αδύνατος
709,fett::A,тлъст,παχύς
710,schlank::A,тънък,λεπτός
711,schlank::A,тънък,λυγερός
712,schlank::A,строен,λεπτός
713,schlank::A,строен,λυγερός
714,hübsch::A,хубав,όμορφος
715,hübsch::A,хубав,χαριτωμένος
716,böse::A,зъл,κακός
717,dumm::A,глупав,κουτός
718,dumm::A,глупав,ανόητος
719,faul::A,ленив,τεμπέλης
720,faul::A,мързелив,τεμπέλης
721,fleißig::A,прилежен,εργατικός
722,geizig::A,скъпернически,τσιγγούνης
723,klug::A,умен,έξυπνος
724,klug::A,разумен,έξυπνος
725,geschickt::A,умел,επιδέξιος
726,geschickt::A,сръчен,επιδέξιος
727,lieb::A,мил,φίλος
728,lieb::A,мил,αγαπητός
729,lieb::A,драг,φίλος
730,lieb::A,драг,αγαπητός
731,lustig::A,весел,εύθυμος
732,lustig::A,весел,χαρούμενος
733,sanft::A,нежен,ήπιος
734,sanft::A,кротък,ήπιος
735,hungrig::A,гладен,πεινασμένος
736,krank::A,болен,άρρωστος
737,nackt::A,гол,γυμνός
738,traurig::A,тъжен,λυπημένος
739,traurig::A,печален,λυπημένος
740,lebendig::A,жив,ζωντανός
741,gut::A,добър,καλός
742,schlecht::A,лош,κακός
743,richtig::A,правилен,σωστός
744,schlimm::A,лош,άσχημος
745,wahr::A,верен,αληθής
746,wahr::A,верен,αληθινός
747,wahr::A,истински,αληθής
748,wahr::A,истински,αληθινός
749,alt::A,стар,παλιός
750,alt::A,древен,παλιός
751,neu::A,нов,νέος
752,neu::A,нов,καινούργιος
753,ehemalig::A,бивш,παλιός
754,alt[Lebewesen]::A,стар,γέρος
755,jung::A,млад,νέος
756,arm::A,беден,φτωχός
