,Concept_ID,de,hy
221,Tochter::N,Tochter,դուստր
222,Bruder::N,Bruder,եղբայր
223,Schwester::N,Schwester,քույր
224,Onkel::N,Onkel,քեռի
225,Onkel::N,Onkel,հորեղբայր
226,Tante::N,Tante,մորաքույր
227,Ehemann::N,Ehemann,մարդ
228,Ehemann::N,Ehemann,ամուսին
229,Ehefrau::N,Ehefrau,կին ամուսին
230,Freude::N,Freude,ուրախություն
231,Gelächter::N,Gelächter,ծիծաղ
232,Glück::N,Glück,երջանկություն
233,Kummer::N,Kummer,վիշտ
234,Wunsch::N,Wunsch,ցանկություն
235,Lust::N,Lust,փափագ
236,Lust::N,Lust,իղձ
237,Geist::N,Geist,ոգի
238,Gedanke::N,Gedanke,միտք
239,Gedächtnis::N,Gedächtnis,հիշողություն
240,Verstand::N,Verstand,խելք
241,Sinn::N,Sinn,իմաստ
242,Grund::N,Grund,պատճառ
243,Wahrheit::N,Wahrheit,ճշմարտություն
244,Gespräch::N,Gespräch,զրույց
245,Märchen::N,Märchen,պայիկի պատմություն
246,Erzählung::N,Erzählung,պատմվածք
247,Erzählung::N,Erzählung,պատմություն
248,Nachricht::N,Nachricht,հաղորդագրություն
249,Neuigkeit::N,Neuigkeit,լուր
250,Neuigkeit::N,Neuigkeit,նորություն
251,Name::N,Name,անուն
252,Rätsel::N,Rätsel,բարդ խնդիր
253,Rede::N,Rede,ճառ
254,Rede::N,Rede,ելույթ
255,Sprache::N,Sprache,լեզու
256,Stimme::N,Stimme,ձայն
257,Wort::N,Wort,բառ
258,Zeichen::N,Zeichen,նշան
259,Ruf::N,Ruf,կոչ
260,Ruf::N,Ruf,կանչ
261,Lärm::N,Lärm,աղմուկ
262,Laut::N,Laut,հնչյուն
263,Laut::N,Laut,ձայն
264,Ton::N,Ton,տոն
265,Lied::N,Lied,երգ
