,Concept_ID,ce,lt
608,voll::A,дуьзна,pilnas
609,leer::A,яьсса,tuščias
610,offen::A,диллина,atviras
611,geschlossen::A,дӏакъевлина,uždaras
612,geschlossen::A,дӏакъевлина,uždarytas
613,geschlossen::A,дӏачӏагӏдина,uždaras
614,geschlossen::A,дӏачӏагӏдина,uždarytas
615,sauber::A,цӏена,švarus
616,schmutzig::A,боьха,nešvarus
617,schmutzig::A,боьха,purvinas
618,roh::A,буьйда,žalias
619,reif::A,хилла,prinokęs
620,reif::A,хилла,pribrendęs
621,lecker::A,чоме,gardus
622,süß::A,мерза,saldus
623,bitter::A,къаьхьа,kartus
624,sauer::A,муьста,gižus
625,sauer::A,муьста,rūgštus
626,hell::A,сирла,šviesus
627,hell::A,сирла,skaistus
628,dunkel::A,бодане,tamsus
629,schwarz::A,ӏаьржа,juodas
630,weiß::A,кӏайн,baltas
631,rot::A,цӏен,raudonas
632,gelb::A,можа,geltonas
633,blau::A,сийна,mėlynas
634,grün::A,баьццара,žalias
635,grau::A,cира,pilkas
636,grau::A,мокха,pilkas
637,bunt::A,къорза,margas
638,bunt::A,къорза,spalvotas
639,billig::A,дораха,pigus
640,teuer::A,деза,brangus
641,wertvoll::A,мехала,vertingas
642,blind::A,бӏаьрзе,aklas
643,taub::A,къора,kurčias
644,kräftig::A,нуьцкъала,stiprus
645,stark::A,зоьртала,stiprus
646,stark::A,нуьцкъала,stiprus
647,schwach::A,гӏорасиза,silpnas
648,fett::A,дерстана,riebus
649,schlank::A,куц долу,laibas
650,schlank::A,куц долу,lieknas
651,hübsch::A,хаза,gražus
652,böse::A,вон,blogas
653,dumm::A,сонта,paikas
654,dumm::A,сонта,kvailas
655,faul::A,мало ен,tingus
656,fleißig::A,тӏера,stropus
657,fleißig::A,тӏера,kruopštus
658,geizig::A,пис,šykštus
659,geizig::A,сутара,šykštus
660,klug::A,хьекъале,sumanus
661,klug::A,хьекъале,protingas
662,geschickt::A,тӏахъаьлла,apsukrus
663,lieb::A,хьоме,mielas
664,lustig::A,самукъане,smagus
665,lustig::A,самукъане,linksmas
666,sanft::A,кlеда,švelnus
667,sanft::A,кlеда,minkštas
668,hungrig::A,меца,alkanas
669,krank::A,цомгуш долу,ligotas
670,krank::A,цомгуш долу,sergantis
671,nackt::A,дерзана,nuogas
672,traurig::A,самукъане воцу,liūdnas
673,lebendig::A,дийна,gyvas
674,gut::A,дика,geras
675,schlecht::A,вон,blogas
676,schlecht::A,вон,prastas
677,richtig::A,нийса,tikras
678,richtig::A,нийса,teisingas
679,schlimm::A,вон,blogas
680,schlimm::A,вон,prastas
681,wahr::A,бакъдолу,tikras
682,alt::A,къена,senas
683,neu::A,керла,naujas
684,ehemalig::A,хилла,buvęs
685,alt[Lebewesen]::A,къена,pagyvenęs
686,jung::A,къона,jaunas
687,arm::A,къен,neturtingas
688,reich::A,хьоле,turtingas
689,bekannt::A,девзаш долу,žinomas
690,bekannt::A,девзаш долу,pažįstamas
691,berühmt::A,цӏеяхана,žymus
692,berühmt::A,цӏеяхана,garsus
693,fremd::A,нехан,svetimas
694,verschieden::A,тайп-тайпанара,įvairus
695,nah::A,гергара,artimas
696,fern::A,гена,tolimas
697,fern::A,генара,tolimas
698,linker::A,аьрру,kairys
699,rechter::A,аьтту,dešinys
700,anderer::A,кхин,kitas
701,erster::A,хьалхара,pirmas
702,zweiter::A,шолгIа,antras
703,dritter::A,кхоалгӏа,trečias
704,letzter::A,тӏаьххьара,paskutinis
705,allein::ADV,цхьаъ,vienas
706,auf einmal::ADV,цу сохьтта,iš karto
707,zusammen::ADV,цхьана,kartu
708,zusammen::ADV,цхьана,drauge
709,lange::ADV,дукха,ilgai
710,plötzlich::ADV,цIеххьана,staiga
711,sofort::ADV,цу сохьтта,tuojau
712,später::ADV,тӏаьхьо,vėliau
713,später::ADV,тӏаьхьо,paskiau
714,jetzt::ADV,хӏинца,dabãr
715,heute::ADV,тахана,šiandien
716,morgen::ADV,кхана,rytoj
717,bald::ADV,кеста,greitai
718,bald::ADV,кеста,netrukus
719,dann::ADV,тӏаккха,po to
720,gestern::ADV,селхана,vakar
721,einst::ADV,цкъа,kadaise
722,einst::ADV,цкъа,kitą kartą
723,damals::ADV,хӏетахьь,anuomet
