,Concept_ID,hy,fa
662,weich::A,մեղմ,ملایم
663,weich::A,փափուկ,نرم
664,weich::A,փափուկ,ملایم
665,rund::A,կլոր,گرد
666,spitz::A,սրածայր,تیز
667,spitz::A,սրածայր,نوک‌تیز
668,scharf::A,սուր,تیز
669,scharf::A,սուր,برنده
670,stumpf::A,գուլ,کند
671,schwer::A,ծանր,سنگین
672,schön::A,սիրուն,زیبا
673,schön::A,գեղեցիկ,زیبا
674,heiß::A,թեժ,داغ
675,warm::A,տաք,گرم
676,warm::A,ջերմ,گرم
677,kalt::A,ցուրտ,سرد
678,kühl::A,զով,خنک
679,frisch::A,թարմ,تازه
680,feucht::A,ղոնավ,مرطوب
681,nass::A,թաց,تر
682,nass::A,թաց,خیش
683,trocken::A,ցամաք,خشک
684,voll::A,լի,پر
685,voll::A,լիքը,پر
686,leer::A,դատարկ,خالی
687,offen::A,բաց,باز
688,geschlossen::A,գոց,بسته
689,sauber::A,մաքուր,پاک
690,sauber::A,մաքուր,تمیز
691,schmutzig::A,կեղտոտ,کثیف
692,schmutzig::A,կեղտոտ,آلوده
693,roh::A,հում,خام
694,reif::A,հասած,رسیده
695,reif::A,հասուն,رسیده
696,lecker::A,համեղ,لذیذ
697,lecker::A,համեղ,خوشمزه
698,süß::A,անուշ,شیرین
699,bitter::A,կծու,تلخ
700,sauer::A,թթու,ترش
701,sauer::A,թթված,ترش
702,hell::A,պայծառ,روشن
703,hell::A,խելամիտ,روشن
704,dunkel::A,մութ,تاریک
705,schwarz::A,սեւ,سیاه
706,weiß::A,սպիտակ,سفید
707,rot::A,կարմիր,سرخ
708,rot::A,կարմիր,قرمز
709,gelb::A,դեղին,زرد
710,blau::A,կապույտ,آبی
711,grün::A,կանաչ,سبز
712,grau::A,գորշ,طوسی
713,grau::A,գորշ,خاکستری
714,bunt::A,գոյնզգոյն,رنگارنگ
715,billig::A,էժան,ارزان
716,teuer::A,թանկ,گران
717,wertvoll::A,թանկարժեք,قیمتی
718,wertvoll::A,թանկարժեք,گرانبها
719,blind::A,կույր,کور
720,blind::A,կույր,نابینا
721,taub::A,խուլ,کر
722,taub::A,խուլ,ناشنوا
723,kräftig::A,հզոր,قوی
724,stark::A,ուժեղ,قوی
725,stark::A,ուժեղ,نیرومند
726,schwach::A,տկար,ضعیف
727,schwach::A,թույլ,ضعیف
728,fett::A,գեր,چرب
729,schlank::A,նիհար,باریک‌اندام
730,hübsch::A,գրավիչ,قشنگ
731,hübsch::A,գրավիչ,خوشگل
732,hübsch::A,սիրունիկ,قشنگ
733,hübsch::A,սիրունիկ,خوشگل
734,böse::A,չար,بد
735,dumm::A,հիմար,احمق
736,faul::A,ծույլ,لش
737,faul::A,ծույլ,تنبل
738,fleißig::A,ջանասեր,زرنگ
739,fleißig::A,փութաջան,زرنگ
740,geizig::A,ագահ,خسیس
