,Concept_ID,tr,fi
1416,baden::V,yıkanmak,kylpeä
1417,baden::V,banyo yapmak,kylpeä
1418,sich waschen::V,yıkanmak,peseytyä
1419,ausziehen::V,çıkarmak,riisua
1420,anziehen::V,giymek,pukea ylleen
1421,sich anziehen::V,giyinmek,pukeutua
1422,kämmen::V,taramak,kammata
1423,schmücken::V,süslemek,koristaa
1424,schmücken::V,süslemek,kaunistaa
1425,sagen::V,demek,sanoa
1426,sagen::V,söylemek,sanoa
1427,sprechen::V,konuşmak,puhua
1428,reden::V,konuşmak,keskustella
1429,sich unterhalten::V,sohbet etmek,jutella
1430,fragen::V,sormak,kysyä
1431,bitten::V,dilemek,pyytää
1432,bitten::V,rica etmek,pyytää
1433,erzählen::V,bahsetmek,kertoa
1434,erzählen::V,hikâye etmek,kertoa
1435,mitteilen::V,bildirmek,ilmoittaa
1436,nennen::V,adlandırmak,kutsua
1437,nennen::V,adlandırmak,nimittää
1438,rufen::V,çağırmak,kutsua
1439,prahlen::V,övünmek,kerskailla
1440,übersetzen::V,çevirmek,kääntää
1441,übersetzen::V,tercüme etmek,kääntää
