,Concept_ID,fi,sv
683,sauer::A,hapan,sur
684,hell::A,kirkas,ljus
685,hell::A,valoisa,ljus
686,dunkel::A,pimeä,mörk
687,schwarz::A,musta,svart
688,weiß::A,valkea,vit
689,rot::A,punainen,röd
690,gelb::A,keltainen,gul
691,blau::A,sininen,blå
692,grün::A,vihreä,grön
693,grau::A,harmaa,grå
694,bunt::A,kirjava,brokig
695,billig::A,halpa,billig
696,billig::A,huokea,billig
697,teuer::A,kallis,dyr
698,wertvoll::A,arvokas,värdefull
699,blind::A,sokea,blind
700,taub::A,kuuro,döv
701,kräftig::A,väkevä,kraftig
702,kräftig::A,voimakas,kraftig
703,stark::A,vahva,stark
704,schwach::A,heikko,svag
705,fett::A,lihava,fet
706,schlank::A,hoikka,slank
707,schlank::A,solakka,slank
708,hübsch::A,soma,snygg
709,hübsch::A,soma,vacker
710,hübsch::A,sievä,snygg
711,hübsch::A,sievä,vacker
712,böse::A,paha,ond
713,böse::A,paha,elak
714,böse::A,häijy,ond
715,böse::A,häijy,elak
716,dumm::A,tyhmä,dum
717,dumm::A,typerä,dum
718,faul::A,laiska,lat
719,fleißig::A,ahkera,flitig
720,geizig::A,saita,snål
721,geizig::A,saita,girig
722,klug::A,älykäs,klok
723,geschickt::A,taitava,händig
724,geschickt::A,taitava,skicklig
725,lieb::A,rakas,kär
726,lieb::A,rakas,snäll
727,lustig::A,hauska,rolig
728,lustig::A,hauska,lustig
729,lustig::A,iloinen,rolig
730,lustig::A,iloinen,lustig
731,sanft::A,lauha,mild
732,sanft::A,lempeä,mild
733,hungrig::A,nälkäinen,hungrig
734,krank::A,sairas,sjuk
735,nackt::A,alaston,naken
736,traurig::A,surullinen,ledsen
737,traurig::A,surullinen,sorgsen
738,traurig::A,murheellinen,ledsen
739,traurig::A,murheellinen,sorgsen
740,lebendig::A,elävä,levande
741,gut::A,hyvä,bra
742,schlecht::A,paha,dålig
743,schlecht::A,huono,dålig
744,richtig::A,oikea,riktig
745,schlimm::A,paha,illa
746,wahr::A,tosi,sann
747,alt::A,vanha,gammal
748,neu::A,uusi,ny
749,ehemalig::A,entinen,forn
750,ehemalig::A,entinen,tidigare
751,ehemalig::A,muinainen,forn
752,ehemalig::A,muinainen,tidigare
753,alt[Lebewesen]::A,vanha,gammal
754,jung::A,nuori,ung
755,arm::A,köyhä,fattig
756,reich::A,rikas,rik
757,bekannt::A,tuttu,känd
758,bekannt::A,tunnettu,känd
759,berühmt::A,kuuluisa,berömd
760,fremd::A,vieras,främmande
761,verschieden::A,eri,åtskillig
762,verschieden::A,erilainen,åtskillig
763,nah::A,läheinen,nära
764,fern::A,etäinen,fjärran
765,linker::A,vasen,vänster
766,rechter::A,oikea,höger
767,anderer::A,muu,annan
768,anderer::A,toinen,annan
769,erster::A,ensimmäinen,första
770,zweiter::A,toinen,andra
771,dritter::A,kolmas,tredje
772,letzter::A,viimeinen,sist
773,allein::ADV,yksin,allena
774,auf einmal::ADV,yhdellä kertaa,på en gång
775,zusammen::ADV,yhdessä,tillsammans
776,lange::ADV,kauan,länge
777,lange::ADV,pitkään,länge
778,plötzlich::ADV,äkkiä,plötsligt
779,sofort::ADV,heti,strax
780,sofort::ADV,heti,genast
781,später::ADV,myöhemmin,senare
782,jetzt::ADV,nyt,nu
783,heute::ADV,tänään,i dag
784,morgen::ADV,huomenna,i morgon
785,bald::ADV,pian,snart
786,dann::ADV,sitten,då
787,gestern::ADV,eilen,i går
