,Concept_ID,uk,bn
608,richtig::A,правильний,ঠিক
609,schlimm::A,бридкий,কদর্য
610,wahr::A,справжній,বাস্তব
611,alt::A,старий,পুরাতন
612,neu::A,новий,নব
613,neu::A,новий,নূতন
614,ehemalig::A,колишній,পূর্বকালীন
615,alt[Lebewesen]::A,старий,বৃদ্ধ
616,jung::A,молодий,তরুণ
617,arm::A,бідний,ক্ষুদ্র
618,reich::A,багатий,ধনবান্
619,bekannt::A,знайомий,সুপরিচিত
620,berühmt::A,славетний,বিখ্যাত
621,fremd::A,чужий,বিদেশি
622,verschieden::A,різний,বিসদৃশ
623,nah::A,близький,নিকটবতী
624,fern::A,далекий,দুরবতী
625,linker::A,лівий,বাম
626,rechter::A,правий,ডান
627,rechter::A,правий,ডাইন
628,anderer::A,інакший,অন্যতর
629,erster::A,перший,প্রথম
630,zweiter::A,другий,দ্বিতীয়
631,dritter::A,третій,তৃতীয়
632,letzter::A,останній,সর্বশেষ
633,allein::ADV,сам,একক
634,allein::ADV,один,একক
635,auf einmal::ADV,відразу,জলদি
636,zusammen::ADV,разом,একসঙ্গে
637,zusammen::ADV,спільно,একসঙ্গে
638,lange::ADV,довго,লম্বা
639,plötzlich::ADV,раптом,হঠাৎ
640,sofort::ADV,зараз,মুহ্ণর্তমধ্যে
641,später::ADV,пізніше,পশ্চাতে
642,jetzt::ADV,тепер,এখন
643,heute::ADV,сьогодні,আজ
644,morgen::ADV,завтра,আগামিকাল
645,bald::ADV,незабаром,অস্পকালমধ্যে
646,dann::ADV,потім,তখন
647,gestern::ADV,вчора,গতকাল
648,einst::ADV,колись,একবার মাত্র
649,damals::ADV,тоді,তখন
650,danach::ADV,згодом,পরে
651,vorher::ADV,раніше,আগে
652,zuerst::ADV,спершу,আগে
653,zuerst::ADV,спочатку,আগে
654,einmal::ADV,один раз,একবার
655,manchmal::ADV,іноді,কখনও কখনও
656,manchmal::ADV,інколи,কখনও কখনও
657,oft::ADV,часто,ঘনঘন
658,immer::ADV,завжди,সর্বদা
659,niemals::ADV,ніколи,কখলও নহে
660,hier::ADV,тут,এখানে
661,hierhin::ADV,сюди,এখানে
662,von hier::ADV,звідси,ত্রই স্তান হইতে
663,dort::ADV,там,ওখানে
664,dorthin::ADV,туди,ওখানে
665,geradeaus::ADV,прямо,অগ্রগামী
666,vorwärts::ADV,вперед,সন্মুখিকে
667,rückwärts::ADV,назад,খিরিয়া
668,zurück::ADV,назад,পিঠ
669,unten::ADV,внизу,নীচে
670,hinab::ADV,вниз,নিম্নগামী
671,oben::ADV,вгорі,উপরে
672,hinauf::ADV,вгору,উচ্চতর অংশে
673,überall::ADV,скрізь,সর্বত্র
674,nicht::ADV,не,না
675,ein wenig::ADV,трохи,অল্প
676,ein wenig::ADV,небагато,অল্প
677,kaum::ADV,ледве,কষ্টসহকাবে
678,sehr::ADV,дуже,খুব
679,so::ADV,так,তত
680,noch::ADV,ще,এখন পর্যস্ত
681,nur::ADV,лише,শুধু
682,nur::ADV,тільки,শুধু
683,schon::ADV,вже,ইতঃপুর্বে
684,wieder::ADV,знову,আবার
685,vergebens::ADV,дарма,বিফলে
686,vor::PRP,перед,সম্মুখে
687,hinter::PRP,ззаду,পশ্চাতে
688,hinter::PRP,позаду,পশ্চাতে
689,unter::PRP,під,নীচে
690,durch::PRP,крізь,দ্বারা
691,neben::PRP,біля,কাছে
692,zwischen::PRP,між,মধ্যে
693,wegen::PRP,з-за,জন্য
694,wegen::PRP,через,জন্য
695,dies::PRN,це,এটা
696,das::PRN,то,ওটা
697,alles::PRN,все,সব
698,ich::PRN,я,আমি
699,du::PRN,ти,তুমি
700,er::PRN,він,উনি
701,wir::PRN,ми,আমরা
702,ihr::PRN,ви,তোমরা
703,sie::PRN,вони,তারা
704,was::FPRN,що,কি
705,wer::FPRN,хто,কে
706,wo::FADV,де,কোথায়
707,wohin::FADV,куди,কোথায়
708,wie::FADV,як,কেমন
709,warum::FADV,чому,কেন
710,wieviel::FNUM,скільки,কত
711,eins::NUM,один,অক
712,zwei::NUM,два,দুই
713,drei::NUM,три,তিন
714,vier::NUM,чотири,চার
715,fünf::NUM,п’ять,পাঁচ
716,sechs::NUM,шість,ছয়
717,sieben::NUM,сім,সাত
718,acht::NUM,вісім,আট
719,neun::NUM,дев’ять,নয়
720,zehn::NUM,десять,দশ
721,elf::NUM,одинадцять,এগারো
722,zwölf::NUM,дванадцять,দ্বাদশ
723,zwanzig::NUM,двадцять,বিশ
724,dreißig::NUM,тридцять,ত্রিশ
