,Concept_ID,ml,vep
574,voll::A,നിറയെ,täuz'
575,leer::A,ഒഴിഞ്ഞ,joudai
576,offen::A,തുറന്ന,avoin
577,offen::A,തുറന്ന,avol'jaine
578,geschlossen::A,അടച്ച,saubaline
579,sauber::A,വൃത്തിയുള്ള,puhtaz
580,schmutzig::A,അഴുക്കുനിറഞ്ഞ,redukaz
581,roh::A,അസംസ്കൃതമായ,rohk
582,roh::A,അസംസ്കൃതമായ,toreh
583,reif::A,പഴുത്ത,küps
584,lecker::A,രുചികരമായ,magukaz
585,süß::A,മധുരമുള്ള,maged
586,bitter::A,കടുത്ത,karged
587,sauer::A,പുളിപ്പുള്ള,muiged
588,hell::A,ജ്വലിക്കുന്ന,kirkas
589,hell::A,ജ്വലിക്കുന്ന,valgei
590,dunkel::A,ഇരുണ്ട,pimed
591,schwarz::A,കറുത്ത,must
592,weiß::A,വെളുത്ത,vauged
593,rot::A,ചുവന്ന,rusked
594,gelb::A,മഞ്ഞനിറമായ,pakuine
595,blau::A,നീലനിറമുള്ള,sinine
596,grün::A,പച്ചനിറമുള്ള,vihand
597,grau::A,ചാരനിറത്തിലുള്ള,hahk
598,bunt::A,വർണ്ണശബളമായ,kirjav
599,billig::A,വിലകുറഞ്ഞ,odav
600,teuer::A,ചെലവേറിയ,kalliž
601,wertvoll::A,വിലപിടിപ്പുള്ള,arvokas
602,blind::A,അന്ധനായ,soged
603,taub::A,കേൾവിക്കുറവുള്ള,kurdiž
604,kräftig::A,ശക്തിയുള്ള,vägev
605,stark::A,ബലമുള്ള,vahv
606,stark::A,ബലമുള്ള,vägekaz
607,schwach::A,ക്ഷീണിച്ച,väll'
608,fett::A,കൊഴുപ്പുള്ള,razvakaz
609,schlank::A,മെലിഞ്ഞ,kapos
610,hübsch::A,മനോഹരമായ,čoma
611,böse::A,പാപിയായ,äred
612,böse::A,പാപിയായ,käred
613,dumm::A,വിവരംകെട്ട,el'getoi
614,faul::A,അലസനായ,lašk
615,fleißig::A,അദ്ധ്വാനശീലമുള്ള,radonnavedii
616,geizig::A,പിശുക്കനായ,ažlak
617,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,melev
618,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,melekaz
619,geschickt::A,പ്രതിഭാശാലി,mahtokaz
620,lieb::A,പ്രിയപ്പെട്ട,izo
621,lieb::A,പ്രിയപ്പെട്ട,sula
622,lustig::A,ആനന്ദകരമായ,ilokaz
623,sanft::A,സൌമ്യമായ,laskav
624,hungrig::A,വിശപ്പുള്ള,näl'ghine
625,krank::A,അസുഖമുള്ള,läžui
626,nackt::A,നഡമായ,alastoi
627,traurig::A,വിഷമമുള്ള,opalahine
628,lebendig::A,ഉപജീവനം,eläb
629,gut::A,നല്ല,hüvä
630,schlecht::A,മോശമായ,huba
631,richtig::A,ശരിയായ,oiged
632,schlimm::A,വൃത്തികെട്ട,paha
633,wahr::A,ശരിയായ,todesine
634,alt::A,പഴയ,vanh
635,neu::A,പുതിയ,uz'
636,ehemalig::A,മുൻ,edeline
637,alt[Lebewesen]::A,വയസ്സുള്ള,ravaz
