,Concept_ID,br,lt
596,glatt::A,lintr,slidus
597,glatt::A,levn,slidus
598,hart::A,kalet,kietas
599,weich::A,blot,minkštas
600,rund::A,ront,apvalus
601,rund::A,ront,apskritas
602,spitz::A,poentet,aštrus
603,spitz::A,poentet,smailus
604,scharf::A,dremm,aštrus
605,stumpf::A,talsoc'h,bukas
606,stumpf::A,talsoc'h,atšipęs
607,schwer::A,pounner,sunkus
608,schön::A,kaer,gražus
609,heiß::A,tomm,karštas
610,warm::A,tomm,šiltas
611,kalt::A,yen,šaltas
612,kühl::A,yen,vėsus
613,kühl::A,yen,bejausmis
614,frisch::A,fresk,šviežias
615,feucht::A,gleb,drėgnas
616,nass::A,gleb,šlapias
617,trocken::A,sec'h,sausas
618,voll::A,leun,pilnas
619,leer::A,goullo,tuščias
620,offen::A,digor,atviras
621,geschlossen::A,serr,uždaras
622,geschlossen::A,serr,uždarytas
623,sauber::A,naet,švarus
624,schmutzig::A,lous,nešvarus
625,schmutzig::A,lous,purvinas
626,roh::A,kriz,žalias
627,reif::A,darev,prinokęs
628,reif::A,darev,pribrendęs
629,lecker::A,lipous,gardus
630,lecker::A,saourus,gardus
631,süß::A,dous,saldus
632,bitter::A,c'hwerv,kartus
633,sauer::A,trenk,gižus
634,sauer::A,trenk,rūgštus
635,hell::A,sklaer,šviesus
636,hell::A,sklaer,skaistus
637,dunkel::A,teñval,tamsus
638,schwarz::A,du,juodas
639,weiß::A,gwenn,baltas
640,rot::A,ruz,raudonas
641,gelb::A,melen,geltonas
642,blau::A,glas,mėlynas
643,grün::A,gwer,žalias
644,grau::A,louet,pilkas
645,bunt::A,liesliv,margas
646,bunt::A,liesliv,spalvotas
647,billig::A,marc'had-mat,pigus
648,teuer::A,ker,brangus
649,wertvoll::A,prizius,vertingas
650,blind::A,dall,aklas
651,taub::A,bouzar,kurčias
652,kräftig::A,start,stiprus
653,stark::A,kreñv,stiprus
654,schwach::A,gwan,silpnas
655,fett::A,lard,riebus
656,schlank::A,sinkl,laibas
657,schlank::A,sinkl,lieknas
658,hübsch::A,koant,gražus
659,böse::A,gwall,blogas
660,dumm::A,glep,paikas
661,dumm::A,glep,kvailas
662,faul::A,lezirek,tingus
663,fleißig::A,studius,stropus
664,fleißig::A,studius,kruopštus
665,geizig::A,tost,šykštus
666,klug::A,speredek,sumanus
667,klug::A,speredek,protingas
668,geschickt::A,dornet,apsukrus
669,lieb::A,koant,mielas
670,lustig::A,laouen,smagus
671,lustig::A,laouen,linksmas
672,sanft::A,flour,švelnus
673,sanft::A,flour,minkštas
674,hungrig::A,marnaon,alkanas
675,krank::A,klañv,ligotas
676,krank::A,klañv,sergantis
677,nackt::A,noazh,nuogas
678,traurig::A,trist,liūdnas
679,lebendig::A,bev,gyvas
680,gut::A,mad,geras
681,schlecht::A,fall,blogas
682,schlecht::A,fall,prastas
683,schlecht::A,gwall,blogas
684,schlecht::A,gwall,prastas
685,richtig::A,reizh,tikras
686,richtig::A,reizh,teisingas
687,schlimm::A,gwall,blogas
688,schlimm::A,gwall,prastas
689,wahr::A,gwir,tikras
690,alt::A,kozh,senas
691,neu::A,nevez,naujas
692,ehemalig::A,kozh,buvęs
693,alt[Lebewesen]::A,kozh,pagyvenęs
694,jung::A,yaouank,jaunas
695,arm::A,paour,neturtingas
696,reich::A,pinvidik,turtingas
697,bekannt::A,anavezet,žinomas
698,bekannt::A,anavezet,pažįstamas
699,berühmt::A,brudet,žymus
700,berühmt::A,brudet,garsus
701,fremd::A,dizanav,svetimas
702,verschieden::A,disheñel,įvairus
703,nah::A,nes,artimas
704,fern::A,diabell,tolimas
705,linker::A,kleiz,kairys
706,rechter::A,dehoù,dešinys
707,anderer::A,all,kitas
708,erster::A,kentañ,pirmas
709,zweiter::A,eil,antras
710,dritter::A,trede,trečias
711,letzter::A,diwezhañ,paskutinis
712,allein::ADV,e-unan,vienas
713,auf einmal::ADV,ar un dro,iš karto
714,zusammen::ADV,asambles,kartu
715,zusammen::ADV,asambles,drauge
716,lange::ADV,pell,ilgai
717,plötzlich::ADV,en un taol,staiga
718,sofort::ADV,diouzhtu,tuojau
719,später::ADV,diwezhatoc'h,vėliau
720,später::ADV,diwezhatoc'h,paskiau
721,jetzt::ADV,bremañ,dabãr
722,heute::ADV,hiziv,šiandien
723,morgen::ADV,arc'hoazh,rytoj
724,bald::ADV,hepdale,greitai
725,bald::ADV,hepdale,netrukus
726,dann::ADV,a-c'houde,po to
727,gestern::ADV,dec'h,vakar
728,einst::ADV,gwechall,kadaise
729,einst::ADV,gwechall,kitą kartą
730,damals::ADV,neuze,anuomet
731,damals::ADV,neuze,anuokart
732,danach::ADV,goude,po to
733,danach::ADV,goude,paskui
734,vorher::ADV,diagent,anksčiau
735,zuerst::ADV,da gentañ,pirma
736,zuerst::ADV,da gentañ,iš pradžių̃
737,einmal::ADV,ur wech,kartą
738,einmal::ADV,ur wech,vieną kartą
739,manchmal::ADV,a-wechoù,kai kada
740,oft::ADV,alies,dažnai
741,immer::ADV,atav,visada
742,immer::ADV,atav,visuomet
743,immer::ADV,bepred,visada
744,immer::ADV,bepred,visuomet
745,niemals::ADV,gwech ebet,niekada
746,niemals::ADV,gwech ebet,niekuomet
747,hier::ADV,amañ,čia
748,hierhin::ADV,dre amañ,šen
749,hierhin::ADV,dre amañ,čionai
750,von hier::ADV,alemañ,iš čia
751,dort::ADV,aze,ten
752,dort::ADV,aze,tenai
753,dort::ADV,ahont,ten
754,dort::ADV,ahont,tenai
755,dorthin::ADV,di,ten
756,dorthin::ADV,di,ten link
757,dorthin::ADV,aze,ten
758,dorthin::ADV,aze,ten link
759,dorthin::ADV,ahont,ten
760,dorthin::ADV,ahont,ten link
761,geradeaus::ADV,war-eeun,tiesiai
762,vorwärts::ADV,war-raok,pirmyn
763,rückwärts::ADV,war-lerc'h,atbulai
764,zurück::ADV,war-dreñv,atgal
765,unten::ADV,en traoñ,žemai
766,unten::ADV,en traoñ,apačioje
767,hinab::ADV,a-izel,žemyn
768,oben::ADV,en nec'h,viršuj
769,hinauf::ADV,e-krec'h,aukštyn
770,hinauf::ADV,e-krec'h,į viršų
771,überall::ADV,dre-holl,visur
772,nicht::ADV,ne ... ket,ne
773,ein wenig::ADV,un tammig,truputį
774,kaum::ADV,a-boan,vos
775,sehr::ADV,-tre,labai
776,sehr::ADV,-tre,baisiai
777,sehr::ADV,-kenañ,labai
778,sehr::ADV,-kenañ,baisiai
779,so::ADV,evel-se,taip
780,noch::ADV,c'hoazh,dar
781,nur::ADV,hepken,tik
782,nur::ADV,hepken,vien
783,schon::ADV,dija,jau
