,Concept_ID,xal,la
553,November::N,үкр сар,Novembris
554,Dezember::N,бар сар,December
555,Montag::N,понедельник,dies lunae
556,Dienstag::N,вторник,dies Martis 
557,Mittwoch::N,среда,dies Mercurii
558,Mittwoch::N,үлмҗ өдр,dies Mercurii
559,Donnerstag::N,четверг,dies Iovis
560,Donnerstag::N,пүрвә өдр,dies Iovis
561,Freitag::N,пятниц,dies Veneris
562,Samstag::N,суббот,dies Saturni
563,Sonntag::N,нарн өдр,dominicus
564,Sonntag::N,нарн өдр,dies solis
565,Sonntag::N,воскресень,dominicus
566,Sonntag::N,воскресень,dies solis
567,groß::A,ик,magnus
568,klein::A,бичкн,parvus
569,lang::A,ут,longus
570,kurz::A,оһтр,brevis
571,breit::A,өргн,latus
572,schmal::A,уутьхн,angustus
573,dicht::A,нигт,densus
574,dick[Gegenstand]::A,зузан,crassus
575,dünn::A,нимгн,tenuis
576,fein::A,нәрхн,subtilis
577,fest::A,бат,solidus
578,fest::A,бат,stabilis
579,flach::A,хавтха,planus
580,glatt::A,тегш,levis
581,glatt::A,тиньгр,levis
582,hart::A,хату,durus
583,weich::A,җөөлн,mollis
584,weich::A,җөөлкн,mollis
585,rund::A,төгрг,rotundus
586,spitz::A,шовһр,acutus
587,scharf::A,хурц,acer
588,stumpf::A,мука,hebes
589,schwer::A,күнд,gravis
590,schön::A,сәәхн,pulcher
591,schön::A,сәәхн,formosus
592,heiß::A,халун,fervidus
593,warm::A,дулан,calidus
594,kalt::A,киитн,frigidus
595,kühl::A,серүн,frigidus
596,frisch::A,серүн,recens
597,feucht::A,чиигтә,umidus
598,nass::A,чиигтә,madidus
599,trocken::A,хагсу,aridus
600,voll::A,дүүрң,plenus
601,leer::A,сул,vacuus
602,leer::A,хоосн,vacuus
603,offen::A,секәтә,apertus
604,geschlossen::A,хаалһата,clausus
605,sauber::A,цевр,lautus
606,schmutzig::A,киртә,sordidus
607,roh::A,түүкә,crudus
608,reif::A,болсн,maturus
609,lecker::A,әмтәхн,delicatus
610,süß::A,әмтәхн,dulcis
611,bitter::A,һашун,amarus
612,bitter::A,һашун,acerbus
613,bitter::A,һашута,amarus
614,bitter::A,һашута,acerbus
615,sauer::A,ишклң,acidus
616,hell::A,герлтә,clarus
