,Concept_ID,lez,ab
616,taub::A,биши,адагəа
617,kräftig::A,гужлу,аӷəӷəа
618,stark::A,къуватлу,абаҟа
619,schwach::A,такьатсуз,акəада
620,fett::A,куьк,аҧсыла
621,schlank::A,шумал,акала
622,schlank::A,шумал,акьалантар
623,schlank::A,шумал,аиҿартə
624,hübsch::A,гуьрчег,аҧшӡа
625,böse::A,пис,абааҧсы
626,dumm::A,ахмакь,агаӡа
627,faul::A,тенпел,аашьа
628,fleißig::A,сяй ийидай,иҟубҷоу
629,fleißig::A,сяйи ийидай,иҟубҷоу
630,geizig::A,мискьи,акы
631,geizig::A,мискьи,акаҷбеи
632,geizig::A,мискьи,аҟəџьыр
633,klug::A,акьуллу,аҟəыш
634,klug::A,акьуллу,аҟəыӷа
635,geschickt::A,магьир,напҟазала
636,lieb::A,играми,алашара
637,lustig::A,шад,алах-ҿых
638,lustig::A,шад,игурҕьаччо
639,lustig::A,шад,агурҕьа
640,lustig::A,шад,агурҿыхага
641,sanft::A,назик,атата
642,sanft::A,назик,аҟəымшəышə
643,sanft::A,назик,ақьыҧш
644,sanft::A,милайим,атата
645,sanft::A,милайим,аҟəымшəышə
646,sanft::A,милайим,ақьыҧш
647,hungrig::A,гишин,амлашь
648,krank::A,кефсуз,ачымазаҩ
649,nackt::A,кьецӏил,аҟьантаз
650,traurig::A,пашман,алахьеиқəҵага
651,lebendig::A,ччан алай,абза
652,gut::A,хъсан,абзиа
653,gut::A,вижевай,абзиа
654,schlecht::A,пис,-хəарҭам
655,richtig::A,дуьз,иашоу
656,schlimm::A,нифретлу,абааҧсы
657,wahr::A,гьакъикъи,агəҭылса
658,wahr::A,гьакъикъи,абзиаҵəҟьа
659,alt::A,эски,Ажə
660,alt::A,куьгьне,Ажə
661,neu::A,цӏийи,аҿыц
662,ehemalig::A,виликан,анкьатәи
663,alt[Lebewesen]::A,кьуьзуь,абырг
664,alt[Lebewesen]::A,кьуьзуь,ақабада
665,alt[Lebewesen]::A,кьуьзуь,Ажə
666,jung::A,жегьил,аҟата
667,arm::A,кесиб,ананамга
668,reich::A,девлетлу,абеиа
669,bekannt::A,чидай,адыр
670,berühmt::A,машгьур,адыр
671,fremd::A,ччара,атəым
672,verschieden::A,жуьреба-жуьре,Еиуа-еиҧшым
673,nah::A,мукьвал,ааигəа
674,fern::A,яргъал,ахара
675,linker::A,чапла,арма
676,rechter::A,эрчӏи,арҕьа
677,anderer::A,маса,даҽа
678,anderer::A,маса,даҽакы
679,anderer::A,муькуь,даҽа
680,anderer::A,муькуь,даҽакы
681,erster::A,сад лагьай,актәи
682,zweiter::A,кьвед лагьай,аҩбатəи
683,dritter::A,пуд лагьай,ахҕатәи
684,letzter::A,эхиримжи,аҵыхəтəантəи
685,allein::ADV,кьилди,мацара
686,zusammen::ADV,санал,аиц...
687,lange::ADV,яргъалди,акыраамҭа
688,plötzlich::ADV,садлагьана,иаалырҟьаны
689,sofort::ADV,гьасятда,иаразнакҵәҟьа
690,später::ADV,гуьгъуьнлай,уажəшьҭаншəа
691,jetzt::ADV,гила,уажәы
692,heute::ADV,къе,иахьа
693,morgen::ADV,пака,уаҵәы
694,bald::ADV,мукьва,иласны
695,bald::ADV,мукьвара,иласны
696,dann::ADV,ахпа,нас
697,gestern::ADV,накь,иацы
698,einst::ADV,садра,зны
699,damals::ADV,а чӏавуз,усҟан
700,danach::ADV,ахпа,нас
701,vorher::ADV,вилик,уаанӡа
702,zuerst::ADV,сифте,азнаказы
703,zuerst::ADV,сифте,аҧхьа
704,einmal::ADV,садра,зны
705,manchmal::ADV,гагь-гагь,зны-зынла
706,oft::ADV,гзаф вахтара,лассы-лассы
707,immer::ADV,гьамиша,енагь
