,Concept_ID,pl,mrj
721,fern::A,daleki,мӹндӹр
722,linker::A,lewy,шалахай
723,rechter::A,prawy,вургамла
724,anderer::A,inny,вес
725,anderer::A,inny,весӹ
726,erster::A,pierwszy,икшӹ
727,erster::A,pierwszy,икӹмшӹ
728,zweiter::A,drugi,кокшы
729,dritter::A,trzeci,кымшы
730,letzter::A,ostatni,остатка
731,allein::ADV,sam,иктӹ
732,allein::ADV,sam,иктӹт
733,auf einmal::ADV,naraz,тöрöк
734,zusammen::ADV,razem,икараш
735,zusammen::ADV,razem,цымырын
736,lange::ADV,długo,кужын
737,plötzlich::ADV,nagle,трӱк
738,sofort::ADV,natychmiast,полт
739,sofort::ADV,natychmiast,тöрöк
740,sofort::ADV,natychmiast,тӹшӓкок
741,später::ADV,później,вара
742,jetzt::ADV,teraz,
743,jetzt::ADV,obecnie,
744,heute::ADV,dziś,тагачы
745,heute::ADV,dzisiaj,тагачы
746,morgen::ADV,jutro,иргод
747,morgen::ADV,jutro,иргодым
748,bald::ADV,wkrótce,чӹнь
749,bald::ADV,wkrótce,вӓшке
750,bald::ADV,wkrótce,выртышты
751,dann::ADV,potem,пакыла
752,gestern::ADV,wczoraj,тенгечӹ
