,Concept_ID,la,av
724,manchmal::ADV,interdum,олоцӏул
725,oft::ADV,saepe,гӏемерго
726,immer::ADV,semper,кидаго
727,niemals::ADV,numquam,киданиги
728,hier::ADV,hic,аниб
729,hierhin::ADV,huc,анибехун
730,von hier::ADV,hinc,гьаниса
731,dort::ADV,ibi,гьениб
732,dorthin::ADV,eo,гьадаба
733,geradeaus::ADV,recte,битӏутӏа
734,vorwärts::ADV,porro,цебехун
735,rückwärts::ADV,retro,нахъ-нахъ
736,zurück::ADV,retro,нахъе
737,unten::ADV,infra,ахакь
738,unten::ADV,infra,гъоркь
739,hinab::ADV,pessum,эхебе
740,oben::ADV,supra,тӏад
741,oben::ADV,supra,тӏадехун
742,hinauf::ADV,sursum,эхеде
743,überall::ADV,ubique,кибго
744,nicht::ADV,non,
745,ein wenig::ADV,paulum,дагьабго
746,kaum::ADV,vix,хӏалалъ
747,kaum::ADV,aegre,хӏалалъ
748,sehr::ADV,valde,кутакалда
749,sehr::ADV,magnopere,кутакалда
750,so::ADV,ita,гьедин
751,noch::ADV,etiam,жеги
752,nur::ADV,solum,гӏӣцӏго
753,nur::ADV,tantum,гӏӣцӏго
754,schon::ADV,iam,
755,wieder::ADV,rursus,на́хъеги
756,vergebens::ADV,frustra,чӏалгӏаде
757,vor::PRP,ante,цебе
758,hinter::PRP,post,хадуса
759,unter::PRP,sub,ахакь
760,unter::PRP,sub,гъоркь
761,durch::PRP,per,
762,neben::PRP,iuxta,аскӏо
