,Concept_ID,de,be
111,Küste::N,Küste,узбярэжжа
112,Festland::N,Festland,суша
113,Meer::N,Meer,мора
114,Bucht::N,Bucht,бухта
115,Insel::N,Insel,востраў
116,Blume::N,Blume,кветка
117,Gras::N,Gras,трава
118,Wurzel::N,Wurzel,корань
119,Baum::N,Baum,дрэва
120,Stamm::N,Stamm,ствол
121,Rinde::N,Rinde,кара
122,Ast::N,Ast,сук
123,Zweig::N,Zweig,галіна
124,Blatt::N,Blatt,ліст
125,Birke::N,Birke,бяроза
126,Kiefer[Baum]::N,Kiefer,хвоя
127,Kiefer[Baum]::N,Kiefer,сасна
128,Weide[Baum]::N,Weide,вярба
129,Tanne::N,Tanne,яліна
130,Horn::N,Horn,рог
131,Feder::N,Feder,пяро
132,Fell::N,Fell,шкура
133,Flügel::N,Flügel,крыло
134,Klaue::N,Klaue,кіпцюр
135,Kralle::N,Kralle,лапа
136,Schwanz::N,Schwanz,хвост
137,Ei::N,Ei,яйка
138,Nest::N,Nest,гняздо
139,Bau::N,Bau,нара
140,Tier::N,Tier,жывёла
141,Herde::N,Herde,статак
142,Kuh::N,Kuh,карова
143,Bulle::N,Bulle,бык
144,Pferd::N,Pferd,конь
145,Schaf::N,Schaf,авечка
146,Schwein::N,Schwein,свіння
147,Hund::N,Hund,сабака
148,Katze::N,Katze,кошка
149,Bär::N,Bär,мядзведзь
150,Eichhörnchen::N,Eichhörnchen,вавёрка
151,Elch::N,Elch,лось
152,Fuchs::N,Fuchs,ліса
153,Hase::N,Hase,заяц
154,Maus::N,Maus,мыш
155,Wolf::N,Wolf,воўк
156,Vogel::N,Vogel,птах
157,Vogel::N,Vogel,птушка
158,Schwarm::N,Schwarm,чарада
159,Huhn::N,Huhn,курыца
160,Hahn::N,Hahn,певень
161,Gans::N,Gans,гусь
162,Adler::N,Adler,арол
163,Ente::N,Ente,качка
164,Eule::N,Eule,сава
165,Kranich::N,Kranich,жораў
166,Kranich::N,Kranich,журавель
167,Krähe::N,Krähe,варона
168,Kuckuck::N,Kuckuck,зязюля
169,Schwan::N,Schwan,лебедзь
170,Fisch::N,Fisch,рыба
171,Barsch::N,Barsch,акунь
172,Hecht::N,Hecht,шчупак
173,Schlange[Tier]::N,Schlange,змяя
174,Wurm::N,Wurm,чарвяк
175,Spinne::N,Spinne,павук
176,Ameise::N,Ameise,мурашка
177,Laus::N,Laus,вош
178,Mücke::N,Mücke,камар
179,Fliege::N,Fliege,муха
180,Schmetterling::N,Schmetterling,матыль
181,Beere::N,Beere,ягада
182,Apfel::N,Apfel,яблык
183,Pilz::N,Pilz,грыб
184,Zwiebel::N,Zwiebel,цыбуля
185,Saat::N,Saat,семя
186,Korn::N,Korn,зерне
187,Heu::N,Heu,сена
188,Schale::N,Schale,шалупінне
189,Grube::N,Grube,яма
190,Falle::N,Falle,пастка
191,Schlinge::N,Schlinge,сіло
192,Spur::N,Spur,след
193,Asche::N,Asche,попел
194,Dreck::N,Dreck,бруд
195,Eisen::N,Eisen,жалеза
196,Gold::N,Gold,золата
197,Silber::N,Silber,сребра
198,Kohle::N,Kohle,вугаль
199,Glas::N,Glas,шкло
200,Lehm::N,Lehm,гліна
201,Sand::N,Sand,пясок
202,Mensch::N,Mensch,чалавек
203,Mann::N,Mann,мужчына
204,Frau::N,Frau,жанчына
205,Kind::N,Kind,дзіця
206,Junge::N,Junge,хлопчык
207,Mädchen::N,Mädchen,дзяўчынка
208,Familie::N,Familie,сямʼя
209,Großvater::N,Großvater,дзядуля
210,Großmutter::N,Großmutter,бабуля
211,Eltern::N,Eltern,бацькі
212,Vater::N,Vater,бацька
213,Mutter::N,Mutter,маці
214,Sohn::N,Sohn,сын
215,Tochter::N,Tochter,дачка
216,Bruder::N,Bruder,брат
217,Schwester::N,Schwester,сястра
218,Onkel::N,Onkel,дзядзька
219,Tante::N,Tante,цётка
220,Ehemann::N,Ehemann,муж
221,Ehefrau::N,Ehefrau,жонка
222,Freude::N,Freude,радасць
223,Gelächter::N,Gelächter,смех
224,Glück::N,Glück,шчасце
225,Kummer::N,Kummer,гора
226,Wunsch::N,Wunsch,жаданне
227,Lust::N,Lust,цяга
228,Geist::N,Geist,дух
229,Gedanke::N,Gedanke,думка
230,Gedächtnis::N,Gedächtnis,памяць
231,Verstand::N,Verstand,розум
232,Sinn::N,Sinn,сэнс
233,Grund::N,Grund,зачэпка
234,Wahrheit::N,Wahrheit,праўда
235,Gespräch::N,Gespräch,размова
236,Märchen::N,Märchen,казка
237,Erzählung::N,Erzählung,расказ
238,Erzählung::N,Erzählung,апавяданне
239,Nachricht::N,Nachricht,вестка
240,Nachricht::N,Nachricht,паведамленне
