,Concept_ID,kn,cv
1150,gießen::V,ನೀರುಹಾಕು,шӑвар
1151,reifen::V,ಕಳಿ,пиҫ
1152,zubereiten::V,ಅಡಿಗೆಮಾಡು,пӗҫер
1153,kochen::V,ಅಡು,пӗҫер
1154,backen::V,ಬೇಯಿಸು,пӗҫер
1155,braten::V,ಕರಿ,ӑшала
1156,umrühren::V,ಕಲಕು,хутӑштар
1157,stricken::V,ಹೆಣೆ,ҫых
1158,nähen::V,ಹೊಲಿ,ҫӗле
1159,färben::V,ಬಣ್ಣ ಹತ್ತು,пӗвет
1160,reinigen::V,ಸ್ವಚ್ಛಮಾಡು,тасат
1161,waschen::V,ತೊಳೆ,ҫу
1162,abwischen::V,ಒರಸು,шӑл
1163,spülen::V,ಗಲಬರಿಸು,чӳхе
1164,fegen::V,ಗುಡಿಸು,шӑл
1165,kehren::V,ಗುಡಿಸು,шӑл
1166,baden::V,ಸ್ನಾನಮಾಡು,шыва кӗр
1167,sich waschen::V,ತೊಳೆ,ҫӑвӑн
1168,ausziehen::V,ಬಿಚ್ಚು,салан
1169,anziehen::V,ಹಾಕು,тӑхӑн
1170,sich anziehen::V,ಹಾಕು,тӑхӑн
1171,kämmen::V,ಬಾಚು,тура
1172,schmücken::V,ಅಲಂಕರಿಸು,илемлет
1173,sagen::V,ಹೇಳು,те
1174,sprechen::V,ನುಡಿ,кала
1175,reden::V,ನುಡಿ,сӑмахла
1176,reden::V,ನುಡಿ,калаҫ
1177,sich unterhalten::V,ಹರಟೆ ಹೊಡಿ,пупле
1178,fragen::V,ವಿಚಾರಿಸು,ыйт
1179,bitten::V,ಬೇಡು,ыйт
1180,erzählen::V,ಹೇಳು,каласа пар
1181,mitteilen::V,ತಿಳಿಸು,пӗлтер
1182,mitteilen::V,ತಿಳಿಸು,хыпарла
1183,nennen::V,ಹೆಸರಿಡು,те
1184,nennen::V,ಹೆಸರಿಡು,чӗн
1185,rufen::V,ಕರೆ,чӗн
1186,prahlen::V,ಜಂಬ ಕೊಚ್ಚು,мухтан
1187,prahlen::V,ಜಂಬ ಕೊಚ್ಚು,вӗҫкӗнлен
1188,übersetzen::V,ಭಾಷಾಂತರಿಸು,куҫар
