,Concept_ID,xal,ce
713,so::ADV,иигҗ,
714,noch::ADV,ода чигн,кхин
715,nur::ADV,һанцхн,бен ...ца
716,schon::ADV,одх,хӏинцале
717,wieder::ADV,бас,юха а
718,vergebens::ADV,киидән,эрна
719,vor::PRP,урд,хьалха
720,hinter::PRP,ца,тӏехьа
721,unter::PRP,дор,кIелахь
722,durch::PRP,ивт,чекх
723,durch::PRP,дундаһур,чекх
724,neben::PRP,хаҗуд,юххе
725,zwischen::PRP,хоорнд,юккъехь
726,wegen::PRP,көлтә,дуьхьа
727,wegen::PRP,деерәс,дуьхьа
728,dies::PRN,эн,и
729,dies::PRN,эн,иза
730,das::PRN,тер,и
731,das::PRN,тер,иза
732,alles::PRN,цуһар,дерриг
733,ich::PRN,би,cо
734,du::PRN,чи,хьо
735,er::PRN,тер,и
736,er::PRN,тер,иза
737,wir::PRN,мадн,тхо
738,wir::PRN,мадн,вай
739,ihr::PRN,та,шу
740,sie::PRN,тедн,уьш
741,was::FPRN,юн,хӏун
742,wer::FPRN,кен,мила
743,wo::FADV,хама,мичaхь
744,wohin::FADV,хамаран,мича
745,wie::FADV,яһҗ,муха
746,wie::FADV,яһад,муха
747,warum::FADV,юңгад,хӏунда
748,wieviel::FNUM,кедү,мел
749,wieviel::FNUM,кедү,маса
750,eins::NUM,негн,цхьаъ
751,zwei::NUM,хойр,шиъ
752,drei::NUM,һурвн,кхоъ
753,vier::NUM,дөрвн,диъ
754,fünf::NUM,тавн,пхиъ
755,sechs::NUM,зурһан,ялх
756,sieben::NUM,долан,ворхӏ
757,acht::NUM,нәәмн,бархӏ
758,neun::NUM,йисн,исс
759,zehn::NUM,арвн,итт
760,elf::NUM,арвн негн,цхьайтта
761,zwölf::NUM,арвн хойр,шийтта
762,zwanzig::NUM,хөрн,ткъа
763,dreißig::NUM,һучн,ткъе итт
764,vierzig::NUM,дөчн,шовзткъа
765,fünfzig::NUM,тәвн,шовзткъе итт
766,sechzig::NUM,җирн,кхузткъа
