,Concept_ID,lv,ca
767,Menge::N,числӧ,quantitat
768,Menge::N,masa,quantitat
769,Menge::N,daudzums,quantitat
770,Haufen::N,чукӧр,pila
771,Haufen::N,čupa,pila
772,Haufen::N,grēda,pila
773,Haufen::N,kaudze,pila
774,Reihe::N,рад,fila
775,Reihe::N,rinda,fila
776,Reihe::N,virkne,fila
777,Boot::N,пыж,bot
778,Boot::N,пыж,barca
779,Boot::N,laiva,bot
780,Boot::N,laiva,barca
781,Ruder::N,пелыс,rem
782,Ruder::N,ӧпаснӧй,rem
783,Ruder::N,airis,rem
784,Ruder::N,irklis,rem
785,Schlitten::N,дадь,trineu
786,Schlitten::N,ragavas,trineu
787,Ski::N,лызь,esquí
788,Ski::N,slēpe,esquí
789,Lagerfeuer::N,бипур,foc de campament
790,Lagerfeuer::N,ugunskurs,foc de campament
791,Last::N,сьӧкыдтор,càrrega
792,Last::N,krava,càrrega
793,Gang::N,мунӧм,marxa
794,Gang::N,ветлӧм,marxa
795,Gang::N,eja,marxa
796,Gang::N,gājums,marxa
797,Schritt::N,воськов,pas
798,Schritt::N,воськовтӧм,pas
799,Schritt::N,solis,pas
800,Norden::N,войвыв,nord
801,Norden::N,ziemeļi,nord
802,Süden::N,лунвыв,sud
803,Süden::N,dienvidi,sud
804,Westen::N,рытыв,oest
805,Westen::N,рытыв,occident
806,Westen::N,rietumi,oest
807,Westen::N,rietumi,occident
808,Osten::N,асыв,est
809,Osten::N,асыв,orient
810,Osten::N,austrumi,est
811,Osten::N,austrumi,orient
812,Holz::N,пу,fusta
813,Holz::N,koks,fusta
814,Holz::N,koksne,fusta
815,Brett::N,пӧв,taula
816,Brett::N,dēlis,taula
817,Platte::N,плита,placa
818,Platte::N,plate,placa
819,Platte::N,plāksne,placa
820,Stütze::N,пыкӧд,suport
821,Stütze::N,мыджӧд,suport
822,Stütze::N,balsts,suport
823,Stütze::N,atspaids,suport
824,Stange::N,потш,vara
825,Stange::N,maikste,vara
826,Stock::N,бедь,pal
827,Stock::N,boze,pal
828,Stock::N,spieķis,pal
