,Concept_ID,hy,bg
684,roh::A,հում,суров
685,reif::A,հասած,зрял
686,reif::A,հասուն,зрял
687,lecker::A,համեղ,вкусен
688,süß::A,անուշ,сладък
689,bitter::A,կծու,горчив
690,sauer::A,թթու,кисел
691,sauer::A,թթված,кисел
692,hell::A,պայծառ,ясен
693,hell::A,պայծառ,светъл
694,hell::A,խելամիտ,ясен
695,hell::A,խելամիտ,светъл
696,dunkel::A,մութ,тъмен
697,schwarz::A,սեւ,черен
698,weiß::A,սպիտակ,бял
699,rot::A,կարմիր,червен
700,gelb::A,դեղին,жълт
701,blau::A,կապույտ,син
702,grün::A,կանաչ,зелен
703,grau::A,գորշ,сив
704,bunt::A,գոյնզգոյն,шарен
705,bunt::A,գոյնզգոյն,пъстър
706,billig::A,էժան,евтин
707,teuer::A,թանկ,скъп
708,wertvoll::A,թանկարժեք,ценен
709,blind::A,կույր,сляп
710,taub::A,խուլ,глух
711,kräftig::A,հզոր,силен
712,stark::A,ուժեղ,здрав
713,stark::A,ուժեղ,силен
714,schwach::A,տկար,слаб
715,schwach::A,թույլ,слаб
716,fett::A,գեր,тлъст
717,schlank::A,նիհար,тънък
718,schlank::A,նիհար,строен
719,hübsch::A,գրավիչ,хубав
720,hübsch::A,սիրունիկ,хубав
721,böse::A,չար,зъл
722,dumm::A,հիմար,глупав
723,faul::A,ծույլ,ленив
724,faul::A,ծույլ,мързелив
725,fleißig::A,ջանասեր,прилежен
726,fleißig::A,փութաջան,прилежен
727,geizig::A,ագահ,скъпернически
728,geizig::A,կծծի,скъпернически
729,klug::A,խելոք,умен
730,klug::A,խելոք,разумен
731,klug::A,ընդունակ,умен
732,klug::A,ընդունակ,разумен
733,geschickt::A,ճարտար,умел
734,geschickt::A,ճարտար,сръчен
735,lieb::A,սիրելի,мил
736,lieb::A,սիրելի,драг
737,lustig::A,զվարթ,весел
738,sanft::A,հեզ,нежен
739,sanft::A,հեզ,кротък
740,hungrig::A,քաղցած,гладен
741,krank::A,հիվանդ,болен
742,nackt::A,մերկ,гол
743,traurig::A,տխուր,тъжен
