,Concept_ID,kv,is
379,Fenster::N,ӧшын,gluggi
380,Tür::N,ыбӧс,dyr
381,Tür::N,ыбӧс,hurð
382,Tor::N,ворота,hlið
383,Zaun::N,забор,girðing
384,Zaun::N,забор,limgarður
385,Dach::N,крыша,þak
386,Leiter::N,лиснич,stigi
387,Besen::N,рос,sópur
388,Spaten::N,зыр,spaði
389,Schaufel::N,зыр,skófla
390,Gabel::N,вила,gaffall
391,Löffel::N,пань,skeið
392,Messer::N,пурт,hnífur
393,Nagel::N,кӧрттув,nögl
394,Netz::N,кыйӧт,net
395,Haken::N,ем,krókur
396,Griff::N,пу,tak
397,Schloss::N,замок,lás
398,Bild::N,картина,mynd
399,Figur::N,мыгӧр,stytta
400,Puppe::N,акань,brúða
401,Beutel::N,мешӧк,poki
402,Beutel::N,мешӧк,baggi
403,Bündel::N,нин,böggull
404,Tasche::N,сумка,veski
405,Eimer::N,ведра,fata
406,Deckel::N,вевт,lok
407,Geschirr::N,доз,leirtau
408,Geschirr::N,бекӧрпань,leirtau
409,Sack::N,мешӧк,sekkur
410,Tasse::N,бекӧр,bolli
411,Topf::N,кастрюля,pottur
412,Kessel::N,пӧрт,ketill
413,Essen::N,сёйӧм,matur
414,Nahrung::N,вердан,fæða
415,Speise::N,сёян,réttur
416,Speise::N,сёян,matarréttur
417,Fleisch::N,яй,kjöt
418,Getreide::N,сю,korn
419,Brei::N,каша,grautur
420,Brot::N,нянь,brauð
421,Scheibe::N,шӧрӧм,sneið
422,Fett::N,гос,fita
423,Butter::N,ви,smjör
424,Öl::N,ви,olía
425,Salz::N,сов,salt
426,Suppe::N,шыд,súpa
427,Honig::N,ма,hunang
428,Milch::N,йӧв,mjólk
429,Tee::N,чай,te
430,Leder::N,кучик,skinn
431,Wolle::N,гӧн,ull
432,Stoff::N,дӧра,dúkur
433,Nadel::N,ем,nál
434,Faden::N,сунис,þráður
435,Knopf::N,кизь,tala
436,Knopf::N,кизь,hnappur
437,Knoten::N,узӧв,hnútur
438,Knoten::N,гӧрӧд,hnútur
439,Farbe::N,краска,málning
440,Kleidung::N,паськӧм,búningur
441,Kleidung::N,паськӧм,klæðnaður
442,Hemd::N,йӧрнӧс,skyrta
443,Kragen::N,воротник,kragi
444,Kragen::N,воротник,flibbi
445,Ärmel::N,сос,ermi
446,Hose::N,вешьян,buxur
447,Gürtel::N,йи,belti
448,Mütze::N,шапка,húfa
449,Schuh::N,ботинки,skór
450,Stiefel::N,сапог,stígvél
451,Ring::N,чунькытш,hringur
452,Band::N,ленточка,band
453,Kamm::N,сынан,greiða
454,Spiegel::N,зеркало,spegill
455,Riemen::N,ремень,ól
