,Concept_ID,et,ru
749,fünf::NUM,viis,пять
750,sechs::NUM,kuus,шесть
751,sieben::NUM,seitse,семь
752,acht::NUM,kaheksa,восемь
753,neun::NUM,üheksa,девять
754,zehn::NUM,kümme,десять
755,elf::NUM,üksteist,одиннадцать
756,zwölf::NUM,kaksteist,двенадцать
757,zwanzig::NUM,kakskümmend,двадцать
758,dreißig::NUM,kolmkümmend,тридцать
759,vierzig::NUM,nelikümmend,сорок
760,fünfzig::NUM,viiskümmend,пятьдесят
761,sechzig::NUM,kuuskümmend,шестьдесят
762,siebzig::NUM,seitsekümmend,семьдесят
763,achtzig::NUM,kaheksakümmend,восемьдесят
764,neunzig::NUM,üheksakümmend,девяносто
765,hundert::NUM,sada,сто
766,tausend::NUM,tuhat,тысяча
767,und::CNJ,ja,и
768,oder::CNJ,või,или
769,oder::CNJ,või,либо
770,stehen::V,seisma,стоять
771,sitzen::V,istuma,сидеть
772,liegen::V,lamama,лежать
773,hängen::V,rippuma,висеть
774,werden::V,saama,стать
775,werden::V,hakkama,стать
776,passieren::V,juhtuma,случиться
777,beginnen::V,algama,начаться
778,beginnen::V,hakkama,начаться
779,enden::V,lõppema,кончиться
780,wechseln::V,vahelduma,меняться
781,aufgehen[Sonne]::V,tõusma,взойти
782,untergehen[Sonne]::V,loojuma,зайти
783,scheinen[Sonne]::V,paistma,светить
784,donnern::V,kõmisema,греметь
785,wehen::V,puhuma,дуть
786,strömen::V,voolama,литься
787,fließen::V,voolama,течь
788,sich drehen::V,pöörduma,вращаться
789,schwanken::V,kõikuma,колебаться
790,schwingen::V,võnkuma,качаться
791,fallen::V,langema,падать
792,brennen::V,põlema,гореть
793,rauchen::V,suitsema,дымить
794,regnen::V,sadama,дождить
795,gefrieren::V,kinni külmuma,замерзнуть
796,tauen::V,sulama,таять
797,schmelzen::V,sulama,плавиться
798,trocknen::V,kuivama,сохнуть
799,sieden::V,keema,кипеть
800,faulen::V,mädanema,гнить
801,verfaulen::V,mädanema,сгнить
802,reißen::V,rebenema,рваться
803,versinken::V,uppuma,тонуть
804,vergehen::V,mööduma,проходить
805,erscheinen::V,ilmuma,появиться
806,verschwinden::V,kaduma,исчезнуть
807,sinken::V,vajuma,спадать
808,sinken::V,langema,спадать
809,abnehmen::V,vähenema,уменьшиться
810,abnehmen::V,kahenema,уменьшиться
811,zunehmen::V,kasvama,увеличиваться
812,steigen::V,tõusma,подниматься
813,steigen::V,üles minema,подниматься
814,wachsen::V,kasvama,расти
815,glänzen::V,läikimä,блестеть
816,funkeln::V,sädelema,сверкать
817,lärmen::V,lärmama,шуметь
818,läuten::V,helisema,звонить
819,klingeln::V,helisema,звонить
820,klirren::V,kõlisema,звякать
821,brausen::V,kohisema,бушевать
