,Concept_ID,ps,et
537,Arzt::N,ډاکټر,arst
538,Lehrer::N,معلم,õpetaja
539,Lehrer::N,ښوونکی,õpetaja
540,Geld::N,پیسې,raha
541,Geschäft::N,سوداګري,äri
542,Laden::N,دکان,pood
543,Laden::N,دکان,kauplus
544,Laden::N,مغازه,pood
545,Laden::N,مغازه,kauplus
546,Preis::N,بیه,hind
547,Ware::N,مال,kaup
548,Nutzen::N,ګټه,tulu
549,Nutzen::N,ګټه,kasulikkus
550,Reichtum::N,شتمني,rikkus
551,Welt::N,نړۍ,maailm
552,Welt::N,دنیا,maailm
553,Land::N,هېواد,maa
554,Staat::N,دولت,riik
555,König::N,باچا,kuningas
556,König::N,پادشاه,kuningas
557,Macht::N,قدرت,võim
558,Grenze::N,حد,piir
559,Grenze::N,سرحد,piir
560,Krieg::N,جګړه,sõda
561,Feind::N,دښمن,vaenlane
562,Gewalt::N,زور,väevõim
563,Gewalt::N,تشدد,väevõim
564,Kampf::N,جنګ,võitlus
565,Kampf::N,مبارزه,võitlus
566,Bogen[Waffe]::N,لیندۍ,vibu
567,Pfeil::N,غشی,nool
568,Gewehr::N,ټوپک,püss
569,Fehler::N,خطا,viga
570,Fehler::N,غلطي,viga
571,Lüge::N,دروغ,vale
572,Schaden::N,زیان,kahju
573,Schaden::N,تاوان,kahju
574,Unglück::N,بدبختي,häda
575,Unglück::N,بدبختي,õnnetus
576,Schuld::N,ګناه,süü
577,Alter::N,منګ,iga
578,Schluss::N,اخر,lõpp
579,Zeit::N,وخت,aeg
580,Tag::N,ورځ,päev
581,Morgen::N,سبا,hommik
582,Morgen::N,سهار,hommik
583,Mittag::N,غرمه,lõuna
584,Mittag::N,غرمه,keskpäev
585,Abend::N,ماښام,õhtu
586,Nacht::N,شپه,öö
587,Woche::N,اونۍ,nädal
588,Monat::N,مياشت,kuu
589,Jahr::N,کال,aasta
590,Frühling::N,پسرلی,kevad
591,Sommer::N,دوبی,suvi
592,Herbst::N,منی,sügis
593,Herbst::N,خزان,sügis
594,Winter::N,ژمی,talv
595,Januar::N,جنوري,jaanuar
596,Februar::N,فبروري,veebruar
597,März::N,مارچ,märts
598,April::N,اپریل,aprill
599,Mai::N,مې,mai
600,Juni::N,جون,juuni
601,Juli::N,جولای,juuli
602,August::N,اګست,august
603,September::N,سپټامبر,september
604,Oktober::N,اکتوبر,oktoober
605,November::N,نومبر,november
606,Dezember::N,دسمبر,detsember
607,Montag::N,دوشنبه,esmaspäev
608,Dienstag::N,سه شنبه,teisipäev
609,Mittwoch::N,چارشنبه,kesknädal
610,Donnerstag::N,پنجشنبه,neljapäev
611,Freitag::N,جمعه,reede
612,Samstag::N,خالي,laupäev
613,Sonntag::N,یکشنبه,pühapäev
614,groß::A,لوی,suur
615,klein::A,وړوکی,väike
616,klein::A,وړوکی,pisike
617,lang::A,اوړد,pikk
618,kurz::A,لنډ,lühike
619,breit::A,پراخه,lai
620,schmal::A,تنګ,kitsas
621,dicht::A,ګڼ,tihe
622,dick[Gegenstand]::A,پنډ,jäme
623,dünn::A,نری,õhuke
624,dünn::A,نری,peenike
625,fein::A,نازک,peen
626,fein::A,نازک,õhuke
627,fest::A,کلک,püsiv
628,fest::A,کلک,kindel
629,fest::A,ټینګ,püsiv
630,fest::A,ټینګ,kindel
631,flach::A,هوار,lame
632,flach::A,هوار,tasane
633,glatt::A,ښوی,sile
634,hart::A,کلک,kõva
635,weich::A,نرم,pehme
636,weich::A,پوست,pehme
637,rund::A,ګرد,ümar
638,spitz::A,تېره,torkav
