,Concept_ID,ka,fa
607,Gewehr::N,თოფი,تفنگ
608,Gewehr::N,შაშხანა,تفنگ
609,Fehler::N,შეცდომა,غلط
610,Fehler::N,შეცდომა,اشتباه
611,Lüge::N,სიცრუე,دروغ
612,Schaden::N,ვნება,آسیب
613,Schaden::N,ვნება,خسارت
614,Unglück::N,ხიფათი,بلا
615,Unglück::N,უბედურება,بلا
616,Schuld::N,ბრალი,گناه
617,Schuld::N,ბრალი,تقصیر
618,Alter::N,ასაკი,سن
619,Alter::N,ასაკი,عمر
620,Schluss::N,ბოლო,انتها
621,Schluss::N,დასასრული,انتها
622,Zeit::N,დრო,وقت
623,Zeit::N,დრო,زمان
624,Tag::N,დღე,روز
625,Morgen::N,დილა,صبح
626,Mittag::N,შუადღე,ظهر
627,Abend::N,საღამო,شب
628,Abend::N,საღამო,عصر
629,Nacht::N,ღამე,شب
630,Woche::N,კვირა,هفته
631,Monat::N,თვე,ماه
632,Jahr::N,წელი,سال
633,Frühling::N,გაზაფხული,بهار
634,Sommer::N,ზაფხული,تابستان
635,Herbst::N,შემოდგომა,پاییز
636,Winter::N,ზამთარი,زمستان
637,Januar::N,იანვარი,ژانویه
638,Februar::N,თებერვალი,فوریه
639,März::N,მარტი,مارس
640,April::N,აპრილი,آوریل
641,Mai::N,მაისი,مه
642,Juni::N,ივნისი,ژوئن
643,Juli::N,ივლისი,ژویه
644,August::N,აგვისტო,اوت
645,September::N,სექტემბერი,سپتامبر
646,Oktober::N,ოქტომბერი,اکتبر
647,November::N,ნოემბერი,نوامبر
648,Dezember::N,დეკემბერი,دسامبر
649,Montag::N,ორშაბათი,دو‌شنبه
650,Dienstag::N,სამშაბათი,سه‌شنبه
651,Mittwoch::N,ოთხშაბათი,چهار‌شنبه
652,Donnerstag::N,ხუთშაბათი,پنج شنبه
653,Freitag::N,პარასკევი,جمعه
654,Samstag::N,შაბათი,شنبه
655,Sonntag::N,კვირა,یکشنبه
656,groß::A,დიდი,بزرگ
657,klein::A,მცირე,کوچک
658,klein::A,პატარა,کوچک
659,lang::A,გრძელი,بلند
660,kurz::A,მოკლე,کوتاه
661,breit::A,ფართო,پهن
662,breit::A,განიერი,پهن
663,schmal::A,ვიწრო,تنگ
664,schmal::A,ვიწრო,نازک
665,schmal::A,წვრილი,تنگ
666,schmal::A,წვრილი,نازک
667,dicht::A,მჭიდრო,چگال
668,dicht::A,მჭიდრო,انبوه
669,dick[Gegenstand]::A,სქელი,ضخیم
670,dünn::A,წვრილი,نازک
671,fein::A,თხელი,ریز
672,fein::A,თხელი,باریک
673,fest::A,მყარი,محکم
674,flach::A,ბრტყელი,صاف
675,flach::A,ბრტყელი,مسطح
676,glatt::A,გლუ,لیز
677,hart::A,მაგარი,سفت
678,weich::A,რბილი,نرم
679,weich::A,რბილი,ملایم
680,rund::A,მრგვალი,گرد
681,spitz::A,წვეტიანი,تیز
682,spitz::A,წვეტიანი,نوک‌تیز
683,scharf::A,მჭრელი,تیز
684,scharf::A,მჭრელი,برنده
685,stumpf::A,ბლაგვი,کند
686,schwer::A,მძიმე,سنگین
687,schön::A,ლამაზი,زیبا
688,heiß::A,ცხელი,داغ
689,warm::A,თბილი,گرم
690,kalt::A,ცივი,سرد
691,kühl::A,გრილი,خنک
692,frisch::A,სუფთა,تازه
693,feucht::A,ნოტიო,مرطوب
694,nass::A,სველი,تر
695,nass::A,სველი,خیش
696,trocken::A,მშრალი,خشک
697,voll::A,სავსე,پر
698,leer::A,ცარიელი,خالی
699,offen::A,ღია,باز
700,offen::A,გაშლილი,باز
701,geschlossen::A,დახურული,بسته
