,Concept_ID,ku,mdf
640,grün::A,şîn,сянгяря
641,grau::A,gewr,уле
642,bunt::A,rengîn,сёрмав
643,billig::A,erzan,у́цез
644,billig::A,erzan,аф пи́тни
645,teuer::A,biha,пи́тни
646,wertvoll::A,hêja,питни
647,wertvoll::A,giranbiha,питни
648,blind::A,kor,сокор
649,taub::A,kerr,пярав
650,kräftig::A,gir,пяк вии
651,kräftig::A,xurt,пяк вии
652,stark::A,xurt,вии
653,schwach::A,kesad,лафча
654,fett::A,qelew,куя́
655,schlank::A,zirav,виде ронга
656,hübsch::A,xweşik,мазы
657,böse::A,xerab,кяжи
658,böse::A,aciz,кяжи
659,dumm::A,gêj,аф ёню
660,dumm::A,gêj,шава пря
661,faul::A,têmbêl,нола
662,fleißig::A,jêhatî,ку́лхцонды
663,geizig::A,destgirtî,кирьжя
664,geizig::A,destgirtî,жаднай
665,klug::A,baqil,ёню
666,klug::A,baqil,пря́ви
667,geschickt::A,zîrek,маштозь тиф
668,geschickt::A,ziring,маштозь тиф
669,lieb::A,delal,цебярь
670,lustig::A,kêfxweş,ра́хси
671,sanft::A,nazenîn,сетьме
672,hungrig::A,birçî,вача
673,hungrig::A,birçî,вачеда
674,krank::A,nexweş,сяряди
675,nackt::A,rût,штада
676,nackt::A,rût,кърхтапа
677,nackt::A,tazî,штада
678,nackt::A,tazî,кърхтапа
679,traurig::A,xemgîn,ла́жнай
680,lebendig::A,bisaxî,эряй
681,gut::A,baş,пара
682,gut::A,baş,цебярь
683,schlecht::A,xerab,кальдяв
684,richtig::A,rast,виде
685,richtig::A,saxlem,виде
686,schlimm::A,nebaş,кальдяв
687,wahr::A,rast,афкуксонь
688,alt::A,pîr,ташта
689,alt::A,kevn,ташта
690,neu::A,nû,од
691,ehemalig::A,kevnar,и́нгольдень
692,ehemalig::A,peşidar,и́нгольдень
693,alt[Lebewesen]::A,pîr,сире
694,jung::A,xort,од
695,arm::A,feqîr,а́шу
696,arm::A,desteng,а́шу
697,reich::A,dewlemend,козя
698,bekannt::A,naskirî,содаф
699,berühmt::A,navdar,содавикс
700,fremd::A,xerîb,лия
701,fremd::A,xerîb,аф содаф
702,verschieden::A,çîhê,аф фкя ла́цонь
703,nah::A,nêzîk,мала
704,nah::A,nêzîk,аф ичкоздень
705,fern::A,dûr,и́чкоздень
706,fern::A,dûr,куна́рдонь
707,linker::A,çepê,кержи
708,rechter::A,rastê,види
