,Concept_ID,te,ko
682,drei::NUM,మూడు,셋
683,vier::NUM,నాలుగు,넷
684,fünf::NUM,అయిదు,다섯
685,sechs::NUM,ఆఱు,여섯
686,sieben::NUM,ఏరు,일곱
687,acht::NUM,ఎనిమదు,여덟
688,neun::NUM,తొమ్మిది,아홉
689,zehn::NUM,పది,열
690,elf::NUM,పదునొకొండు,열하나
691,zwölf::NUM,పండ్రండు,열둘
692,zwanzig::NUM,ఇరుపది,스물
693,dreißig::NUM,ముప్పది,서름
694,vierzig::NUM,నలువది,마흔
695,fünfzig::NUM,ఏబది,숸
696,sechzig::NUM,అరుపది,에순
697,siebzig::NUM,డెబ్బది,일흔
698,achtzig::NUM,ఎనుబది,여든
699,neunzig::NUM,తొంబది,아흔
700,hundert::NUM,నూఱు,백
701,tausend::NUM,వేయి,천
702,und::CNJ,మఱియు,와
703,oder::CNJ,లేక,아니면
704,stehen::V,నిలుచు,서다
705,sitzen::V,కూర్చుండు,앉다
706,liegen::V,పండుకొనుట,눕다
707,hängen::V,వ్రేలాడదీయు,달다
