,Concept_ID,sk,ca
681,leer::A,prázdny,buit
682,offen::A,otvorený,obert
683,geschlossen::A,zavretý,tancat
684,sauber::A,čistý,net
685,schmutzig::A,špinavý,brut
686,roh::A,surový,cru
687,reif::A,zrelý,madur
688,lecker::A,chutný,deliciós
689,süß::A,sladký,dolç
690,bitter::A,horký,amarg
691,sauer::A,kyslý,agre
692,hell::A,jasný,clar
693,hell::A,svetlý,clar
694,dunkel::A,temný,fosc
695,schwarz::A,čierny,negre
696,weiß::A,biely,blanc
697,rot::A,červený,vermēll
698,gelb::A,žltý,groc
699,blau::A,modrý,blau
700,blau::A,belasý,blau
701,grün::A,zelený,verd
702,grau::A,šedý,gris
703,bunt::A,pestrý,multicolor
704,billig::A,lacný,barat
705,teuer::A,drahý,car
706,wertvoll::A,cenný,preciós
707,blind::A,slepý,cec
708,taub::A,hluchý,sord
709,kräftig::A,silný,fort
710,kräftig::A,silný,vigorós
711,stark::A,silný,fort
712,schwach::A,slabý,feble
713,schwach::A,bezvládny,feble
714,fett::A,tučný,gras
715,schlank::A,štíhly,esvelt
716,hübsch::A,šumný,maco
717,hübsch::A,švárny,maco
718,böse::A,zlý,dolent
719,dumm::A,hlúpy,ximple
720,dumm::A,hlúpy,estúpid
721,faul::A,lenivý,gandūl
722,faul::A,lenivý,mandrós
723,fleißig::A,snaživý,diligēnt
724,fleißig::A,usilovný,diligēnt
725,geizig::A,skupý,avar
726,geizig::A,lakomý,avar
727,klug::A,múdry,intel·ligent
728,klug::A,bystrý,intel·ligent
729,geschickt::A,zručný,hàbil
730,geschickt::A,šikovný,hàbil
731,lieb::A,milý,amat
732,lieb::A,milý,estimat
733,lustig::A,veselý,alegre
734,sanft::A,nežný,suau
735,hungrig::A,lačný,afamat
736,hungrig::A,hladný,afamat
737,krank::A,chorý,malālt
738,krank::A,nemocný,malālt
739,nackt::A,nahý,nu
740,traurig::A,smutný,trist
741,lebendig::A,živý,viu
742,gut::A,dobrý,bo
743,schlecht::A,zlý,dolēnt
744,richtig::A,správny,just
745,richtig::A,správny,correcte
746,schlimm::A,zlý,greu
747,schlimm::A,nepríjemný,greu
748,wahr::A,pravý,vertader
749,wahr::A,pravý,veritable
750,wahr::A,pravdivý,vertader
751,wahr::A,pravdivý,veritable
752,alt::A,starý,vell
753,neu::A,nový,nou
754,ehemalig::A,bývalý,antic
755,alt[Lebewesen]::A,starý,vell
756,jung::A,mladý,jove
757,arm::A,chudobný,pobre
758,reich::A,bohatý,ric
759,bekannt::A,známy,conegut
760,berühmt::A,slávny,famós
761,berühmt::A,povestný,famós
762,fremd::A,cudzí,estrany
763,verschieden::A,rôzny,diferent
764,verschieden::A,rozličný,diferent
765,nah::A,blízky,pròxim
766,fern::A,ďaleký,llunyà
767,fern::A,ďaleký,distant
768,linker::A,ľavý,esquerre
769,rechter::A,pravý,dret
770,anderer::A,iný,altre
771,anderer::A,druhý,altre
772,erster::A,prvý,primer
773,zweiter::A,druhý,segon
774,dritter::A,tretí,tercer
775,letzter::A,ostatný,últim
776,letzter::A,posledný,últim
777,allein::ADV,sám,sol
778,auf einmal::ADV,zároveň,d'una vegada
779,zusammen::ADV,spolu,junt
780,zusammen::ADV,spoločne,junt
781,lange::ADV,dlho,molt de temps
782,plötzlich::ADV,náhle,de cop
783,plötzlich::ADV,náhle,de sobte
784,sofort::ADV,hneď,de seguida
785,sofort::ADV,ihneď,de seguida
786,später::ADV,neskoršie,més tard
787,jetzt::ADV,teraz,ara
788,heute::ADV,dnes,avūi
