,Concept_ID,az,lt
739,lustig::A,gülməli,smagus
740,lustig::A,gülməli,linksmas
741,sanft::A,mülayim,švelnus
742,sanft::A,mülayim,minkštas
743,hungrig::A,ac,alkanas
744,krank::A,xəstə,ligotas
745,krank::A,xəstə,sergantis
746,nackt::A,çılpaq,nuogas
747,traurig::A,qəmgin,liūdnas
748,traurig::A,kədərli,liūdnas
749,lebendig::A,canlı,gyvas
750,gut::A,yaxşı,geras
751,schlecht::A,pis,blogas
752,schlecht::A,pis,prastas
753,richtig::A,doğru,tikras
754,richtig::A,doğru,teisingas
755,schlimm::A,fəna,blogas
756,schlimm::A,fəna,prastas
757,wahr::A,gərçək,tikras
758,alt::A,əski,senas
759,alt::A,köhnə,senas
760,neu::A,yeni,naujas
761,ehemalig::A,əvvəlki,buvęs
762,alt[Lebewesen]::A,qoca,pagyvenęs
763,jung::A,gənc,jaunas
764,arm::A,kasıb,neturtingas
765,arm::A,yoxsul,neturtingas
766,reich::A,zəngin,turtingas
767,bekannt::A,tanış,žinomas
768,bekannt::A,tanış,pažįstamas
769,berühmt::A,məşhur,žymus
770,berühmt::A,məşhur,garsus
771,fremd::A,yad,svetimas
772,verschieden::A,dürlü,įvairus
773,nah::A,yaxın,artimas
774,fern::A,uzaq,tolimas
775,linker::A,sol,kairys
776,rechter::A,sağ,dešinys
777,anderer::A,başqa,kitas
778,erster::A,birinci,pirmas
779,zweiter::A,ikinci,antras
780,dritter::A,üçüncü,trečias
781,letzter::A,sonuncu,paskutinis
