,Concept_ID,eu,cs
527,Hose::N,galtzak,kalhoty
528,Gürtel::N,gerriko,pás
529,Gürtel::N,gerriko,opasek
530,Mütze::N,txano,čepice
531,Mütze::N,txapel,čepice
532,Schuh::N,oski,bota
533,Schuh::N,oinetako,bota
534,Stiefel::N,bota,holínka
535,Ring::N,uztai,prsten
536,Band::N,zinta,pásek
537,Band::N,xingola,pásek
538,Kamm::N,orrazi,hřeben
539,Spiegel::N,mirail,zrcadlo
540,Riemen::N,uhal,řemen
541,Schnur::N,lokailu,šňůra
542,Leine::N,lotura,vodítko
543,Decke::N,burusi,pokrývka
544,Decke::N,burusi,přikrývka
545,Kissen::N,kuxin,polštář
546,Tuch::N,zapi,šátek
547,Tuch::N,oihal,šátek
548,Handtuch::N,eskuzapi,ručník
549,Handtuch::N,eskuoihal,ručník
550,Kraft::N,indar,síla
551,Stärke::N,indar,síla
552,Gesundheit::N,osasun,zdraví
553,Krankheit::N,eritasun,nemoc
554,Krankheit::N,eritasun,choroba
555,Krankheit::N,gaixotasun,nemoc
556,Krankheit::N,gaixotasun,choroba
557,Schmerz::N,min,bolest
558,Wunde::N,zauri,rána
559,Fieber::N,sukar,horečka
560,Arznei::N,osagai,lék
561,Arznei::N,sendagai,lék
562,Brücke::N,zubi,most
563,Brunnen::N,putzu,studna
564,Weide::N,alha,pastva
565,Weide::N,alha,pastvina
566,Weide::N,bazkaleku,pastva
567,Weide::N,bazkaleku,pastvina
568,Pfad::N,zidor,pěšina
569,Pfad::N,bidexka,pěšina
570,Weg::N,bide,cesta
571,Straße::N,errepide,silnice
572,Dorf::N,herri,vesnice
573,Stadt::N,hiri,město
574,Brief::N,gutun,dopis
575,Brief::N,eskutitz,dopis
576,Buch::N,liburu,kniha
577,Buchstabe::N,hizki,písmeno
578,Zeitung::N,egunkari,noviny
579,Leben::N,bizi,život
580,Leben::N,bizitza,život
581,Tod::N,herio,smrt
582,Tod::N,heriotza,smrt
583,Grab::N,hobi,hrob
584,Grab::N,hilobi,hrob
585,Kirche::N,eliza,kostel
586,Sünde::N,hoben,hřích
587,Sünde::N,bekatu,hřích
588,Gott::N,jainko,bůh
589,Arbeiter::N,langile,dělník
590,Arbeiter::N,langile,pracovník
591,Arbeiter::N,behargin,dělník
592,Arbeiter::N,behargin,pracovník
593,Chef::N,nagusi,šéf
594,Chef::N,nagusi,vedoucí
595,Meister::N,maisu,mistr
596,Arzt::N,osagile,lékař
597,Arzt::N,sendagile,lékař
598,Lehrer::N,irakasle,učitel
599,Geld::N,diru,peníze
600,Geschäft::N,negozio,obchod
601,Laden::N,denda,krám
602,Laden::N,saltegi,krám
603,Preis::N,prezio,cena
604,Preis::N,salneurri,cena
605,Ware::N,salgai,zboží
606,Nutzen::N,onura,užitek
607,Nutzen::N,probetxu,užitek
608,Reichtum::N,aberastasun,bohatství
609,Welt::N,ludi,svět
610,Welt::N,mundu,svět
611,Land::N,herrialde,země
612,Staat::N,estatu,stát
613,König::N,errege,král
614,Macht::N,botere,moc
615,Macht::N,botere,mocnost
616,Grenze::N,muga,hranice
617,Krieg::N,guda,válka
618,Feind::N,etsai,nepřítel
619,Feind::N,arerio,nepřítel
620,Gewalt::N,bortxa,násilí
621,Gewalt::N,bortizkeria,násilí
622,Kampf::N,gudu,boj
623,Kampf::N,auska,boj
624,Bogen[Waffe]::N,arku,luk
625,Pfeil::N,gezi,šíp
626,Gewehr::N,fusil,puška
627,Gewehr::N,fusil,ručnice
628,Fehler::N,huts,chyba
629,Fehler::N,hutsegin,chyba
630,Lüge::N,gezur,lež
631,Schaden::N,kalte,škoda
632,Unglück::N,zoritxar,neštěstí
633,Unglück::N,zorigaitz,neštěstí
634,Schuld::N,erru,vina
635,Alter::N,adin,věk
636,Schluss::N,bukaera,konec
637,Zeit::N,aldi,čas
638,Zeit::N,denbora,čas
639,Tag::N,egun,den
640,Morgen::N,goiz,ráno
641,Morgen::N,goiz,jitro
642,Mittag::N,eguerdi,poledne
643,Abend::N,arrats,večer
644,Nacht::N,gau,noc
645,Woche::N,aste,týden
646,Monat::N,hil,měsíc
647,Jahr::N,urte,rok
648,Frühling::N,udalehen,jaro
