,Concept_ID,uk,vep
750,vergebens::ADV,дарма,uhtei
751,vor::PRP,перед,edes
752,hinter::PRP,ззаду,taga
753,hinter::PRP,позаду,taga
754,unter::PRP,під,al
755,durch::PRP,крізь,läbi
756,durch::PRP,крізь,kal't
757,neben::PRP,біля,rindal
758,zwischen::PRP,між,keskes
759,wegen::PRP,з-за,tagut
760,wegen::PRP,через,tagut
761,dies::PRN,це,nece
762,das::PRN,то,se
763,alles::PRN,все,kaik
764,ich::PRN,я,minä
765,du::PRN,ти,sinä
766,er::PRN,він,hän
767,wir::PRN,ми,mö
768,ihr::PRN,ви,tö
769,sie::PRN,вони,hö
770,was::FPRN,що,mi
771,wer::FPRN,хто,ken
772,wo::FADV,де,kus
773,wohin::FADV,куди,kuna
774,wie::FADV,як,kut
775,wie::FADV,як,mit'
776,warum::FADV,чому,mikš
777,wieviel::FNUM,скільки,äjak
778,wieviel::FNUM,скільки,kuverz'
779,eins::NUM,один,üks'
780,zwei::NUM,два,kaks'
781,drei::NUM,три,koume
782,vier::NUM,чотири,nel'l'
783,fünf::NUM,п’ять,viž
784,sechs::NUM,шість,kuz'
785,sieben::NUM,сім,seičeme
786,acht::NUM,вісім,kahesa
787,neun::NUM,дев’ять,ühesa
788,zehn::NUM,десять,kümne
789,elf::NUM,одинадцять,üks'toštkümne
790,zwölf::NUM,дванадцять,kaks'toštkümne
791,zwanzig::NUM,двадцять,kaks'kümne
792,dreißig::NUM,тридцять,koumekümne
793,vierzig::NUM,сорок,nel'l'kümne
794,fünfzig::NUM,п’ятдесят,vižkümne
795,sechzig::NUM,шістдесят,kuz'kümne
796,siebzig::NUM,сімдесят,seičemekümne
797,achtzig::NUM,вісімдесят,kahesakümne
798,neunzig::NUM,дев’яносто,ühesakümne
799,hundert::NUM,сто,sada
800,tausend::NUM,тисяча,tuha
801,und::CNJ,і,i
802,und::CNJ,і,da
803,oder::CNJ,або,vai
804,stehen::V,стояти,seišta
805,sitzen::V,сидіти,ištta
806,liegen::V,лежати,venuda
807,hängen::V,висіти,ripta
808,werden::V,стати,lindä
809,werden::V,стати,tehtas
810,werden::V,робитися,lindä
811,werden::V,робитися,tehtas
812,passieren::V,трапитися,ozaitas
813,beginnen::V,початися,augotadas
814,enden::V,кінчитися,loptas
815,wechseln::V,мінятися,vajehtadas
816,aufgehen[Sonne]::V,зійти,nousta
817,untergehen[Sonne]::V,зайти,lasktas
818,scheinen[Sonne]::V,світити,paštta
819,donnern::V,гриміти,juraita
820,wehen::V,віяти,dölta
821,wehen::V,віяти,puhuda
822,strömen::V,литися,valadas
823,fließen::V,текти,valuda
824,sich drehen::V,обертатися,punotas
