,Concept_ID,lv,zh
731,Stuhl::N,улӧс,椅子
732,Stuhl::N,krēsls,椅子
733,Wiege::N,зыбка,摇蓝
734,Wiege::N,šūpulis,摇蓝
735,Bett::N,вольпась,床
736,Bett::N,gulta,床
737,Regal::N,джадж,架子
738,Regal::N,plaukts,架子
739,Kiste::N,куд,箱子
740,Kiste::N,ящик,箱子
741,Kiste::N,kaste,箱子
742,Kiste::N,šķirsts,箱子
743,Fenster::N,ӧшинь,窗户
744,Fenster::N,logs,窗户
745,Tür::N,ӧдзӧс,门
746,Tür::N,durvis,门
747,Tor::N,дзиръя,大门
748,Tor::N,vārti,大门
749,Zaun::N,потшӧс,篱笆
750,Zaun::N,žogs,篱笆
751,Dach::N,вевт,屋顶
752,Dach::N,jumts,屋顶
753,Leiter::N,пос,梯子
754,Leiter::N,kāpnes,梯子
755,Leiter::N,redeles,梯子
756,Besen::N,рос,扫帚
757,Besen::N,slota,扫帚
758,Spaten::N,зыр,铁锹
759,Spaten::N,lāpsta,铁锹
760,Schaufel::N,тэльӧб,铁锹
761,Schaufel::N,liekšķere,铁锹
762,Gabel::N,вилки,叉
763,Gabel::N,dakšiņa,叉
764,Löffel::N,пань,食匙
765,Löffel::N,karote,食匙
766,Messer::N,пурт,刀
767,Messer::N,nazis,刀
768,Nagel::N,тув,钉子
769,Nagel::N,кӧрт тув,钉子
770,Nagel::N,nagla,钉子
771,Netz::N,тыв,网
772,Netz::N,tīkls,网
773,Haken::N,крук,钩子
774,Haken::N,āķis,钩子
775,Haken::N,kāsis,钩子
776,Haken::N,krampis,钩子
777,Griff::N,нуд,把柄
778,Griff::N,kāts,把柄
779,Griff::N,rokturis,把柄
780,Schloss::N,томан,锁
781,Schloss::N,aizslēgs,锁
782,Bild::N,серпас,图画
783,Bild::N,glezna,图画
784,Figur::N,пертас,人像
785,Figur::N,вежньӧг,人像
786,Figur::N,figūra,人像
787,Puppe::N,акань,娃娃
788,Puppe::N,lelle,娃娃
789,Beutel::N,мешӧк,袋子
790,Beutel::N,kule,袋子
791,Beutel::N,maisiņš,袋子
792,Bündel::N,кӧртӧд,捆
793,Bündel::N,sainis,捆
794,Tasche::N,сумка,手提包
795,Tasche::N,soma,手提包
796,Eimer::N,ведра,桶
797,Eimer::N,spainis,桶
798,Deckel::N,пӧдан,盖子
799,Deckel::N,тупкӧд,盖子
800,Deckel::N,vāks,盖子
801,Geschirr::N,дозмук,餐具
802,Geschirr::N,тасьті-пань,餐具
803,Geschirr::N,trauki,餐具
804,Sack::N,мешӧк,袋子
805,Sack::N,maiss,袋子
806,Tasse::N,бекар,杯子
807,Tasse::N,тасьті,杯子
808,Tasse::N,tase,杯子
809,Topf::N,гырнич,锅
810,Topf::N,pods,锅
811,Kessel::N,пӧрт,水壶
812,Kessel::N,katls,水壶
813,Essen::N,сёйӧм,进餐
814,Essen::N,ēdiens,进餐
815,Nahrung::N,сёян,食物
816,Nahrung::N,barība,食物
817,Speise::N,сёян,菜肴
818,Speise::N,сёянтор,菜肴
819,Speise::N,ēdiens,菜肴
820,Fleisch::N,яй,肉
821,Fleisch::N,gaļa,肉
822,Getreide::N,нянь,谷物
823,Getreide::N,labība,谷物
824,Brei::N,рок,粥
825,Brei::N,putra,粥
826,Brei::N,biezenis,粥
827,Brot::N,нянь,面包
828,Brot::N,maize,面包
829,Scheibe::N,шӧрӧм,片
830,Scheibe::N,чӧлан,片
831,Scheibe::N,šķēle,片
832,Scheibe::N,rieciens,片
833,Fett::N,гос,脂肪
834,Fett::N,тшог,脂肪
