,Concept_ID,mn,hr
782,weich::A,зөөлөн,mek
783,weich::A,зөөлөн,mekan
784,rund::A,дугуй,okrugao
785,rund::A,дугариг,okrugao
786,spitz::A,шовх,oštar
787,spitz::A,шовх,šiljast
788,spitz::A,шовгор,oštar
789,spitz::A,шовгор,šiljast
790,scharf::A,хурц,oštar
791,scharf::A,хурц,bridak
792,scharf::A,иртэй,oštar
793,scharf::A,иртэй,bridak
794,stumpf::A,мохоо,tup
795,schwer::A,хүнд,težak
796,schön::A,гуа,krasan
797,schön::A,сайхан,krasan
798,heiß::A,халуун,vruć
799,warm::A,дулаан,topao
