,Concept_ID,uk,lt
408,Schaufel::N,лопата,semtuvas
409,Gabel::N,виделка,šakutė
410,Löffel::N,ложка,šaukštas
411,Messer::N,ніж,peilis
412,Nagel::N,цвях,vinis
413,Netz::N,сіть,tinklas
414,Haken::N,крюк,vagis
415,Haken::N,крюк,kablys
416,Griff::N,ручка,kotas
417,Griff::N,ручка,rankena
418,Griff::N,держак,kotas
419,Griff::N,держак,rankena
420,Schloss::N,замок,spyna
421,Schloss::N,замок,užraktas
422,Bild::N,картина,paveikslas
423,Figur::N,фігура,figūra
424,Puppe::N,лялька,lėlė
425,Beutel::N,мішечок,krepšys
426,Beutel::N,мішечок,maišelis
427,Beutel::N,торбинка,krepšys
428,Beutel::N,торбинка,maišelis
429,Bündel::N,в’язка,ryšulys
430,Tasche::N,сумка,krepšelis
431,Eimer::N,відро,kibiras
432,Deckel::N,кришка,dangtis
433,Geschirr::N,посуд,indai
434,Sack::N,мішок,maišas
435,Tasse::N,чашка,puodukas
436,Topf::N,горщик,puodas
437,Kessel::N,котел,katilas
438,Essen::N,їжа,valgis
439,Nahrung::N,харч,penas
440,Nahrung::N,харч,maistas
441,Speise::N,страва,patiekalas
442,Fleisch::N,м’ясо,mėsa
443,Getreide::N,хліб,javai
444,Getreide::N,збіжжя,javai
445,Brei::N,каша,košė
446,Brot::N,хліб,duona
447,Scheibe::N,скибочка,riekė
448,Fett::N,жир,taukai
449,Fett::N,жир,riebalai
450,Butter::N,масло,sviestas
451,Öl::N,олія,aliejus
