,Concept_ID,be,sk
793,ein wenig::ADV,трошкі,trocha
794,kaum::ADV,ледзьве,ledva
795,sehr::ADV,вельмі,veľmi
796,so::ADV,так,tak
797,so::ADV,так,takto
798,noch::ADV,яшчэ,ešte
799,nur::ADV,толькі,len
800,schon::ADV,ужо,už
801,wieder::ADV,зноў,zasa
802,vergebens::ADV,дарма,márne
803,vergebens::ADV,дарма,nadarmo
804,vergebens::ADV,дарэмна,márne
805,vergebens::ADV,дарэмна,nadarmo
806,vor::PRP,перад,pred
807,hinter::PRP,за,za
808,hinter::PRP,ззаду,za
809,unter::PRP,пад,pod
810,durch::PRP,праз,cez
811,neben::PRP,каля,pri
812,neben::PRP,каля,vedľa
813,zwischen::PRP,між,medzi
814,zwischen::PRP,паміж,medzi
815,wegen::PRP,з-за,pre
816,wegen::PRP,з-за,kvôli
817,dies::PRN,гэта,to
818,dies::PRN,гэта,táto
819,das::PRN,тое,to
