,Concept_ID,nl,lez
444,Fett::N,vet,ягълу
445,Butter::N,boter,гъери
446,Öl::N,olie,ягълу
447,Salz::N,zout,кьел
448,Suppe::N,soep,суп
449,Suppe::N,soep,шурпа
450,Honig::N,honing,вирт
451,Milch::N,melk,нек
452,Tee::N,thee,чай
453,Leder::N,leer,тумаж
454,Leder::N,leder,тумаж
455,Wolle::N,wol,йис
456,Stoff::N,stof,парча
457,Nadel::N,naald,раб
458,Faden::N,draad,гъал
459,Knopf::N,knoop,дуьгме
460,Knoten::N,knoop,тӏвал
461,Farbe::N,verf,ранг
462,Kleidung::N,kledij,партал
463,Kleidung::N,kleding,партал
464,Hemd::N,hemd,перем
465,Kragen::N,kraag,хев
466,Ärmel::N,mouw,хел
467,Hose::N,broek,шалвар
468,Hose::N,pantalon,шалвар
469,Gürtel::N,riem,чӏул
470,Gürtel::N,gordel,чӏул
471,Mütze::N,muts,бармак
472,Mütze::N,muts,бапӏах
473,Schuh::N,schoen,ботинка
474,Stiefel::N,laars,чекме
475,Ring::N,ring,тупӏал
476,Band::N,lint,тасма
477,Kamm::N,kam,регъ
478,Spiegel::N,spiegel,гуьзгуь
479,Riemen::N,riem,къайиш
480,Schnur::N,koord,еб
481,Leine::N,lijn,
482,Decke::N,deken,яргъан
483,Kissen::N,kussen,хъуьцуьган
484,Tuch::N,doek,шал
485,Handtuch::N,handdoek,дасмал
486,Kraft::N,kracht,гуж
487,Stärke::N,sterkte,къуват
488,Gesundheit::N,gezondheid,сагъвал
489,Krankheit::N,ziekte,тӏал
490,Schmerz::N,pijn,тӏал
491,Schmerz::N,pijn,тӏарвал
492,Wunde::N,wond,хер
493,Fieber::N,koorts,ифин
494,Arznei::N,medicament,дарман
495,Arznei::N,geneesmiddel,дарман
496,Brücke::N,brug,муьгъ
497,Brunnen::N,put,къуй
498,Brunnen::N,bron,къуй
499,Weide::N,wei,уьруьш
500,Weide::N,weide,уьруьш
501,Pfad::N,pad,рехъ
502,Weg::N,weg,рехъ
503,Straße::N,baan,рехъ
504,Straße::N,straat,рехъ
505,Dorf::N,dorp,хуьр
506,Stadt::N,stad,шегьер
507,Brief::N,brief,кагъаз
508,Buch::N,boek,улуб
509,Buchstabe::N,letter,гьарф
510,Zeitung::N,krant,газета
511,Zeitung::N,dagblad,газета
512,Leben::N,leven,уьмуьр
513,Tod::N,dood,кьиникь
514,Grab::N,graf,сур
515,Kirche::N,kerk,килиса
516,Sünde::N,zonde,гунагь
517,Gott::N,god,аллагь
518,Arbeiter::N,arbeider,фяле
519,Chef::N,chef,гьаким
520,Meister::N,meester,устӏар
521,Arzt::N,arts,доктор
522,Arzt::N,dokter,доктор
523,Lehrer::N,leraar,муаллим
524,Lehrer::N,onderwijzer,муаллим
525,Geld::N,geld,пул
526,Geschäft::N,zaak,
527,Laden::N,winkel,магазин
528,Preis::N,prijs,къимет
529,Ware::N,waar,мал
530,Ware::N,waar,товар
531,Nutzen::N,nut,хийир
532,Nutzen::N,nut,менфят
533,Nutzen::N,voordeel,хийир
534,Nutzen::N,voordeel,менфят
535,Reichtum::N,rijkdom,девлет
536,Welt::N,wereld,дуьнья
537,Land::N,land,уьлкве
538,Staat::N,staat,пачагьлугъ
539,Staat::N,staat,государство
540,König::N,koning,пачагь
541,Macht::N,macht,власть
542,Grenze::N,grens,сергьят
543,Krieg::N,oorlog,дяве
544,Feind::N,vijand,душман
545,Gewalt::N,geweld,гуж
546,Kampf::N,strijd,женг
547,Kampf::N,gevecht,женг
548,Bogen[Waffe]::N,boog,чӏемерук
549,Pfeil::N,pijl,хьел
550,Gewehr::N,geweer,тфенг
551,Fehler::N,fout,гъалатӏ
552,Lüge::N,leugen,ттаб
553,Schaden::N,schade,зиян
554,Schaden::N,schade,зарар
555,Unglück::N,tegenspoed,бала
556,Unglück::N,tegenspoed,бедбахтвал
557,Schuld::N,schuld,тахсир
558,Alter::N,leeftijd,яш
559,Schluss::N,slot,эхир
560,Zeit::N,tijd,вяде
561,Tag::N,dag,югъ
562,Morgen::N,morgen,пакама
563,Morgen::N,ochtend,пакама
564,Mittag::N,middag,нисин
565,Abend::N,avond,няни
566,Nacht::N,nacht,йиф
567,Woche::N,week,гьафте
568,Monat::N,maand,варз
569,Jahr::N,jaar,йис
570,Frühling::N,lente,гатфар
571,Frühling::N,voorjaar,гатфар
572,Sommer::N,zomer,гад
573,Herbst::N,herfst,зул
574,Winter::N,winter,кьуьд
575,Januar::N,januari,январь
576,Februar::N,februari,февраль
577,März::N,maart,март
578,April::N,april,апрель
579,Mai::N,mei,май
580,Juni::N,juni,июнь
581,Juli::N,juli,июль
582,August::N,augustus,август
583,September::N,september,сентябрь
584,Oktober::N,oktober,октябрь
585,November::N,november,ноябрь
586,Dezember::N,december,декабрь
587,Montag::N,maandag,ислен
588,Dienstag::N,dinsdag,саласа
589,Mittwoch::N,woensdag,арбе
590,Donnerstag::N,donderdag,хемис югъ
591,Freitag::N,vrijdag,жуьмя
592,Freitag::N,vrijdag,жуьмя югъ
593,Samstag::N,zaterdag,киш
594,Sonntag::N,zondag,гьяд
595,groß::A,groot,еке
596,groß::A,groot,чӏехи
597,klein::A,klein,гъвечӏи
598,lang::A,lang,яргъи
599,kurz::A,kort,куьруь
600,breit::A,breed,гьяркьуь
601,schmal::A,smal,гуьтӏуь
602,dicht::A,dicht,къалин
603,dick[Gegenstand]::A,dik,
604,dünn::A,dun,кьелечӏ
605,fein::A,fijn,шуькӏуь
606,fest::A,vast,кӏеви
607,flach::A,plat,кьулу
608,glatt::A,glad,цӏалцӏам
609,hart::A,hard,кӏеви
610,weich::A,week,хъуьтуьл
611,rund::A,rond,элкъвей
612,spitz::A,spits,хци
613,spitz::A,puntig,хци
614,scharf::A,scherp,хци
615,stumpf::A,stomp,къуьруь
616,schwer::A,zwaar,залан
617,schön::A,mooi,иер
618,schön::A,fraai,иер
619,heiß::A,heet,кудай
620,warm::A,warm,чими
621,kalt::A,koud,мекьи
622,kühl::A,koel,къайи
623,frisch::A,fris,таза
624,frisch::A,fris,михьи
625,feucht::A,vochtig,ламу
626,nass::A,nat,кьежей
627,trocken::A,droog,кьуру
628,voll::A,vol,ацӏай
629,leer::A,leeg,буш
630,leer::A,leeg,ичӏи
631,offen::A,open,ахъа
632,geschlossen::A,gesloten,кӏеви
633,sauber::A,net,михьи
634,sauber::A,schoon,михьи
635,schmutzig::A,vuil,чиркин
