,Concept_ID,fr,fa
757,schmutzig::A,crasseux,کثیف
758,schmutzig::A,crasseux,آلوده
759,roh::A,cru,خام
760,roh::A,brut,خام
761,reif::A,mûr,رسیده
762,lecker::A,délicieux,لذیذ
763,lecker::A,délicieux,خوشمزه
764,lecker::A,appétissant,لذیذ
765,lecker::A,appétissant,خوشمزه
766,süß::A,doux,شیرین
767,bitter::A,amer,تلخ
768,sauer::A,aigre,ترش
769,hell::A,clair,روشن
770,dunkel::A,sombre,تاریک
771,schwarz::A,noir,سیاه
772,weiß::A,blanc,سفید
773,rot::A,rouge,سرخ
774,rot::A,rouge,قرمز
775,gelb::A,jaune,زرد
776,blau::A,bleu,آبی
777,grün::A,vert,سبز
778,grau::A,gris,طوسی
779,grau::A,gris,خاکستری
780,bunt::A,multicolore,رنگارنگ
781,billig::A,bon marché,ارزان
782,teuer::A,cher,گران
783,wertvoll::A,précieux,قیمتی
784,wertvoll::A,précieux,گرانبها
785,blind::A,aveugle,کور
786,blind::A,aveugle,نابینا
787,taub::A,sourd,کر
788,taub::A,sourd,ناشنوا
789,kräftig::A,fort,قوی
790,kräftig::A,vigoureux,قوی
791,stark::A,fort,قوی
792,stark::A,fort,نیرومند
793,stark::A,puissant,قوی
794,stark::A,puissant,نیرومند
795,schwach::A,faible,ضعیف
796,fett::A,gras,چرب
797,schlank::A,svelte,باریک‌اندام
798,hübsch::A,joli,قشنگ
799,hübsch::A,joli,خوشگل
800,böse::A,mauvais,بد
801,dumm::A,sot,احمق
802,dumm::A,bête,احمق
803,faul::A,fainéant,لش
804,faul::A,fainéant,تنبل
805,faul::A,paresseux,لش
806,faul::A,paresseux,تنبل
807,fleißig::A,appliqué,زرنگ
808,geizig::A,avare,خسیس
809,klug::A,intelligent,عاقل
810,klug::A,intelligent,باهوش
811,geschickt::A,habile,ماهر
812,lieb::A,cher,عزیز
813,lieb::A,gentil,عزیز
814,lustig::A,gai,شاد
815,lustig::A,gai,خوشحال
816,lustig::A,joyeux,شاد
817,lustig::A,joyeux,خوشحال
818,sanft::A,doux,لطیف
819,hungrig::A,affamé,گرسنه
820,krank::A,malade,مریض
821,krank::A,malade,بیمار
822,nackt::A,nu,لخت
823,nackt::A,nu,برهنه
824,traurig::A,triste,غمگین
825,lebendig::A,vivant,زنده
826,gut::A,bon,خوب
827,schlecht::A,mauvais,بد
