,Concept_ID,fi,et
624,klein::A,pieni,pisike
625,lang::A,pitkä,pikk
626,kurz::A,lyhyt,lühike
627,breit::A,leveä,lai
628,schmal::A,kapea,kitsas
629,dicht::A,taaja,tihe
630,dick[Gegenstand]::A,paksu,jäme
631,dünn::A,ohut,õhuke
632,dünn::A,ohut,peenike
633,fein::A,hieno,peen
634,fein::A,hieno,õhuke
635,fest::A,luja,püsiv
636,fest::A,luja,kindel
637,flach::A,litteä,lame
638,flach::A,litteä,tasane
639,flach::A,tasainen,lame
640,flach::A,tasainen,tasane
641,glatt::A,sileä,sile
642,glatt::A,siloinen,sile
643,hart::A,kova,kõva
644,weich::A,pehmeä,pehme
645,rund::A,pyöreä,ümar
646,spitz::A,terävä,torkav
647,scharf::A,terävä,terav
648,stumpf::A,tylsä,nüri
649,schwer::A,raskas,raske
650,schwer::A,painava,raske
651,schön::A,kaunis,kena
652,heiß::A,kuuma,kuum
653,heiß::A,kuuma,palav
654,warm::A,lämmin,soe
655,kalt::A,kylmä,külm
656,kalt::A,viluinen,külm
657,kühl::A,viileä,jahe
658,frisch::A,tuore,värske
659,feucht::A,kostea,niiske
660,nass::A,märkä,märg
661,trocken::A,kuiva,kuiv
662,voll::A,täysi,täis
663,leer::A,tyhjä,tühi
664,offen::A,avonainen,avatud
665,offen::A,avonainen,lahtine
666,geschlossen::A,suljettu,suletud
667,sauber::A,puhdas,puhas
668,schmutzig::A,likainen,räpane
669,schmutzig::A,likainen,määrdunud
670,roh::A,raaka,toores
671,reif::A,kypsä,küps
672,lecker::A,herkullinen,hõrk
673,lecker::A,herkullinen,maitsev
674,süß::A,makea,magus
675,bitter::A,karvas,mõru
676,bitter::A,kitkerä,mõru
677,sauer::A,hapan,hapu
678,hell::A,kirkas,hele
679,hell::A,valoisa,hele
680,dunkel::A,pimeä,pime
681,schwarz::A,musta,must
682,weiß::A,valkea,valge
683,rot::A,punainen,punane
684,gelb::A,keltainen,kollane
685,blau::A,sininen,sinine
686,grün::A,vihreä,roheline
687,grau::A,harmaa,hall
688,bunt::A,kirjava,kirju
689,bunt::A,kirjava,värviline
690,billig::A,halpa,odav
691,billig::A,huokea,odav
692,teuer::A,kallis,kallis
693,wertvoll::A,arvokas,väärtuslik
694,blind::A,sokea,pime
695,taub::A,kuuro,kurt
696,kräftig::A,väkevä,jõuline
697,kräftig::A,voimakas,jõuline
698,stark::A,vahva,tugev
699,schwach::A,heikko,nõrk
700,schwach::A,heikko,jõuetu
701,fett::A,lihava,rasvane
702,schlank::A,hoikka,sale
703,schlank::A,solakka,sale
704,hübsch::A,soma,kena
705,hübsch::A,sievä,kena
706,böse::A,paha,tige
707,böse::A,häijy,tige
708,dumm::A,tyhmä,juhm
709,dumm::A,tyhmä,rumal
710,dumm::A,typerä,juhm
711,dumm::A,typerä,rumal
712,faul::A,laiska,laisk
713,fleißig::A,ahkera,virk
714,fleißig::A,ahkera,hoolas
715,geizig::A,saita,ihne
716,klug::A,älykäs,tark
717,klug::A,älykäs,arukas
718,klug::A,älykäs,mõistlik
719,geschickt::A,taitava,osav
720,lieb::A,rakas,armas
721,lustig::A,hauska,lõbus
722,lustig::A,iloinen,lõbus
723,sanft::A,lauha,õrn
724,sanft::A,lempeä,õrn
725,hungrig::A,nälkäinen,näljane
726,krank::A,sairas,haige
727,nackt::A,alaston,alasti
728,traurig::A,surullinen,kurb
729,traurig::A,murheellinen,kurb
730,lebendig::A,elävä,elus
731,gut::A,hyvä,hea
732,schlecht::A,paha,halb
733,schlecht::A,huono,halb
734,richtig::A,oikea,õige
735,schlimm::A,paha,paha
736,wahr::A,tosi,tõene
737,alt::A,vanha,vana
738,neu::A,uusi,uus
739,ehemalig::A,entinen,endine
740,ehemalig::A,muinainen,endine
741,alt[Lebewesen]::A,vanha,vana
742,jung::A,nuori,noor
743,arm::A,köyhä,vaene
744,reich::A,rikas,rikas
745,bekannt::A,tuttu,teada
746,bekannt::A,tuttu,tuttav
747,bekannt::A,tunnettu,teada
748,bekannt::A,tunnettu,tuttav
749,berühmt::A,kuuluisa,tuntud
750,fremd::A,vieras,võõras
751,verschieden::A,eri,erinev
752,verschieden::A,erilainen,erinev
753,nah::A,läheinen,lähedane
754,fern::A,etäinen,kauge
755,linker::A,vasen,vasak
756,rechter::A,oikea,parem
757,anderer::A,muu,muu
758,anderer::A,muu,teine
759,anderer::A,toinen,muu
760,anderer::A,toinen,teine
761,erster::A,ensimmäinen,esimene
762,zweiter::A,toinen,teine
763,dritter::A,kolmas,kolmas
764,letzter::A,viimeinen,viimane
765,allein::ADV,yksin,üksi
766,auf einmal::ADV,yhdellä kertaa,korraga
767,auf einmal::ADV,yhdellä kertaa,ühekorraga
768,zusammen::ADV,yhdessä,koos
769,zusammen::ADV,yhdessä,üheskoos
770,lange::ADV,kauan,kaua
771,lange::ADV,pitkään,kaua
772,plötzlich::ADV,äkkiä,äkki
773,plötzlich::ADV,äkkiä,järsku
774,sofort::ADV,heti,kohe
775,später::ADV,myöhemmin,hiljem
776,jetzt::ADV,nyt,nüüd
777,heute::ADV,tänään,täna
778,morgen::ADV,huomenna,homme
779,bald::ADV,pian,pea
780,bald::ADV,pian,varsti
781,dann::ADV,sitten,siis
782,gestern::ADV,eilen,eile
783,einst::ADV,aikanaan,vanasti
784,damals::ADV,silloin,tookord
785,damals::ADV,siihen aikaan,tookord
786,danach::ADV,sen jälkeen,seejärel
787,vorher::ADV,ennen,enne
788,zuerst::ADV,ensin,enne
789,zuerst::ADV,ensin,esmalt
790,zuerst::ADV,ensiksi,enne
791,zuerst::ADV,ensiksi,esmalt
792,einmal::ADV,kerran,kord
793,einmal::ADV,kerran,üks kord
794,manchmal::ADV,joskus,mõnikord
795,oft::ADV,usein,tihti
796,oft::ADV,usein,sageli
797,immer::ADV,aina,ikka
798,immer::ADV,aina,alati
799,niemals::ADV,ei koskaan,mitte kunagi
800,hier::ADV,tässä,siin
801,hier::ADV,täällä,siin
802,hierhin::ADV,tähän,siia
803,von hier::ADV,tästä,siit
804,von hier::ADV,täältä,siit
805,dort::ADV,siinä,seal
806,dort::ADV,siellä,seal
807,dorthin::ADV,sinne,sinna
808,dorthin::ADV,tuonne,sinna
809,geradeaus::ADV,suoraan,otse edasi
810,vorwärts::ADV,eteenpäin,edasi
811,rückwärts::ADV,taaksepäin,tagurpidi
812,zurück::ADV,takaisin,tagasi
813,unten::ADV,alhaalla,all
814,unten::ADV,alhaalla,allpool
815,hinab::ADV,alas,alla
816,oben::ADV,ylhäällä,ülal
817,hinauf::ADV,ylös,üles
818,überall::ADV,kaikkialla,kõikjal
819,nicht::ADV,ei,ei
820,nicht::ADV,ei,mitte
821,ein wenig::ADV,vähän,veidi
822,ein wenig::ADV,vähän,natuke
823,kaum::ADV,tuskin,vaevalt
824,sehr::ADV,kovin,väga
825,sehr::ADV,oikein,väga
826,so::ADV,näin,nii
827,noch::ADV,vielä,veel
828,nur::ADV,vain,ainult
829,nur::ADV,ainoastaan,ainult
830,schon::ADV,jo,juba
831,wieder::ADV,taas,jälle
832,wieder::ADV,jälleen,jälle
833,vergebens::ADV,turhaan,asjata
834,vor::PRP,edessä,ees
835,hinter::PRP,takana,taha
836,unter::PRP,alla,all
837,durch::PRP,läpi,läbi
838,durch::PRP,läpi,kaudu
839,durch::PRP,kautta,läbi
840,durch::PRP,kautta,kaudu
841,neben::PRP,vieressä,kõrval
842,zwischen::PRP,välillä,vahel
843,wegen::PRP,takia,tõttu
844,wegen::PRP,takia,pärast
845,wegen::PRP,vuoksi,tõttu
846,wegen::PRP,vuoksi,pärast
847,dies::PRN,tämä,see
848,das::PRN,se,see
849,alles::PRN,kaikki,kõik
850,ich::PRN,minä,mina
851,du::PRN,sinä,sina
852,er::PRN,hän,tema
853,wir::PRN,me,me
854,ihr::PRN,te,te
855,sie::PRN,he,nad
856,was::FPRN,mikä,mis
857,wer::FPRN,ken,kes
858,wer::FPRN,kuka,kes
859,wo::FADV,missä,kus
860,wohin::FADV,mihin,kuhu
861,wie::FADV,miten,kuidas
862,wie::FADV,kuinka,kuidas
863,warum::FADV,miksi,miks
864,wieviel::FNUM,paljonko,mitu
865,wieviel::FNUM,paljonko,kui palju
866,wieviel::FNUM,kuinka paljon,mitu
867,wieviel::FNUM,kuinka paljon,kui palju
868,eins::NUM,yksi,üks
869,zwei::NUM,kaksi,kaks
870,drei::NUM,kolme,kolm
