,Concept_ID,lez,ja
667,lange::ADV,яргъалди,長い間
668,plötzlich::ADV,садлагьана,急に
669,sofort::ADV,гьасятда,すぐに
670,später::ADV,гуьгъуьнлай,後で
671,jetzt::ADV,гила,今
672,heute::ADV,къе,今日
673,morgen::ADV,пака,明日
674,bald::ADV,мукьва,間もなく
675,bald::ADV,мукьвара,間もなく
676,dann::ADV,ахпа,それから
677,gestern::ADV,накь,昨日
678,einst::ADV,садра,過去に
679,damals::ADV,а чӏавуз,あの時
680,danach::ADV,ахпа,その後で
681,vorher::ADV,вилик,以前に
682,zuerst::ADV,сифте,まず
683,zuerst::ADV,сифте,最初に
684,einmal::ADV,садра,一回
685,manchmal::ADV,гагь-гагь,時々
686,oft::ADV,гзаф вахтара,よく
687,immer::ADV,гьамиша,いつも
688,niemals::ADV,са чӏавузни,一度も...ない
689,niemals::ADV,са вахтундани,一度も...ない
690,hier::ADV,ина,こちら
691,hierhin::ADV,иниз,ここへ
692,hierhin::ADV,иниз,こちらへ
693,von hier::ADV,инай,ここから
694,dort::ADV,ана,そちら
695,dorthin::ADV,аниз,そこへ
696,dorthin::ADV,аниз,そちらへ
697,geradeaus::ADV,дуьз,真っ直ぐに
698,vorwärts::ADV,вилик,前へ
699,vorwärts::ADV,виликди,前へ
700,rückwärts::ADV,кьулухъ,後ろへ
701,unten::ADV,агъада,下に
702,hinab::ADV,агъуз,下へ
703,oben::ADV,винел,上に
704,hinauf::ADV,виниз,上へ
705,überall::ADV,вирина,どこでも
706,nicht::ADV,ваъ,ない
707,ein wenig::ADV,са тӏимил,少し
708,ein wenig::ADV,са тӏимил,ちょっと
709,kaum::ADV,жизви,ほとんど～ない
710,sehr::ADV,лап,とても
711,so::ADV,икӏ,こう
712,noch::ADV,гьеле,まだ
713,nur::ADV,анжах,～だけ
714,schon::ADV,хъувуна,もう
715,schon::ADV,мадни дардиз,もう
716,schon::ADV,мадни гуьтӏуьз,もう
717,schon::ADV,мадни гуьтӏуь я,もう
718,vergebens::ADV,нагьакь,無駄に
719,vergebens::ADV,нагьакьа,無駄に
720,vor::PRP,вилик,前に
721,hinter::PRP,кьулухъ,後ろに
722,unter::PRP,кӏаник,下に
723,durch::PRP,арадай,通して
724,durch::PRP,-кай хкатна,通して
725,neben::PRP,патав,横に
726,neben::PRP,мукьув,横に
727,zwischen::PRP,ара,間に
728,zwischen::PRP,арада,間に
729,wegen::PRP,гъиляй,為に
730,wegen::PRP,гъиляй,せいで
731,dies::PRN,и,これ
732,dies::PRN,им,これ
733,das::PRN,а,それ
734,das::PRN,ам,それ
735,alles::PRN,вири,全部
736,alles::PRN,михьиз,全部
737,ich::PRN,за,私
738,ich::PRN,зун,私
739,du::PRN,вун,あなた
740,er::PRN,ам,彼
741,er::PRN,гьа,彼
742,wir::PRN,чун,私達
743,ihr::PRN,куьн,あなた達
744,sie::PRN,абур,彼ら
745,was::FPRN,вуч,何
746,wer::FPRN,вуж,誰
747,wer::FPRN,вуж,どなた
748,wo::FADV,гьина,どこ
749,wo::FADV,гьина,どこに
750,wohin::FADV,гьиниз,どこへ
751,wie::FADV,гьикӏ,どう
752,warum::FADV,вучиз,何故
753,warum::FADV,вучиз,どうして
754,wieviel::FNUM,шумуд,どのくらい
755,eins::NUM,са,一
756,zwei::NUM,кьвед,二
757,zwei::NUM,кьвед,二つ
758,drei::NUM,пуд,三
759,drei::NUM,пуд,三つ
760,vier::NUM,кьуд,四
761,vier::NUM,кьуд,四つ
762,fünf::NUM,вад,五
763,fünf::NUM,вад,五つ
764,sechs::NUM,ругуд,六
765,sechs::NUM,ругуд,六つ
766,sieben::NUM,ирид,七
767,sieben::NUM,ирид,七つ
768,acht::NUM,муьжуьд,八
769,acht::NUM,муьжуьд,八つ
770,neun::NUM,кӏуьд,九
771,neun::NUM,кӏуьд,九つ
772,zehn::NUM,цӏуд,十
773,elf::NUM,цӏусад,十一
774,zwölf::NUM,цӏикьвед,十二
775,zwanzig::NUM,къад,二十
776,dreißig::NUM,къанницӏуд,三十
777,vierzig::NUM,яхцӏур,四十
778,fünfzig::NUM,яхцӏурни цӏуд,五十
779,sechzig::NUM,пудкъад,六十
780,siebzig::NUM,пудкъанни цӏуд,七十
781,achtzig::NUM,кьудкъад,八十
782,neunzig::NUM,кьудкъанни цӏуд,九十
783,hundert::NUM,виш,百
784,tausend::NUM,агъзур,千
785,und::CNJ,ва,-と
786,und::CNJ,ва,そして
787,oder::CNJ,я,或いは
788,stehen::V,акъвазун,立っている
789,sitzen::V,ацукьун,座っている
790,liegen::V,къаткун,横になっている
791,hängen::V,куьрс хьун,掛かっている
792,werden::V,хьун,なる
793,passieren::V,хьун,起こる
794,beginnen::V,башламиш хьун,始まる
795,enden::V,куьтягь хьун,終わる
796,wechseln::V,дегиш хьун,変わる
797,aufgehen[Sonne]::V,экъечӏун,出る
798,untergehen[Sonne]::V,акӏун,沈む
799,scheinen[Sonne]::V,ишигь гун,輝く
800,donnern::V,къукърумар авун,雷が鳴る
801,strömen::V,авахьун,流れる
802,fließen::V,авахьун,流れる
803,sich drehen::V,элкъуьн,回転する
804,schwanken::V,юзун,揺れる
805,schwingen::V,галтад хьун,振動する
806,fallen::V,аватун,落ちる
807,brennen::V,кун,燃える
808,brennen::V,ккун,燃える
