,Concept_ID,bg,pt
1346,spielen::V,играя,jogar
1347,spielen::V,играя,brincar
1348,singen::V,пея,cantar
1349,tanzen::V,танцувам,bailar
1350,sich trennen::V,разделя се,apartar-se
1351,verlassen::V,напусна,deixar
1352,verlassen::V,напусна,abandonar
1353,retten::V,спася,salvar
1354,bewachen::V,охранявам,vigiar
1355,bewachen::V,охранявам,guardar
1356,schützen::V,запазя,proteger
1357,verteidigen::V,защитя,defender
1358,sich schlagen::V,бия се,brigar
1359,sich schlagen::V,бия се,bater-se
1360,schießen::V,стрелям,disparar
1361,siegen::V,победя,vencer
1362,ärgern::V,ядосам,irritar
1363,ärgern::V,ядосам,aborrecer
1364,schlagen::V,бия,bater
1365,schlagen::V,ударя,bater
1366,treten::V,ритам,pisar
1367,stechen::V,бодна,picar
1368,stoßen::V,бутна,empurrar
1369,stoßen::V,блъсна,empurrar
1370,stören::V,смутя,perturbar
1371,belästigen::V,отегча,incomodar
1372,belästigen::V,отегча,importunar
1373,belästigen::V,безпокоя,incomodar
1374,belästigen::V,безпокоя,importunar
1375,verbergen::V,скрия,ocultar
1376,verbergen::V,скрия,esconder
1377,täuschen::V,измамя,iludir
1378,täuschen::V,измамя,enganar
1379,betrügen::V,измамя,burlar
1380,betrügen::V,измамя,enganar
1381,töten::V,убия,matar
1382,töten::V,умъртвя,matar
1383,wohnen::V,живея,morar
1384,arbeiten::V,работя,trabalhar
1385,sammeln::V,събера,recolher
1386,sammeln::V,събера,coleccionar
1387,pflücken::V,бера,colher
1388,pflücken::V,откъсна,colher
1389,jagen::V,ловувам,caçar
1390,fischen::V,ловя риба,pescar
1391,fassen::V,хвана,apanhar
1392,hüten::V,пазя,guardar
1393,treiben::V,карам,conduzir
1394,anbinden::V,завържа,atar
1395,füttern::V,храня,dar de comer a
1396,melken::V,доя,ordenhar
1397,hacken::V,сека,rachar
1398,gießen::V,полея,regar
1399,reifen::V,узрея,amadurecer
1400,zubereiten::V,приготвя,preparar
1401,kochen::V,варя,cozer
1402,backen::V,пека,cozer
1403,braten::V,пържа,assar
1404,braten::V,пържа,fritar
1405,umrühren::V,разбъркам,remexer
1406,stricken::V,плета,tricotar
1407,stricken::V,плета,fazer malha
1408,nähen::V,шия,coser
1409,nähen::V,шия,costurar
1410,färben::V,боядисам,tingir
1411,färben::V,боядисам,colorir
1412,reinigen::V,почистя,limpar
1413,reinigen::V,почистя,purificar
1414,waschen::V,мия,lavar
1415,waschen::V,пера,lavar
1416,abwischen::V,избърша,limpar
