,Concept_ID,de,cv
248,Sinn::N,Sinn,тупсӑм
249,Sinn::N,Sinn,пӗлтерӗш
250,Grund::N,Grund,сӑлтав
251,Wahrheit::N,Wahrheit,чӑнлӑх
252,Gespräch::N,Gespräch,калаҫу
253,Märchen::N,Märchen,юмах
254,Erzählung::N,Erzählung,акалав
255,Erzählung::N,Erzählung,каласа пани
256,Nachricht::N,Nachricht,хыпар
257,Neuigkeit::N,Neuigkeit,ҫӗнӗ хыпар
258,Name::N,Name,ят
259,Rätsel::N,Rätsel,сутмалли юмах
260,Rede::N,Rede,сӑмах
261,Sprache::N,Sprache,чӗлхе
262,Stimme::N,Stimme,сасӑ
263,Wort::N,Wort,сӑмах
264,Zeichen::N,Zeichen,паллӑ
265,Ruf::N,Ruf,йыхрав
266,Ruf::N,Ruf,чӗнӳ
267,Lärm::N,Lärm,шав
268,Laut::N,Laut,сасӑ
269,Ton::N,Ton,сасӑ
270,Lied::N,Lied,юрӑ
271,Ruhe::N,Ruhe,канӑҫлӑх
272,Ruhe::N,Ruhe,лӑпкӑлӑх
273,Leute::N,Leute,ҫамрӑксем
274,Leute::N,Leute,ҫамрӑк ҫынсем
275,Volk::N,Volk,халӑх
276,Arbeit::N,Arbeit,ӗҫхӗл
277,Arbeit::N,Arbeit,ӗҫлев
278,Gast::N,Gast,хӑна
279,Geschenk::N,Geschenk,парне
280,Geschenk::N,Geschenk,кучченеҫ
281,Spiel::N,Spiel,вӑйӑ
282,Gesellschaft::N,Gesellschaft,общество
283,Hilfe::N,Hilfe,пулӑшу
284,Freund::N,Freund,тус
285,Kamerad::N,Kamerad,юлташ
286,Kamerad::N,Kamerad,тус
287,Angelegenheit::N,Angelegenheit,ӗҫ
288,Anzahl::N,Anzahl,йыш
289,Anzahl::N,Anzahl,хисеп
290,Art::N,Art,тӗс
291,Stück::N,Stück,татӑк
292,Teil::N,Teil,пай
