,Concept_ID,cs,it
797,plötzlich::ADV,vtom,all'improvviso
798,plötzlich::ADV,náhle,all'improvviso
799,sofort::ADV,hned,sùbito
800,sofort::ADV,hned,all'istante
801,sofort::ADV,ihned,sùbito
802,sofort::ADV,ihned,all'istante
803,später::ADV,později,più tardi
804,jetzt::ADV,teď,ora
805,jetzt::ADV,teď,adesso
806,jetzt::ADV,nyní,ora
807,jetzt::ADV,nyní,adesso
808,heute::ADV,dnes,oggi
809,heute::ADV,dneska,oggi
810,morgen::ADV,zítra,domani
811,bald::ADV,brzo,presto
812,bald::ADV,brzo,tra poco
813,dann::ADV,pak,allora
814,dann::ADV,potom,allora
815,gestern::ADV,včera,ieri
816,einst::ADV,kdysi,prima
817,einst::ADV,kdysi,un tempo
818,damals::ADV,tehdy,allora
819,damals::ADV,tenkrát,allora
820,danach::ADV,podle toho,poi
821,danach::ADV,podle toho,dopo
822,vorher::ADV,dříve,prima
823,vorher::ADV,napřed,prima
824,zuerst::ADV,nejprve,prima
825,zuerst::ADV,nejprve,dapprima
826,zuerst::ADV,nejdříve,prima
827,zuerst::ADV,nejdříve,dapprima
828,einmal::ADV,jednou,una volta
829,manchmal::ADV,někdy,talvolta
830,manchmal::ADV,někdy,qualche volta
