,Concept_ID,kn,el
394,Getreide::N,ಧಾನ್ಯ,σιτάρι
395,Brei::N,ಗಂಜಿ,χυλός
396,Brot::N,ರೊಟ್ಟಿ,ψωμί
397,Brot::N,ರೊಟ್ಟಿ,άρτος
398,Scheibe::N,ಹೋಳು,φέτα
399,Fett::N,ಕೊಬ್ಬು,πάχος
400,Butter::N,ಬೆಣ್ಣೆ,βούτυρο
401,Öl::N,ಎಣ್ಣೆ,λάδι
402,Salz::N,ಉಪ್ಪು,αλάτι
403,Suppe::N,ಎಸರು,σούπα
404,Honig::N,ಮಧು,μέλι
405,Milch::N,ಹಾಲು,γάλα
406,Tee::N,ಚಹ,τσάι
407,Leder::N,ಚಕ್ಕಳ,πετσί
408,Wolle::N,ಉಣ್ಣೆ,μαλλί
409,Stoff::N,ಬಟ್ಟೆ,ύφασμα
410,Nadel::N,ಸೂಜಿ,βελόνα
411,Faden::N,ದಾರ,κλωστή
412,Knopf::N,ಗುಂಡು,κουμπί
413,Knoten::N,ಗಂಟು,κόμπος
414,Farbe::N,ಬಣ್ಣ,μπογιά
415,Kleidung::N,ಅರಿವೆ,ρούχα
416,Kleidung::N,ಅರಿವೆ,ενδυμασία
417,Hemd::N,ಅಂಗಿ,πουκάμισο
418,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,κολάρο
419,Ärmel::N,ತೋಳು,μανίκι
420,Hose::N,ಇಜಾರ,πανταλόνι
421,Gürtel::N,ಬೆಲ್ಟು,ζώνη
422,Mütze::N,ಟೋಪಿ,σκούφος
423,Schuh::N,ಪಾದರಕ್ಷೆ,παπούτσι
424,Stiefel::N,ಬೂಟು,μπότα
425,Ring::N,ಉಂಗುರ,δαχτυλίδι
426,Band::N,ರಿಬ್ಬನ್,κορδέλα
427,Kamm::N,ಹಣಿಗೆ,χτένα
428,Spiegel::N,ಕನ್ನಡಿ,καθρέφτης
429,Riemen::N,ಬಾರು,λουρί
430,Schnur::N,ಹುರಿ,κορδόνι
431,Leine::N,ಹಗ್ಗ,σχοινί
432,Decke::N,ಕಂಬಳಿ,κουβέρτα
433,Kissen::N,ದಿಂಬು,μαξιλάρι
434,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,πανί
435,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,μαντήλι
436,Handtuch::N,ಚೌಕ,πετσέτα
437,Kraft::N,ಬಲ,δύναμη
438,Stärke::N,ಶಕ್ತಿ,ισχύς
439,Stärke::N,ಶಕ್ತಿ,δύναμη
440,Gesundheit::N,ಆರೋಗ್ಯ,υγεία
441,Krankheit::N,ರೋಗ,αρρώστια
442,Schmerz::N,ನೋವು,πόνος
443,Wunde::N,ಗಾಯ,πληγή
444,Fieber::N,ಜ್ವರ,πυρετός
445,Arznei::N,ಔಷಧ,φάρμακο
446,Brücke::N,ಸೇತುವೆ,γέφυρα
447,Brunnen::N,ಬಾವಿ,πηγάδι
448,Weide::N,ಗೋಮಾಳ,βοσκή
449,Pfad::N,ದಾರಿ,μονοπάτι
450,Weg::N,ಹಾದಿ,δρόμος
451,Straße::N,ರಸ್ತೆ,οδός
452,Straße::N,ರಸ್ತೆ,δρόμος
453,Dorf::N,ಹಳ್ಳಿ,χωριό
454,Stadt::N,ಪಟ್ಟಣ,πόλη
455,Brief::N,ಕಾಗದ,γράμμα
456,Brief::N,ಕಾಗದ,επιστολή
457,Buch::N,ಪುಸ್ತಕ,βιβλίο
458,Buchstabe::N,ಅಕ್ಷರ,γράμμα
459,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,εφημερίδα
460,Leben::N,ಜೀವನ,ζωή
461,Leben::N,ಜೀವನ,βίος
462,Tod::N,ಮರಣ,θάνατος
463,Grab::N,ಗೋರಿ,τάφος
464,Kirche::N,ಚರ್ಚು,εκκλησία
465,Sünde::N,ಪಾಪ,αμαρτία
466,Gott::N,ದೇವರು,θεός
467,Arbeiter::N,ಕೆಲಸಗಾರ,εργάτης
468,Chef::N,ದಣಿ,προϊστάμενος
469,Meister::N,ಶಿಕ್ಷಕ,μάστορας
470,Meister::N,ಶಿಕ್ಷಕ,αρχιτεχνίτης
471,Arzt::N,ವೈದ್ಯ,γιατρός
472,Lehrer::N,ಉಪಾಧ್ಯಾಯ,δάσκαλος
473,Geld::N,ಹಣ,λεφτά
474,Geld::N,ಹಣ,χρήματα
475,Geschäft::N,ವಾಣಿಜ್ಯ,συναλλαγή
476,Laden::N,ಅಂಗಡಿ,μαγαζί
477,Laden::N,ಅಂಗಡಿ,κατάστημα
478,Preis::N,ಬೆಲೆ,τιμή
479,Ware::N,ಸರಕು,εμπόρευμα
480,Nutzen::N,ಲಾಭ,όφελος
481,Reichtum::N,ಸಂಪತ್ತು,πλούτος
482,Welt::N,ಭೂಲೋಕ,κόσμος
483,Land::N,ದೇಶ,χώρα
484,Staat::N,ರಾಜ್ಯ,κράτος
485,Staat::N,ರಾಜ್ಯ,πολιτεία
486,König::N,ರಾಜ,βασιλιάς
487,Macht::N,ಅಧಿಕಾರ,εξουσία
488,Grenze::N,ಗಡಿ,σύνορα
489,Krieg::N,ಯುದ್ಧ,πόλεμος
490,Feind::N,ಶತ್ರು,εχθρός
491,Gewalt::N,ಹಿಂಸೆ,βία
492,Kampf::N,ಹೋರಾಟ,αγώνας
493,Bogen[Waffe]::N,ಬಿಲ್ಲು,τόξο
494,Pfeil::N,ಅಂಬು,σαΐτα
495,Gewehr::N,ಬಂದೂಕು,τουφέκι
496,Fehler::N,ತಪ್ಪು,λάθος
497,Fehler::N,ತಪ್ಪು,σφάλμα
498,Lüge::N,ಸುಳ್ಳು,ψέμα
499,Lüge::N,ಸುಳ್ಳು,ψεύδος
500,Schaden::N,ಹಾನಿ,ζημία
501,Unglück::N,ಅಪಾಯ,δυστυχία
502,Schuld::N,ದೋಷ,ενοχή
503,Schuld::N,ದೋಷ,φταίξιμο
504,Alter::N,ಮುಪ್ಪು,ηλικία
505,Schluss::N,ಮುಕ್ತಾಯ,τέλος
506,Zeit::N,ಕಾಲ,χρόνος
507,Tag::N,ದಿನ,μέρα
508,Tag::N,ದಿನ,ημέρα
509,Morgen::N,ಮುಂಜಾನೆ,πρωί
510,Mittag::N,ನಡುಹಗಲು,μεσημέρι
511,Abend::N,ಸಂಜೆ,βράδυ
512,Nacht::N,ರಾತ್ರಿ,νύχτα
513,Woche::N,ವಾರ,εβδομάδα
514,Monat::N,ತಿಂಗಳು,μήνας
515,Jahr::N,ಸಂವತ್ಸರ,έτος
516,Jahr::N,ಸಂವತ್ಸರ,χρόνος
517,Frühling::N,ವಸಂತ,άνοιξη
518,Sommer::N,ಬಿಸಿಲುಕಾಲ,καλοκαίρι
519,Herbst::N,ಶರತ್ಕಾಲ,φθινόπωρο
520,Winter::N,ಚಳಿಗಾಲ,χειμώνας
521,Januar::N,ನಾಲ್ಚಳಿ,Ιανουάριος
522,Februar::N,ಅಯ್ಚಳಿ,Φεβρουάριος
523,März::N,ಮೊಬ್ಬೇಸಿಗೆ,Μάρτιος
524,April::N,ಇಬ್ಬೇಸಿಗೆ,Απρίλιος
525,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,Μάιος
526,Juni::N,ಮೊಮ್ಮಳೆ,Ιούνιος
