,Concept_ID,mhr,ga
611,Unglück::N,эҥге́к,drochrath
612,Schuld::N,тита́к,locht
613,Schuld::N,тита́к,milleán
614,Schuld::N,йола́,locht
615,Schuld::N,йола́,milleán
616,Alter::N,ийго́т,aois
617,Schluss::N,муча́ш,deireadh
618,Zeit::N,жап,am
619,Zeit::N,жап,aimsir
620,Zeit::N,па́гыт,am
621,Zeit::N,па́гыт,aimsir
622,Tag::N,ке́че,lá
623,Morgen::N,эр,maidin
624,Mittag::N,кечыва́л,nóin
625,Abend::N,кас,tráthnóna
626,Nacht::N,йӱд,oíche
627,Woche::N,арня́,seachtain
628,Monat::N,ты́лзе,mí
629,Jahr::N,ий,bliain
630,Frühling::N,шо́шо,earrach
631,Sommer::N,кеҥе́ж,samhradh
632,Herbst::N,шы́же,fómhar
633,Winter::N,те́ле,geimhreadh
634,Januar::N,шоркыйол,Eanáir
635,Januar::N,идалыкву́й,Eanáir
636,Januar::N,янва́рь,Eanáir
637,Februar::N,пургыж,Feabhra
638,Februar::N,февра́ль,Feabhra
639,März::N,ӱярня,Márta
640,März::N,март,Márta
641,April::N,апре́ль,Aibreán
642,Mai::N,ага,Bealtaine
643,Mai::N,май,Bealtaine
644,Juni::N,пеледыш,Meitheamh
645,Juni::N,ию́нь,Meitheamh
646,Juli::N,сӱрем,Iúil
647,Juli::N,ию́ль,Iúil
648,August::N,сорла,Lúnasa
649,August::N,агарма́н,Lúnasa
650,August::N,а́вгуст,Lúnasa
651,September::N,идым,Meán Fómhair
652,September::N,сентя́брь,Meán Fómhair
653,Oktober::N,шыжа,Deireadh Fómhair
654,Oktober::N,октя́брь,Deireadh Fómhair
655,November::N,кылме тылзе,Samhain
656,November::N,кылме тылзе,Mí na Samhna
657,November::N,ноя́брь,Samhain
658,November::N,ноя́брь,Mí na Samhna
659,Dezember::N,дека́брь,Mí na Nollag
660,Montag::N,шо́чмо,Luan
661,Montag::N,шо́чмо,Dé Luain
662,Dienstag::N,ку́шкыжмо,Máirt
663,Dienstag::N,ку́шкыжмо,Dé Máirt
664,Mittwoch::N,вӱрге́че,Céadaoin
665,Mittwoch::N,вӱрге́че,Dé Céadaoin
666,Donnerstag::N,изарня́,Déardaoin
667,Freitag::N,кугарня́,Aoine
668,Freitag::N,кугарня́,Dé hAoine
669,Samstag::N,шуматке́че,Satharn
670,Samstag::N,шуматке́че,Dé Sathairn
671,Sonntag::N,рушарня́,Domhnach
672,Sonntag::N,рушарня́,Dé Domhnaigh
673,groß::A,кугу́,mór
674,klein::A,изи́,beag
675,lang::A,кужу́,fada
676,kurz::A,кӱ́чык,gearr
677,kurz::A,кӱ́чык,gairid
678,breit::A,кумда́,leathan
679,breit::A,кумда́,fairsing
680,schmal::A,а́ҥысыр,cúng
681,dicht::A,ну́гыдо,dlúth
682,dick[Gegenstand]::A,кӱ́жгӧ,tiubh
683,dünn::A,ви́чкыж,caol
684,dünn::A,ви́чкыж,tanaí
685,fein::A,ты́гыде,scáinte
686,fein::A,ты́гыде,fíneálta
687,fest::A,чо́ткыдо,daingean
688,flach::A,лапка́,cothrom
689,glatt::A,яклака́,mín
690,glatt::A,яклака́,sleamhain
691,hart::A,пе́ҥгыде,crua
692,weich::A,пу́шкыдо,bog
693,rund::A,йырге́шке,cruinn
694,spitz::A,коша́р,gobach
695,spitz::A,коша́р,biorach
696,scharf::A,пӱ́сӧ,géar
697,scharf::A,пӱ́сӧ,faobhrach
698,stumpf::A,токма́к,maol
699,schwer::A,не́ле,trom
700,schön::A,сы́лне,álainn
701,heiß::A,шо́кшо,te
702,warm::A,ле́ве,te
703,kalt::A,йӱ́штӧ,fuar
704,kühl::A,юа́лге,fionnuar
705,kühl::A,южгата́,fionnuar
706,frisch::A,свежа́,úr
707,frisch::A,свежа́,friseáilte
708,feucht::A,вӱ́дыжгӧ,tais
709,nass::A,нӧ́рӧ,fliuch
710,trocken::A,ку́кшо,tirim
711,voll::A,тич,lán
712,leer::A,яра́,folamh
713,offen::A,виш,oscailte
714,geschlossen::A,пе́тырыме,dúnta
715,geschlossen::A,пе́тырыме,druidte
716,geschlossen::A,тӱ́чмӧ,dúnta
717,geschlossen::A,тӱ́чмӧ,druidte
718,sauber::A,ару́,glan
719,sauber::A,янда́р,glan
720,schmutzig::A,лавыра́н,salach
721,schmutzig::A,ла́выргыше,salach
722,roh::A,кӱ́чымӧ,amh
723,reif::A,лӧза́,aibí
724,lecker::A,ту́тло,blasta
725,süß::A,ше́ре,milis
726,bitter::A,ко́чо,searbh
727,sauer::A,шо́по,géar
728,sauer::A,шо́по,searbh
729,hell::A,во́лгыдо,geal
730,hell::A,во́лгыдо,soilseach
