,Concept_ID,mrj,ja
743,dorthin::ADV,тӹшкӹлӓ,そちらへ
744,geradeaus::ADV,вик,真っ直ぐに
745,geradeaus::ADV,тура,真っ直ぐに
746,vorwärts::ADV,анзыкы,前へ
747,rückwärts::ADV,мӹнгеш,後ろへ
748,zurück::ADV,мӹнгеш,後ろへ
749,unten::ADV,ӱлнӹ,下に
750,unten::ADV,лӹвӓлнӹ,下に
751,hinab::ADV,ӱлӹкӹ,下へ
752,hinab::ADV,лӹвӓкӹ,下へ
753,oben::ADV,вӹлнӹ,上に
754,hinauf::ADV,кӱшкӹлӓ,上へ
755,hinauf::ADV,кӱш,上へ
756,überall::ADV,йӹлт,どこでも
757,überall::ADV,цилӓ вӓре,どこでも
758,nicht::ADV,уке,ない
759,ein wenig::ADV,изиш,少し
760,ein wenig::ADV,изиш,ちょっと
761,ein wenig::ADV,иклаштык,少し
762,ein wenig::ADV,иклаштык,ちょっと
763,kaum::ADV,цылик,ほとんど～ない
764,kaum::ADV,чучок-чучок,ほとんど～ない
765,sehr::ADV,чоте,とても
766,so::ADV,тенге,こう
767,so::ADV,тенгелӓ,こう
