,Concept_ID,de,lbe
683,zuerst::ADV,zuerst,бакӏрай
684,zuerst::ADV,zuerst,цӏу бутӏуй
685,einmal::ADV,einmal,цал
686,manchmal::ADV,manchmal,ваксса-таксса
687,oft::ADV,oft,чӏявуну
688,immer::ADV,immer,мудан
689,immer::ADV,immer,даиман
690,niemals::ADV,niemals,тачӏав
691,hier::ADV,hier,шикку
692,hierhin::ADV,hierhin,шиккун
693,von hier::ADV,von hier,шичча
694,dort::ADV,dort,гикку
695,dorthin::ADV,dorthin,тиккун
696,geradeaus::ADV,geradeaus,тӏайланм
697,vorwärts::ADV,vorwärts,хьхьичӏунмай
698,rückwärts::ADV,rückwärts,махъа-хьхьичӏунмай
699,zurück::ADV,zurück,махъунмай
700,unten::ADV,unten,лув
701,hinab::ADV,hinab,бакӏ-ялавай
702,hinab::ADV,hinab,бакӏъялавай
703,oben::ADV,oben,ялув
704,hinauf::ADV,hinauf,лавай
705,überall::ADV,überall,гьариий
706,überall::ADV,überall,хьу-хьуний
707,überall::ADV,überall,гьарца кӏанай
708,nicht::ADV,nicht,къа-
709,ein wenig::ADV,ein wenig,чанни
710,ein wenig::ADV,ein wenig,ца чансса
711,kaum::ADV,kaum,дахьа
712,sehr::ADV,sehr,оьну
713,sehr::ADV,sehr,гужну
714,sehr::ADV,sehr,хъинну
715,so::ADV,so,укукн
716,noch::ADV,noch,гьала
717,noch::ADV,noch,уттигу
718,noch::ADV,noch,цакьинва
719,noch::ADV,noch,ттигу-шилагу
720,nur::ADV,nur,анжагь
721,schon::ADV,schon,
722,wieder::ADV,wieder,цӏуницӏа
723,vergebens::ADV,vergebens,аьдада
724,vergebens::ADV,vergebens,нахӏакь
725,vor::PRP,vor,хьхьичӏ
726,hinter::PRP,hinter,махъ
