,Concept_ID,mdf,hu
493,Hose::N,понкст,gatya
494,Hose::N,понкст,nadrág
495,Gürtel::N,каркс,öv
496,Mütze::N,вазь,sapka
497,Schuh::N,башма́к,cipő
498,Stiefel::N,кя́ме,csizma
499,Ring::N,суркс,gyűrű
500,Band::N,керькс,szalag
501,Band::N,лента,szalag
502,Kamm::N,сюрьхцем,fésű
503,Spiegel::N,ванома,tükör
504,Riemen::N,шнань каркс,szíj
505,Schnur::N,пикс,zsinór
506,Schnur::N,карькскя,zsinór
507,Leine::N,вядьме,póráz
508,Decke::N,вельхкс,takaró
509,Kissen::N,тоду,párna
510,Tuch::N,руця́,kendő
511,Handtuch::N,на́рдама,törülköző
512,Kraft::N,вий,erő
513,Stärke::N,вииши,erő
514,Stärke::N,вииши,erősség
515,Gesundheit::N,шумбраши́,egészség
516,Krankheit::N,урма́,kór
517,Krankheit::N,урма́,betegség
518,Krankheit::N,сярядема,kór
519,Krankheit::N,сярядема,betegség
520,Schmerz::N,маряма,fájdalom
521,Wunde::N,керф,seb
522,Fieber::N,маштыкс,láz
