,Concept_ID,hu,ba
414,Puppe::N,bábu,ҡурсаҡ
415,Beutel::N,zacskó,тоҡ
416,Bündel::N,köteg,төргәк
417,Tasche::N,táska,сумка
418,Eimer::N,vödör,биҙрә
419,Deckel::N,fedő,ҡапҡас
420,Deckel::N,fedél,ҡапҡас
421,Geschirr::N,edény,һауыт-һаба
422,Sack::N,zsák,тоҡ
423,Tasse::N,csésze,сынаяҡ
424,Topf::N,fazék,кәстрүл
425,Kessel::N,üst,ҡаҙан
426,Kessel::N,bogrács,ҡаҙан
427,Essen::N,evés,ашау
428,Essen::N,étkezés,ашау
429,Nahrung::N,ennivaló,аҙыҡ
430,Speise::N,étel,аш
431,Fleisch::N,hús,ит
432,Getreide::N,gabona,иген
433,Getreide::N,gabona,ашлыҡ
434,Brei::N,pép,бутҡа
435,Brei::N,kása,бутҡа
436,Brot::N,kenyér,икмәк
437,Scheibe::N,szelet,телем
438,Fett::N,háj,май
439,Fett::N,zsír,май
440,Butter::N,vaj,май
441,Öl::N,olaj,май буяуы
442,Salz::N,só,тоҙ
443,Suppe::N,leves,һурпа
444,Honig::N,méz,бал
445,Milch::N,tej,һөт
446,Tee::N,tea,сәй
447,Leder::N,bőr,күн
448,Wolle::N,gyapjú,йөн
449,Stoff::N,szövet,туҡыма
450,Nadel::N,tű,энә
451,Faden::N,fonál,еп
452,Knopf::N,gomb,төймә
453,Knoten::N,csomó,төйөн
454,Farbe::N,szín,буяу
455,Farbe::N,festék,буяу
456,Kleidung::N,ruha,кейем
457,Kleidung::N,ruházat,кейем
458,Hemd::N,ing,күлдәк
459,Kragen::N,gallér,яға
460,Ärmel::N,ujj,ең
461,Hose::N,gatya,салбар
462,Hose::N,nadrág,салбар
463,Gürtel::N,öv,ҡайыш
464,Mütze::N,sapka,бүрк
465,Schuh::N,cipő,туфли
466,Stiefel::N,csizma,итек
467,Ring::N,gyűrű,йөҙөк
468,Ring::N,gyűrű,балдаҡ
469,Band::N,szalag,таҫма
470,Kamm::N,fésű,тараҡ
471,Spiegel::N,tükör,көзгө
472,Riemen::N,szíj,ҡайыш
473,Schnur::N,zsinór,бау
474,Leine::N,póráz,бау
475,Decke::N,takaró,одеяд
476,Kissen::N,párna,мендәр
477,Tuch::N,kendő,яулыҡ
478,Handtuch::N,törülköző,таҫтамал
479,Kraft::N,erő,көс
480,Stärke::N,erő,көс
481,Stärke::N,erősség,көс
482,Gesundheit::N,egészség,һаулыҡ
483,Krankheit::N,kór,сир
484,Krankheit::N,kór,ауырыу
485,Krankheit::N,betegség,сир
486,Krankheit::N,betegség,ауырыу
487,Schmerz::N,fájdalom,һыҙлау
488,Schmerz::N,fájdalom,әрнеү
489,Wunde::N,seb,йәрәхәт
490,Fieber::N,láz,тапма
491,Fieber::N,láz,биҙгәк
492,Arznei::N,orvosság,дарыу
493,Arznei::N,gyógyszer,дарыу
494,Brücke::N,híd,күпер
495,Brunnen::N,kút,ҡоҙоҡ
496,Weide::N,legelő,көтөүлек
497,Pfad::N,ösvény,һуҡмаҡ
498,Weg::N,út,юл
499,Straße::N,út,урам
500,Dorf::N,falu,ауыл
501,Stadt::N,város,ҡала
502,Brief::N,levél,хат
503,Buch::N,könyv,китап
504,Buch::N,könyv,кенәгә
505,Buchstabe::N,betű,хәреф
506,Zeitung::N,újság,гәзит
507,Zeitung::N,hírlap,гәзит
508,Leben::N,élet,йәшәү
509,Tod::N,halál,үлем
510,Grab::N,sír,ҡәбер
511,Kirche::N,templom,сиркәү
512,Sünde::N,bűn,гөнаһ
513,Sünde::N,vétek,гөнаһ
514,Gott::N,isten,алла
515,Gott::N,isten,хоҙай
516,Arbeiter::N,munkás,эшсе
517,Chef::N,főnök,башлыҡ
518,Meister::N,mester,оҫта
519,Arzt::N,orvos,врач
520,Lehrer::N,tanár,уҡытыусы
521,Lehrer::N,tanító,уҡытыусы
522,Geld::N,pénz,аҡса
523,Geschäft::N,üzlet,эш
524,Laden::N,bolt,магазин
525,Preis::N,ár,хаҡ
526,Ware::N,áru,тауар
527,Nutzen::N,haszon,файҙа
528,Reichtum::N,gazdagság,байлыҡ
529,Welt::N,világ,донъя
530,Land::N,ország,ил
531,Staat::N,állam,дәүләт
532,König::N,király,король
533,Macht::N,hatalom,власть
534,Grenze::N,határ,сик
535,Krieg::N,háború,һуғыш
536,Feind::N,ellenség,йылан
537,Gewalt::N,erőszak,көслөк
538,Kampf::N,harc,көрәш
539,Bogen[Waffe]::N,íj,йәйә
540,Pfeil::N,nyíl,уҡ
541,Gewehr::N,puska,мылтыҡ
542,Gewehr::N,fegyver,мылтыҡ
543,Fehler::N,hiba,хата
544,Lüge::N,hazugság,ялған
545,Schaden::N,kár,зыян
546,Schaden::N,kár,зарар
547,Unglück::N,csapás,ҡаза
548,Unglück::N,balszerencse,ҡаза
549,Schuld::N,bűn,ғәйеп
550,Alter::N,kor,йәш
551,Schluss::N,vég,һуң
552,Schluss::N,vég,аҙаҡ
553,Schluss::N,befejezés,һуң
554,Schluss::N,befejezés,аҙаҡ
555,Zeit::N,idő,мәл
556,Zeit::N,idő,заман
557,Tag::N,nap,көн
558,Morgen::N,reggel,иртә
559,Morgen::N,reggel,иртәнсәк
560,Mittag::N,dél,төш
561,Abend::N,este,кис
562,Nacht::N,éj,төн
563,Nacht::N,éjszaka,төн
564,Woche::N,hét,аҙна
565,Monat::N,hó,ай
566,Monat::N,hónap,ай
567,Jahr::N,év,йыл
568,Frühling::N,tavasz,яҙ
569,Sommer::N,nyár,йәй
570,Herbst::N,ősz,көз
571,Winter::N,tél,ҡыш
572,Januar::N,január,ғинуар
573,Februar::N,február,февраль
574,März::N,március,март
575,April::N,április,апрель
576,Mai::N,május,май
577,Juni::N,június,июнь
578,Juli::N,július,июль
579,August::N,augusztus,август
580,September::N,szeptember,сентябрь
581,Oktober::N,október,октябрь
582,November::N,november,ноябрь
583,Dezember::N,december,декабрь
584,Montag::N,hétfő,дүшәмбе
585,Dienstag::N,kedd,шишәмбе
586,Mittwoch::N,szerda,шаршамбы
587,Donnerstag::N,csütörtök,кесаҙна
588,Freitag::N,péntek,йома
589,Samstag::N,szombat,шәмбе
590,Sonntag::N,vasárnap,йәкшәмбе
591,groß::A,nagy,ҙур
592,klein::A,pici,бәләкәс
593,klein::A,kicsi,бәләкәс
594,lang::A,hosszú,оҙон
595,kurz::A,rövid,ҡыҫҡа
596,breit::A,széles,киң
597,schmal::A,keskeny,тар
598,dicht::A,sűrű,йыш
599,dicht::A,sűrű,ҡуйы
600,dick[Gegenstand]::A,vastag,ҡалын
601,dünn::A,vékony,йоҡа
602,dünn::A,vékony,нәҙек
603,fein::A,vékony,нескә
604,fest::A,szilárd,ныҡ
605,flach::A,sík,яҫы
606,flach::A,sík,ялпаҡ
607,flach::A,lapos,яҫы
608,flach::A,lapos,ялпаҡ
609,glatt::A,sima,шыма
610,hart::A,kemény,ҡаты
611,weich::A,puha,йомшаҡ
612,rund::A,kerek,түңәрәк
613,spitz::A,hegyes,осло түбәле
614,scharf::A,éles,үткер
615,stumpf::A,tompa,утмәҫ
616,stumpf::A,életlen,утмәҫ
617,schwer::A,nehéz,ауыр
618,schwer::A,súlyos,ауыр
619,schön::A,szép,матур
620,heiß::A,forró,эҫе
621,warm::A,meleg,йылы
622,kalt::A,hideg,һыуыҡ
623,kühl::A,hűs,һалҡынса
624,kühl::A,hűvös,һалҡынса
625,frisch::A,üde,һалҡынса
626,frisch::A,friss,һалҡынса
627,feucht::A,nedves,еүеш
628,feucht::A,nedves,дымлы
629,nass::A,vizes,еүеш
630,trocken::A,száraz,кипкән
631,voll::A,telt,тулы
632,leer::A,üres,буш
633,offen::A,nyílt,асыҡ
634,offen::A,nyitott,асыҡ
635,geschlossen::A,zárt,ябыҡ
636,geschlossen::A,csukott,ябыҡ
637,sauber::A,tiszta,таҙа
638,schmutzig::A,piszkos,бысраҡ
639,schmutzig::A,szennyes,бысраҡ
640,roh::A,nyers,сей
641,reif::A,érett,өлгөрғән
642,lecker::A,finom,тәмле
643,süß::A,édes,тямле
644,süß::A,édes,тәм-том
645,bitter::A,keserű,әсе
646,sauer::A,savanyú,әсе
647,hell::A,világos,яҡты
648,dunkel::A,sötét,ҡараңғы
649,schwarz::A,fekete,ҡара
650,weiß::A,fehér,аҡ
651,rot::A,vörös,матур
652,rot::A,vörös,һылыу
653,rot::A,vörös,сибәр
654,gelb::A,sárga,һары
655,blau::A,kék,күк
656,grün::A,zöld,йәшел
657,grau::A,ősz,буҙ
658,grau::A,szürke,буҙ
659,bunt::A,tarka,сыбар
660,bunt::A,tarka,ала-ҡола
661,bunt::A,színes,сыбар
662,bunt::A,színes,ала-ҡола
663,billig::A,olcsó,арзан
664,teuer::A,drága,ҡыйбатлы
665,wertvoll::A,értékes,ҡиммәтле
666,blind::A,vak,һуҡыр
