,Concept_ID,kv,sl
606,schwarz::A,сьӧд,čŕn
607,weiß::A,чочком,bél
608,rot::A,гӧрд,rdèč
609,gelb::A,веж,žólt
610,gelb::A,веж,rumèn
611,blau::A,лӧз,móder
612,grün::A,веж,zelèn
613,grau::A,руд,sív
614,grau::A,бусӧй,sív
615,bunt::A,быдрӧма,písan
616,billig::A,донтӧм,pocéni
617,teuer::A,дона,drág
618,wertvoll::A,дона,dragocén
619,blind::A,синтӧм,slép
620,taub::A,пельтӧм,glúh
621,kräftig::A,вына,močán
622,stark::A,вына,ják
623,schwach::A,некодя,šíbek
624,fett::A,госа,dêbel
625,schlank::A,статя,vítek
626,hübsch::A,басӧк,lép
627,böse::A,лёк,zèl
628,böse::A,лёк,hudôben
629,dumm::A,бӧбӧв,glúp
630,dumm::A,бӧбӧв,bédast
631,dumm::A,вежӧртӧм,glúp
632,dumm::A,вежӧртӧм,bédast
633,faul::A,дыш,lén
634,fleißig::A,уджалicь,marljív
635,geizig::A,жикмӧра,škŕt
636,geizig::A,горшаліcь,škŕt
637,klug::A,авья,pámeten
638,klug::A,вежӧра,pámeten
639,geschickt::A,кипода,spréten
640,lieb::A,муса,míl
641,lieb::A,муса,ljúb
642,lieb::A,дзулиньӧй,míl
643,lieb::A,дзулиньӧй,ljúb
644,lustig::A,гажа,vesél
645,sanft::A,лебезнӧй,láhek
646,hungrig::A,тшыг,láčen
647,krank::A,шогалiсь,bolán
648,nackt::A,куш,nág
649,traurig::A,жугыль,túžen
650,lebendig::A,ловья,žív
651,gut::A,бур,dóber
652,schlecht::A,умӧль,malopríden
653,schlimm::A,нештӧм,húd
654,alt::A,важ,stàr
655,neu::A,виль,nòv
656,ehemalig::A,вӧвлӧм,nekdánji
657,alt[Lebewesen]::A,года,stàr
658,alt[Lebewesen]::A,годдэза,stàr
659,jung::A,том,mlád
660,arm::A,гов,ubóg
661,arm::A,гов,réven
662,arm::A,беднӧй,ubóg
663,arm::A,беднӧй,réven
664,reich::A,эма,bogàt
665,bekannt::A,тӧдса,znán
666,fremd::A,чужӧй,túj
667,verschieden::A,быдкодь,razlíčen
668,nah::A,матiсь,blížnji
669,fern::A,ылicь,dáleč
670,linker::A,шульга,lévi
671,rechter::A,веськытланись,désni
672,anderer::A,мукӧд,drúgi
673,erster::A,медодзза,pŕvi
674,zweiter::A,кыкӧт,drúgi
675,dritter::A,куимӧт,trétji
676,dritter::A,куимӧдз,trétji
677,letzter::A,бӧрья,poslédnji
678,letzter::A,мёдбӧрья,poslédnji
679,auf einmal::ADV,тшӧтш,obênem
680,zusammen::ADV,ӧтлаын,skúpaj
681,lange::ADV,дыр,dólgo
682,plötzlich::ADV,друг,náglo
683,plötzlich::ADV,друг,nenádoma
684,sofort::ADV,тшӧтш,prècej
685,später::ADV,медбӧрын,poznêje
686,jetzt::ADV,ӧні,zdàj
687,heute::ADV,талун,dánes
688,morgen::ADV,ашын,jútri
689,bald::ADV,чожа,kmálu
690,dann::ADV,сыбӧрын,nató
691,gestern::ADV,тӧн,včéraj
692,einst::ADV,ӧтпыр,nékdaj
693,damals::ADV,сэк,tedàj
694,damals::ADV,сэк,takràt
695,damals::ADV,сэки,tedàj
696,damals::ADV,сэки,takràt
697,danach::ADV,сэсся,potèm
698,vorher::ADV,одзжык,poprèj
699,zuerst::ADV,наперво,spŕva
700,einmal::ADV,ӧтпыр,ênkrat
701,manchmal::ADV,мукӧдпыр,včásih
702,oft::ADV,-лы-,pogósto
703,immer::ADV,быдпыр,védno
704,immer::ADV,быдпыр,zméraj
705,immer::ADV,быдпырся,védno
706,immer::ADV,быдпырся,zméraj
707,niemals::ADV,некӧр,nikdàr
708,hier::ADV,татӧн,tù
709,hier::ADV,татӧн,túkaj
710,hierhin::ADV,татчӧ,sèmkaj
711,von hier::ADV,тасянь,od tú
712,dort::ADV,сэтӧн,tàm
713,dorthin::ADV,сэтчин,tjà
714,geradeaus::ADV,веськыта,rávno napréj
715,vorwärts::ADV,одзӧ,napréj
716,rückwärts::ADV,бӧр,zádaj
717,zurück::ADV,бӧр,nazáj
718,unten::ADV,увтын,dôli
719,unten::ADV,увтын,spôdaj
720,hinab::ADV,увтас,dôl
721,oben::ADV,вевдӧрас,gôri
722,oben::ADV,вевдӧрас,zgôraj
723,hinauf::ADV,вывлань,gôr
724,hinauf::ADV,вывланьӧ,gôr
725,überall::ADV,быдлан,povsód
726,nicht::ADV,ог,ne
727,ein wenig::ADV,-ышт,málo
728,ein wenig::ADV,невна,málo
729,kaum::ADV,ӧдва,kómaj
730,sehr::ADV,вывтi,zeló
731,so::ADV,сiдз,takó
732,noch::ADV,эшӧ,še
733,nur::ADV,только,samó
734,schon::ADV,ни,žè
735,wieder::ADV,бӧра,spét
736,vergebens::ADV,весись,zamàn
737,vergebens::ADV,весись,zastónj
738,vor::PRP,одзас,pred
739,hinter::PRP,бӧрӧ,za
740,unter::PRP,увтын,pod
741,durch::PRP,пыр,skózi
742,neben::PRP,бокам,kràj
743,neben::PRP,бокам,póleg
744,neben::PRP,боксиным,kràj
745,neben::PRP,боксиным,póleg
746,zwischen::PRP,коласас,med
747,zwischen::PRP,коласас,izmed
748,wegen::PRP,понда,zarádi
749,dies::PRN,эта,tó
750,das::PRN,сiя,tó
751,alles::PRN,быдӧс,vsè
752,ich::PRN,ме,jàz
753,du::PRN,тэ,tí
754,er::PRN,сiя,òn
755,wir::PRN,мийӧ,mí
756,ihr::PRN,ті,ví
757,sie::PRN,нія,ôni
758,was::FPRN,мый,káj
759,wer::FPRN,кин,kdó
760,wo::FADV,кытӧн,kjé
761,wohin::FADV,кытчӧ,kám
762,wie::FADV,дзик,kakó
763,warum::FADV,мыля,zakáj
764,warum::FADV,мыйсянь,zakáj
765,wieviel::FNUM,мымда,kóliko
766,eins::NUM,ӧт,êden
767,zwei::NUM,кык,dvá
768,drei::NUM,куим,trí
769,vier::NUM,нёль,štíri
770,fünf::NUM,вит,pét
771,sechs::NUM,квать,šést
772,sieben::NUM,сизим,sédem
773,acht::NUM,кыкьямыс,ósem
774,neun::NUM,ӧкмыс,devét
775,zehn::NUM,дас,desét
776,elf::NUM,дасотік,enájst
777,zwölf::NUM,даскык,dvánajst
778,zwanzig::NUM,кыкдас,dvájset
779,dreißig::NUM,куимдас,trídeset
780,vierzig::NUM,нёльдас,štírideset
781,fünfzig::NUM,витдас,pétdeset
782,sechzig::NUM,кватьдас,šéstdeset
783,siebzig::NUM,сизимдас,sédemdeset
784,achtzig::NUM,кыкьямысдас,ósemdeset
785,neunzig::NUM,ӧкмысдас,devétdeset
786,hundert::NUM,сто,stó
787,tausend::NUM,тысяча,tísoč
788,und::CNJ,и,in
789,und::CNJ,да,in
