,Concept_ID,tt,uz
601,grau::A,соры,bo'z
602,bunt::A,чуар,ola
603,billig::A,арзан,arzon
604,teuer::A,хаклы,qimmat
605,wertvoll::A,кыйммәтле,qimmat
606,blind::A,сукыр,ko'r
607,blind::A,күзсез,ko'r
608,taub::A,чукрак,garang
609,taub::A,саңгырау,garang
610,kräftig::A,егәрле,kuchli
611,stark::A,нык,quvvatli
612,stark::A,базык,quvvatli
613,schwach::A,зәгыйфь,kuchsiz
614,fett::A,симез,semiz
615,schlank::A,нәзек,ingichka
616,hübsch::A,чибәр,ko'rkam
617,böse::A,усал,yovuz
618,dumm::A,акылсыз,aqlsiz
619,faul::A,ялкау,ärinchak
620,faul::A,иренчәк,ärinchak
621,fleißig::A,тырыш,ishchan
622,fleißig::A,тырышучан,ishchan
623,geizig::A,саран,qurumsoq
624,klug::A,акыллы,oqil
625,geschickt::A,маһир,äpchil
626,lieb::A,сөекле,aziz
627,lustig::A,күңелле,chaqchaq
628,sanft::A,басынкы,asta
629,hungrig::A,ач,och
630,krank::A,чирле,kasal
631,krank::A,сырхау,kasal
632,nackt::A,шәрә,yalang
633,traurig::A,ямансу,xafa
634,lebendig::A,тере,hayotiy
635,gut::A,яхшы,soz
636,schlecht::A,начар,yomon
637,richtig::A,дөрес,rost
638,schlimm::A,әшәкә,yovuz
639,wahr::A,чып-чын,haqiqiy
640,alt::A,иске,äski
641,neu::A,яңа,yangi
642,ehemalig::A,элекке,sobiq
643,alt[Lebewesen]::A,карт,qari
644,jung::A,яшь,navqiron
645,arm::A,фәкыйрь,abgor
646,reich::A,бай,boy
647,bekannt::A,таныш,ma'lum
648,berühmt::A,атаклы,mashhur
649,fremd::A,ят,yot
650,verschieden::A,төрле,turli
651,nah::A,якын,yaqindagi
652,fern::A,ерак,uzoq
653,linker::A,сул,so'l
654,rechter::A,уң,o'ng
655,anderer::A,бүтән,boshqa
656,erster::A,беренче,birinchi
657,zweiter::A,икенче,ikkinchi
658,dritter::A,өченче,uchinchi
659,letzter::A,ахыргы,oxirgi
660,allein::ADV,ялгыз,o'zicha
661,auf einmal::ADV,бердән,varakay
662,zusammen::ADV,бергә,barobar
663,lange::ADV,озак,uzoq
664,plötzlich::ADV,искәрмәстән,qo'qqisdan
665,sofort::ADV,хәзер,darrov
666,später::ADV,соңрак,so'ngra
667,jetzt::ADV,хәзер,hozirgina
668,heute::ADV,бүген,bugun
669,morgen::ADV,иртәгә,ärta
670,bald::ADV,тиздән,toz
671,dann::ADV,аннары,keyin
672,gestern::ADV,кичә,kecha
673,einst::ADV,берчак,avvallari
674,damals::ADV,ул вакытта,ugal
675,damals::ADV,ул чакта,ugal
676,danach::ADV,да,so'ngra
677,vorher::ADV,элек,avval
678,zuerst::ADV,башта,avval
679,einmal::ADV,бер,bir marta
680,einmal::ADV,бер мәртәбә,bir marta
681,manchmal::ADV,кайчакта,onda-sonda
682,oft::ADV,еш,tez-tez
683,immer::ADV,һәркайчан,har vaqt
684,niemals::ADV,hичбер вакыт,hargiz
685,hier::ADV,монда,shu erda
686,hier::ADV,биредә,shu erda
687,hierhin::ADV,монда,beri
688,von hier::ADV,моннан,shu erdan
689,dort::ADV,анда,ana
690,dorthin::ADV,тегеләй,u yerga
691,geradeaus::ADV,турыдан-туры,to'g'ri
692,vorwärts::ADV,алга,ilgari
693,rückwärts::ADV,кире,qoloq
694,zurück::ADV,кире,orqada
695,unten::ADV,түбәндә,pastda
696,hinab::ADV,аска,tubanga
697,oben::ADV,өстә,ustida
698,oben::ADV,югарыда,ustida
699,hinauf::ADV,өскә,yuqorida
700,überall::ADV,hәркайда,har erda
701,nicht::ADV,түгел,ämas
702,ein wenig::ADV,бераз,biroz
703,kaum::ADV,көчкә,arang
704,sehr::ADV,бик,ancha
705,so::ADV,алай,shunday
706,noch::ADV,янә,hali
707,noch::ADV,тагын,hali
708,nur::ADV,фәкать,yolg'iz
709,schon::ADV,инде,endi
710,wieder::ADV,янә,yana
711,wieder::ADV,тагын,yana
712,vergebens::ADV,юкка,bekorga
713,vor::PRP,алдыннан,burun
714,hinter::PRP,арттан,ketida
715,unter::PRP,астында,ostida
716,durch::PRP,аша,bo'ylab
717,neben::PRP,тирәсендә,yonida
718,zwischen::PRP,арасында,orada
719,wegen::PRP,сәбәпле,sababli
720,dies::PRN,бу,o'sha
721,das::PRN,ул,narigi
722,alles::PRN,һәммә,har nima
723,ich::PRN,мин,men
724,du::PRN,син,sen
725,er::PRN,ул,u
726,wir::PRN,без,biz
727,ihr::PRN,сез,siz
728,sie::PRN,ул,ular
729,was::FPRN,ни,nima
730,was::FPRN,нәрсә,nima
731,wer::FPRN,кем,kim
732,wo::FADV,кайда,qaerda
733,wohin::FADV,кая,qayerga
734,wie::FADV,ничек,qanday
735,warum::FADV,нигә,nega
736,wieviel::FNUM,ничә,qancha
737,eins::NUM,бер,bir
738,zwei::NUM,ике,ikki
739,drei::NUM,өч,uch
740,vier::NUM,дүрт,to'rt
741,fünf::NUM,биш,besh
742,sechs::NUM,алты,olti
743,sieben::NUM,җиде,etti
744,acht::NUM,сигез,sakkiz
745,neun::NUM,тугыз,to'qqiz
746,zehn::NUM,ун,o'n
747,elf::NUM,унбер,o'n bir
748,zwölf::NUM,унике,o'n ikki
749,zwanzig::NUM,егерме,yigirma
750,dreißig::NUM,утыз,o'ttiz
751,vierzig::NUM,кырык,qirq
752,fünfzig::NUM,илле,ällik
753,sechzig::NUM,алтмыш,oltmish
754,siebzig::NUM,җитмеш,etmish
755,achtzig::NUM,сиксән,sakson
756,neunzig::NUM,туксан,to'qson
757,hundert::NUM,йөз,yuz
758,tausend::NUM,мең,ming
759,und::CNJ,вә,va
760,oder::CNJ,яки,yo
761,oder::CNJ,яисә,yo
762,stehen::V,тору,turmoq
763,sitzen::V,утыру,o'tirmoq
764,liegen::V,яту,yotmoq
765,hängen::V,эленү,osilmoq
766,werden::V,булу,bo'lmoq
767,passieren::V,булу,bo'lib o'tmoq
768,beginnen::V,башлану,boshlanmoq
769,enden::V,бетү,bitmoq
770,wechseln::V,үзгәртү,o'zgarmoq
771,aufgehen[Sonne]::V,чыгу,chiqmoq
772,untergehen[Sonne]::V,бату,botmoq
773,scheinen[Sonne]::V,яктырту,yaraqlamoq
774,donnern::V,күкрәү,gulduramoq
775,wehen::V,исү,elpimoq
776,strömen::V,агу,oqmoq
777,fließen::V,агу,oqmoq
778,sich drehen::V,бөтерелү,aylanmoq
779,schwanken::V,икеләнү,qoqilmoq
780,schwingen::V,тирбәлү,lopillamoq
781,fallen::V,егылу,tushmoq
782,brennen::V,яну,yonmoq
783,rauchen::V,төтәү,tutamoq
