,Concept_ID,mdf,cy
748,fern::A,куна́рдонь,pell
749,linker::A,кержи,aswy
750,linker::A,кержи,chwith
751,rechter::A,види,de
752,rechter::A,види,deau
753,anderer::A,лия,arall
754,erster::A,васенце,cyntaf
755,zweiter::A,омбоце,ail
756,dritter::A,колмоце,trydydd
757,letzter::A,ме́кольце,olaf
758,allein::ADV,ськамонза,unig
759,allein::ADV,ськамонза,ar ei ben ei hun
760,auf einmal::ADV,вихцок,ar yr un pryd
761,zusammen::ADV,марс,ynghyd
762,zusammen::ADV,марс,gyda'i gilydd
763,zusammen::ADV,ма́рса,ynghyd
764,zusammen::ADV,ма́рса,gyda'i gilydd
765,lange::ADV,кува́тьс,amser hir
766,plötzlich::ADV,а́пак учт,yn sydyn
767,sofort::ADV,тяникиге,ar unwaith
768,später::ADV,ме́ле,yn ddiweddarach
769,jetzt::ADV,тяни,yn awr
770,heute::ADV,тячи,heddiw
771,morgen::ADV,ва́нды,yfory
772,bald::ADV,курок,yn fuan
773,bald::ADV,курок,gyda hyn
774,dann::ADV,меле,yna
775,dann::ADV,меле,y pryd hwnnw
776,dann::ADV,сяда меле,yna
777,dann::ADV,сяда меле,y pryd hwnnw
778,gestern::ADV,ися́к,ddoe
779,einst::ADV,весть,gynt
