,Concept_ID,ar,kl
432,Leiter::N,سلم,majuartarfiit
433,Besen::N,مكنسة,saligutit
434,Spaten::N,مسحاة,nivaataq
435,Schaufel::N,مجرفة,nivaataq
436,Gabel::N,شوكة,qilluaq
437,Gabel::N,شوكة,ajassaatit
438,Löffel::N,ملعقة,alussaat
439,Messer::N,سكين,savik
440,Nagel::N,مسمار,kukik
441,Netz::N,شبكة,anguffaseq
442,Haken::N,خطاف,nissik
443,Haken::N,خطاف,qarsorsaq
444,Haken::N,خطاف,qarsorsartoq
445,Haken::N,صنارة,nissik
446,Haken::N,صنارة,qarsorsaq
447,Haken::N,صنارة,qarsorsartoq
448,Griff::N,قبضة,ipi
449,Schloss::N,قفل,illussaarsuaq
450,Bild::N,صورة,assiliaq
451,Figur::N,تمثال,kisitsit
452,Puppe::N,دمية,inuusaq
453,Beutel::N,كيس,
454,Bündel::N,ربطة,qilertaq
455,Tasche::N,شنطة,pooqattaq
456,Tasche::N,محفظة,pooqattaq
457,Eimer::N,سطل,
458,Eimer::N,جردل,
459,Deckel::N,سداد,matu
460,Geschirr::N,أوان,anut
461,Sack::N,زكيبة,
462,Tasse::N,فنجان,tiitorfik
463,Tasse::N,فنجان,tiitorfiup ilorlia
464,Topf::N,قدر,qoqqoq
465,Topf::N,طنجرة,qoqqoq
466,Kessel::N,قدر,uunnaavik
467,Kessel::N,غلاية,uunnaavik
468,Essen::N,طعام,igaaq
469,Nahrung::N,غذاء,neqissaq
470,Speise::N,أكل,nerisassat
471,Fleisch::N,لحم,neqi
472,Getreide::N,حبوب,maannineq
473,Brei::N,عصيدة,
474,Brot::N,خبز,iffit
475,Brot::N,خبز,iffiaq
476,Scheibe::N,شريحة,igalaassiaq
477,Fett::N,سمن,tarnutissaq
478,Fett::N,سمن,tarnutissiaq
479,Butter::N,زبدة,punneq
480,Öl::N,زيت,uulia
481,Salz::N,ملح,taratsut
482,Suppe::N,حساء,qajoq
483,Suppe::N,شربة,qajoq
484,Honig::N,عسل,tungusunnitsuut
485,Milch::N,حليب,immuk
486,Tee::N,شاي,tii
487,Tee::N,شاي,teeq
488,Leder::N,جلد,
489,Wolle::N,صوف,nuersagassiaq
490,Stoff::N,قماش,milliaq
491,Stoff::N,قماش,qarlissiaq
492,Nadel::N,إبرة,meqqut
493,Faden::N,خيط,ujalussiaq
494,Knopf::N,زر,attat
495,Knoten::N,عقدة,akeroq
496,Knoten::N,عقدة,qilerneq
497,Farbe::N,صبغة,qalipaat
498,Kleidung::N,ملابس,atisat
499,Kleidung::N,ملابس,annoraaq
500,Hemd::N,قميص,ilupaaq
501,Kragen::N,ياقة,qungasiinnaq
502,Ärmel::N,كم,aaq
503,Hose::N,سروال,qarliit
504,Hose::N,بنطلون,qarliit
505,Gürtel::N,حزام,qiterut
506,Gürtel::N,حزام,unngersaq
507,Mütze::N,طاقية,nasaq
508,Schuh::N,حذاء,skuu
509,Schuh::N,حذاء,ikernuk
510,Schuh::N,حذاء,ateraasaq
511,Stiefel::N,جزمة,kamik
512,Stiefel::N,حذاء طويل,kamik
513,Ring::N,حلقة,assammiu
514,Band::N,شريط,qilerutissiaq
515,Kamm::N,مشط,illaagutit
516,Kamm::N,مشط,illaajaatit pl.
517,Spiegel::N,مرآة,tarrarsuut
518,Riemen::N,سير,allunaaq
519,Schnur::N,حبل,kujaaq
520,Schnur::N,حبل,allunaasaq
521,Schnur::N,دوبارة,kujaaq
522,Schnur::N,دوبارة,allunaasaq
523,Leine::N,قيد,aleq
524,Decke::N,بطانية,qipik
525,Kissen::N,وسادة,akit
526,Tuch::N,منديل,qarlissiaq
527,Handtuch::N,فوطة,allarut
528,Handtuch::N,فوطة,allarterut
529,Handtuch::N,منشفة,allarut
530,Handtuch::N,منشفة,allarterut
531,Kraft::N,قدرة,pissak
532,Stärke::N,قوة,qerattarsaat
533,Gesundheit::N,صحة,peqqisusseq
534,Krankheit::N,مرض,nappaat
535,Schmerz::N,ألم,anniaat
536,Schmerz::N,وجع,anniaat
537,Wunde::N,جرح,iki
538,Fieber::N,حمى,nappaat qanimanartoq
539,Arznei::N,دواء,imigassaq
540,Brücke::N,جسر,ikaartarfik
541,Brunnen::N,بئر,tissaluttuliaq
542,Weide::N,مرعى,masarsuk
543,Pfad::N,درب,aqqut
544,Weg::N,سكة,aggerfik
545,Straße::N,طريق,aqqusineq
546,Dorf::N,قرية,nunaqarfik
547,Stadt::N,مدينة,illorpaat
548,Stadt::N,مدينة,illorpalik
549,Brief::N,خطاب,allagarsiaq
550,Brief::N,مكتوب,allagarsiaq
551,Buch::N,كتاب,atuakkat
552,Buch::N,كتاب,mappersagaq
553,Buchstabe::N,حرف,naqinneq
554,Zeitung::N,جريدة,aviisi
555,Leben::N,عيش,inuussuseq
556,Leben::N,حياة,inuussuseq
557,Tod::N,موت,toqu
558,Tod::N,موت,toquneq
559,Tod::N,وفاة,toqu
560,Tod::N,وفاة,toquneq
561,Grab::N,قبر,iliveq
562,Grab::N,قبر,illissat
563,Kirche::N,كنيسة,oqaluffik
564,Sünde::N,خطيئة,ajorti
565,Gott::N,إله,
566,Arbeiter::N,عامل,sulisoq
567,Chef::N,رئيس,ittoqut
568,Meister::N,أسطى,naalagaq
569,Arzt::N,طبيب,katsorsaasoq
570,Lehrer::N,مدرس,ilinniartitsisoq
571,Geld::N,نقود,aningaasat
572,Geschäft::N,صفقة,niuertarfik
573,Laden::N,دكان,niuertarfik
574,Preis::N,سعر,aki
575,Ware::N,بضاعة,qaliata pii
576,Ware::N,بضاعة,nioqqutissaq
577,Nutzen::N,فائدة,iluaqut
578,Reichtum::N,غنى,
579,Reichtum::N,ثروة,
580,Welt::N,عالم,nunarsuaq
581,Welt::N,دنيا,nunarsuaq
582,Land::N,بلد,nuna
583,Staat::N,دولة,
584,König::N,ملك,kunngi
585,Macht::N,سلطة,pissaassuseq
586,Grenze::N,حدود,killik
587,Krieg::N,حرب,sorsunneq
588,Feind::N,عدو,akeraq
589,Feind::N,عدو,akerartorti
590,Feind::N,عدو,qinngarsuisoq
591,Gewalt::N,عنف,
592,Kampf::N,قتال,sorsunneq
593,Bogen[Waffe]::N,قوس,
594,Pfeil::N,سهم,qalugiusaq
595,Gewehr::N,بندقية,aallaat
596,Fehler::N,خطأ,kukkuneq
597,Fehler::N,خطأ,paarlaappaa
598,Lüge::N,كذب,
599,Schaden::N,تلف,
600,Unglück::N,نحس,perluut
601,Schuld::N,ذنب,akiitsugaq
602,Schuld::N,ذنب,akiligassaq
603,Alter::N,سن,utoqqaq
604,Alter::N,عمر,utoqqaq
605,Schluss::N,ختام,isu
606,Schluss::N,نهاية,isu
607,Zeit::N,وقت,ulloq
608,Zeit::N,وقت,akuttoqatigiinneq
609,Tag::N,يوم,ulloq
610,Morgen::N,صباح,ullaaq
611,Mittag::N,ظهر,ulloqeqqa
612,Abend::N,مساء,unnuk
613,Nacht::N,ليلة,unnuaq
614,Woche::N,أسبوع,sapaatip akunnera
615,Monat::N,شهر,qaammat
616,Jahr::N,عام,ukioq
617,Jahr::N,سنة,ukioq
618,Frühling::N,ربيع,upernaaq
619,Sommer::N,صيف,aasaq
620,Herbst::N,خريف,ukiaq
621,Winter::N,شتاء,ukioq
622,Januar::N,يناير,siulleeq
623,Januar::N,يناير,qaammaliaq
624,Januar::N,كانون الثاني,siulleeq
625,Januar::N,كانون الثاني,qaammaliaq
626,Februar::N,شباط,aarlaat
627,Februar::N,فبراير,aarlaat
