,Concept_ID,ta,sah
495,Herbst::N,இலையுதிர் காலம்,күһүн
496,Winter::N,குளிர்காலம்,кыһын
497,Januar::N,ஜனவரி,тохсунньу
498,Februar::N,பிபரவரி மாதம்,олунньу
499,März::N,மார்ச் மாதம்,кулун тутар
500,April::N,ஏப்ரல் மாதம்,муус устар ый
501,Mai::N,மே மாதம்,ыам ыйа
502,Juni::N,ஜூன் மாதம்,бэс ыйа
503,Juli::N,ஜூலை மாதம்,от ыйа
504,August::N,ஆகஸ்ட் மாதம்,атырдьах ыйа
505,September::N,செப்டம்பர் மாதம்,балаҕан ыйа
506,Oktober::N,அக்டோபர் மாதம்,алтынньы
507,November::N,நவம்பர் மாதம்,сэтинньи
508,Dezember::N,டிசம்பர்,ахсынньы
509,Montag::N,திங்கட் கிழமை,бэнидиэнньик
510,Dienstag::N,செவ்வாய்க்கிழமை,оптуорунньук
511,Mittwoch::N,புதன் கிழமை,сэрэдэ
512,Donnerstag::N,வியாழக் கிழமை,чэппиэр
513,Freitag::N,வெள்ளிக்கிழமை,бээтинсэ
514,Samstag::N,சனிக்கிழமை,субуота
515,Sonntag::N,ஞாயிறுக் கிழமை,баскыһыанньа
516,groß::A,பெரிய,бөдөҥ
517,groß::A,பெரிய,улахан
518,klein::A,சிறிய,кыр
519,lang::A,நீண்ட,уһун
520,kurz::A,குட்டையான,кылгас
521,breit::A,அகலமான,кэтит
522,schmal::A,குறுகலான,кыараҕас
523,dicht::A,அடர்த்தியான,хойуу
524,dick[Gegenstand]::A,தடித்த,суон
525,dick[Gegenstand]::A,தடித்த,хойуу
526,dünn::A,சன்னமான,чараас
527,fein::A,மெல்லிய,бытархай
528,fein::A,மெல்லிய,синньигес
529,fest::A,உறுதியாள,бөҕө
530,fest::A,உறுதியாள,кытаанах
531,flach::A,தட்டையான,хаптаҕай
532,glatt::A,வழுவழுப்பான,кылааккай
533,hart::A,கடினமான,хатан
534,hart::A,கடினமான,кытаанах
535,weich::A,மென்மையான,сымнаҕас
536,rund::A,உருண்டையான,төгүрүк
537,spitz::A,திகந்தமாக,сытыы
538,spitz::A,திகந்தமாக,уһуктаах
539,scharf::A,கூரான,сытыы
540,stumpf::A,உளம் திறந்த,сыппах
541,schwer::A,கனமான,ыарахан
542,schön::A,அழகான,кыраһыабай
543,heiß::A,சூடான,итии
544,warm::A,இதமான,ичигэс
545,kalt::A,குளிர்ச்சியான,тымныы
546,kühl::A,குளிர்ச்சியான,сөрүүн
547,frisch::A,சுத்தமான,ыраас
548,frisch::A,சுத்தமான,сөрүүн
549,frisch::A,சுத்தமான,тымныы
550,feucht::A,ஈரமான,сииктээх
551,nass::A,ஈரமான,инчэҕэй
