,Concept_ID,mn,mdf
426,Westen::N,өрнө,ши валгома шире
427,Westen::N,баруун,ши валгома шире
428,Osten::N,зүүн,шинь стяма шире
429,Osten::N,дорно,шинь стяма шире
430,Holz::N,мод,вирь
431,Holz::N,мод,шуфта
432,Brett::N,банз,лавця
433,Platte::N,хавтан,плита́
434,Stütze::N,тулгуур,неже
435,Stütze::N,тулга,неже
436,Stange::N,сургааг,олга
437,Stock::N,саваа,байдек
438,Stab::N,таяг,олгоня
439,Rohr::N,хоолой,турама
440,Haus::N,гэр,куд
441,Haus::N,байшин,куд
442,Heim::N,гэр,куд
443,Ofen::N,зуух,пянакуд
444,Ofen::N,пийшин,пянакуд
445,Fußboden::N,шал,кия́кс
446,Tisch::N,ширээ,шра
447,Tisch::N,ширээ,моркш
448,Stuhl::N,сандал,стул
449,Wiege::N,өлгий,нюря́м
450,Bett::N,ор,ацам
451,Regal::N,тавиур,лавцяланга
452,Kiste::N,авдар,парга
453,Kiste::N,хайрцаг,парга
454,Fenster::N,гэгээвч,валмья
455,Tür::N,үүд,кенкш
456,Tür::N,хаалга,кенкш
457,Tor::N,хаалга,ортат
458,Zaun::N,хашаа,перяфкс
459,Dach::N,дээвэр,кудпря
460,Leiter::N,шат,куцема
461,Besen::N,хамуур,тяльме
462,Besen::N,туужуу,тяльме
463,Spaten::N,хүрз,ка́йме
464,Schaufel::N,хүрз,ко́поня
465,Schaufel::N,хүрз,ця́рдом
466,Gabel::N,сэрээ,ця́нгоня
467,Löffel::N,халбага,куцю
468,Messer::N,хутга,пеель
469,Nagel::N,хадаас,эска
470,Netz::N,өөш,
471,Netz::N,тор,
472,Haken::N,гох,кя́чказ
473,Griff::N,иш,недь
474,Griff::N,иш,кунда́мка
475,Griff::N,сэнж,недь
476,Griff::N,сэнж,кунда́мка
477,Schloss::N,цуурга,замо́к
478,Schloss::N,цоож,замо́к
479,Bild::N,зураг,карти́на
480,Figur::N,баримал,ронга-понда
481,Puppe::N,хүүхэлдэй,ня́ка
482,Beutel::N,агсаа,кяскав
483,Beutel::N,уут,кяскав
484,Bündel::N,боодол,кярьме
485,Tasche::N,цүнх,кошяльня
486,Eimer::N,хөнөг,ве́дарка
487,Eimer::N,хувин,ве́дарка
488,Deckel::N,таг,тавадкс
489,Deckel::N,таг,вельхкс
490,Deckel::N,хавхаг,тавадкс
491,Deckel::N,хавхаг,вельхкс
492,Geschirr::N,сав суулга,кядьге
493,Sack::N,шуудай,кяскав
494,Tasse::N,аяга,ша́ваня
495,Topf::N,тогоо,кавозь
496,Kessel::N,тогоо,сргавозь
497,Essen::N,идээ,ярхцама
498,Nahrung::N,хүнс,ярхцампяль
499,Speise::N,идээ,ярхцама
500,Fleisch::N,мах,пал
501,Fleisch::N,мах,сиволь
502,Getreide::N,будаа,сёра
503,Brei::N,богшмол,ям
