,Concept_ID,mn,ml
495,Handtuch::N,алчуур,തോർത്ത്
496,Kraft::N,чадал,ശക്തി
497,Kraft::N,хүч,ശക്തി
498,Stärke::N,эрч,ശക്തി
499,Stärke::N,тэнхээ,ശക്തി
500,Gesundheit::N,бие,ആരോഗ്യം
501,Gesundheit::N,эрүүл мэнд,ആരോഗ്യം
502,Krankheit::N,эмгэг,അസുഖം
503,Schmerz::N,өвчин,വേദന
504,Wunde::N,шарх,മുറിവ്
505,Fieber::N,халуун,പനി
506,Arznei::N,эм,മരുന്ന്
507,Brücke::N,гүүр,പാലം
508,Brunnen::N,худаг,കിണർ
509,Weide::N,бэлчээр,മേച്ചൽ
510,Pfad::N,жим,വഴി
511,Pfad::N,зөрөг,വഴി
512,Weg::N,зам,വഴി
513,Weg::N,харгуй,വഴി
514,Straße::N,зам,റോഡ്
515,Straße::N,харгуй,റോഡ്
516,Dorf::N,тосгон,ഗ്രാമം
517,Dorf::N,гацаа,ഗ്രാമം
518,Stadt::N,хот,നഗരം
519,Brief::N,захидал,കത്ത്
520,Brief::N,захиа,കത്ത്
521,Buch::N,ном,പുസ്തകം
522,Buch::N,бичиг,പുസ്തകം
523,Buchstabe::N,үсэг,അക്ഷരം
524,Zeitung::N,сонин,വർത്തമാനപത്രം
525,Leben::N,амь,ജീവൻ
526,Leben::N,амьдрал,ജീവൻ
527,Tod::N,үхэл,മരണം
528,Grab::N,булш,ശവക്കുഴി
529,Kirche::N,сүм,പള്ളി
530,Sünde::N,нүгэл,പാപം
531,Sünde::N,хилэнц,പാപം
532,Gott::N,бурхан,ദൈവം
533,Arbeiter::N,ажилчин,ജോലിക്കാരൻ
534,Arbeiter::N,хөдөлмөрчин,ജോലിക്കാരൻ
535,Chef::N,дарга,മേധാവി
536,Meister::N,дархан,യജമാനൻ
537,Arzt::N,эмч,ഡോക്ടർ
538,Lehrer::N,багш,അധ്യാപകൻ
539,Geld::N,цаас,പണം
540,Geld::N,мөнгө,പണം
541,Geschäft::N,наймаа,ബിസിനസ്
542,Laden::N,дэлгүүр,കട
543,Preis::N,үнэ,വില
544,Ware::N,таваар,ചരക്ക്
545,Ware::N,бараа,ചരക്ക്
546,Nutzen::N,ашиг,ലാഭം
547,Reichtum::N,баялаг,ധനം
548,Welt::N,дэлхий,ലോകം
549,Welt::N,орчлон,ലോകം
550,Land::N,улс,രാജ്യം
551,Land::N,орон,രാജ്യം
552,Staat::N,төр,രാജ്യം
553,Staat::N,гүрэн,രാജ്യം
554,König::N,ван,രാജാവ്
555,Macht::N,засаг,അധികാരം
556,Grenze::N,хил,അതിർത്തി
557,Krieg::N,дайн,യുദ്ധം
558,Feind::N,дайсан,ശത്രു
559,Gewalt::N,хүчирхэх,അക്രമം
560,Kampf::N,тэмцэл,പോരാട്ടം
561,Kampf::N,байлдаан,പോരാട്ടം
562,Bogen[Waffe]::N,нум,വില്ല്
563,Pfeil::N,годил,അമ്പ്
564,Pfeil::N,сум,അമ്പ്
565,Gewehr::N,буу,തോക്ക്
566,Fehler::N,эндэл,പിശക്
567,Fehler::N,алдаа,പിശക്
568,Lüge::N,худал,കള്ളം
569,Schaden::N,хор,കേടുപാട്
570,Schaden::N,хөнөөл,കേടുപാട്
571,Unglück::N,гай,ദൌർഭാഗ്യം
572,Unglück::N,гамшиг,ദൌർഭാഗ്യം
573,Schuld::N,гэм,തെറ്റ്
574,Schuld::N,буруу,തെറ്റ്
575,Alter::N,нас,വയസ്സ്
576,Schluss::N,эцэс,നിഗമനം
577,Schluss::N,төгсгөл,നിഗമനം
578,Zeit::N,цаг,സമയം
579,Tag::N,өдөр,ദിവസം
580,Morgen::N,өглөө,പ്രഭാതം
581,Mittag::N,үд,ഉച്ച
582,Abend::N,үдэш,സായാഹ്നം
583,Nacht::N,шөнө,രാത്രി
584,Woche::N,долоо хоног,ആഴ്ച
585,Monat::N,сар,മാസം
586,Jahr::N,жил,വർഷം
587,Frühling::N,хавар,വസന്തം
588,Sommer::N,зун,വേനൽ
589,Herbst::N,намар,ശരത്കാലം
590,Winter::N,өвөл,ശൈത്യം
591,Januar::N,нэгдүгээр сар,ജനുവരി
592,Februar::N,хоёрдугаар сар,ഫെബ്രുവരി
593,März::N,гуравдугаар сар,മാർച്ച്
594,April::N,дөрөвдүгээр сар,ഏപ്രിൾ മാസം
595,Mai::N,тавдугаар сар,മെയ് മാസം
596,Juni::N,зургаадугаар сар,ജൂൺ
597,Juli::N,долдугаар сар,ജൂലൈ
598,August::N,наймдугаар сар,ആഗസ്റ്റ്
599,September::N,есдүгээр сар,സെപ്തംബർ
600,Oktober::N,аравдугаар сар,ഒക്ടോബർ
601,November::N,арван нэгдүгээр сар,നവംബർ
602,Dezember::N,арван хоёрдугаар сар,ഡിസംബർ
603,Montag::N,даваа,തിങ്കളാഴ്ച
