,Concept_ID,hu,sv
250,Mädchen::N,lány,flicka
251,Familie::N,család,familj
252,Großvater::N,nagyapa,morfar
253,Großmutter::N,nagyanya,farmor
254,Eltern::N,szülők,föräldrar
255,Vater::N,apa,far
256,Vater::N,atya,far
257,Mutter::N,anya,mor
258,Sohn::N,fiú,son
259,Tochter::N,lány,dotter
260,Bruder::N,fivér,bror
261,Bruder::N,testvér,bror
262,Schwester::N,nővér,syster
263,Schwester::N,lánytestvér,syster
264,Onkel::N,nagybácsi,morbror
265,Tante::N,nagynéni,tant
266,Ehemann::N,férj,äkta man
267,Ehefrau::N,feleség,hustru
268,Freude::N,öröm,fröjd
269,Freude::N,öröm,glädje
270,Gelächter::N,nevetés,åtlöje
271,Gelächter::N,hahotázás,åtlöje
272,Glück::N,boldogság,lycka
273,Kummer::N,bánat,sorg
274,Wunsch::N,óhaj,önskan
275,Lust::N,kedv,lust
276,Geist::N,elme,ande
277,Geist::N,szellem,ande
278,Gedanke::N,gondolat,tanke
279,Gedächtnis::N,emlékezet,minne
280,Verstand::N,ész,förstånd
281,Verstand::N,értelem,förstånd
282,Sinn::N,értelem,mening
283,Sinn::N,értelem,betydelse
284,Grund::N,ok,skäl
285,Grund::N,ok,grund
286,Grund::N,alap,skäl
287,Grund::N,alap,grund
288,Wahrheit::N,igaz,sanning
289,Wahrheit::N,igazság,sanning
290,Gespräch::N,beszélgetés,samtal
291,Märchen::N,mese,saga
292,Erzählung::N,elbeszélés,berättelse
293,Nachricht::N,hír,meddelande
294,Nachricht::N,híradás,meddelande
295,Neuigkeit::N,újság,nyhet
296,Name::N,név,namn
297,Rätsel::N,rejtvény,gåta
298,Rede::N,beszéd,tal
299,Rede::N,szónoklat,tal
300,Sprache::N,nyelv,språk
301,Stimme::N,hang,stämma
302,Wort::N,szó,ord
303,Zeichen::N,jel,tecken
304,Ruf::N,kiáltás,rop
305,Lärm::N,zaj,bråk
306,Lärm::N,zaj,oväsen
307,Laut::N,hang,ljud
308,Ton::N,hang,ton
309,Lied::N,dal,sång
310,Lied::N,ének,sång
311,Ruhe::N,csend,ro
312,Ruhe::N,csend,lugn
313,Ruhe::N,nyugalom,ro
314,Ruhe::N,nyugalom,lugn
315,Leute::N,emberek,folk
316,Volk::N,nép,folk
317,Arbeit::N,dolog,arbete
318,Gast::N,vendég,gäst
319,Geschenk::N,ajándék,gåva
320,Geschenk::N,ajándék,present
321,Spiel::N,játék,lek
322,Spiel::N,játék,spel
323,Gesellschaft::N,társaság,sällskap
324,Hilfe::N,segítség,hjälp
325,Freund::N,barát,vän
326,Kamerad::N,társ,kamrat
327,Angelegenheit::N,ügy,ärende
328,Angelegenheit::N,ügy,angelägenhet
