,Concept_ID,ja,cs
570,Freitag::N,金曜日,pátek
571,Samstag::N,土曜日,sobota
572,Sonntag::N,日曜日,neděle
573,groß::A,大きい,velký
574,klein::A,小さい,malý
575,lang::A,長い,dlouhý
576,kurz::A,短い,krátký
577,breit::A,広い,široký
578,schmal::A,狭い,úzký
579,dicht::A,密な,hustý
580,dick[Gegenstand]::A,厚い,tlustý
581,dünn::A,薄い,tenký
582,fein::A,細い,jemný
583,fest::A,硬い,pevný
584,flach::A,平らな,plochý
585,flach::A,平らな,placatý
586,glatt::A,滑らかな,hladký
587,hart::A,堅い,tvrdý
588,weich::A,柔らかい,měkký
589,rund::A,丸い,kulatý
590,rund::A,丸い,okrouhlý
591,spitz::A,尖った,špičatý
592,scharf::A,鋭い,ostrý
593,stumpf::A,鈍い,tupý
594,schwer::A,重い,těžký
595,schön::A,綺麗な,pěkný
596,schön::A,綺麗な,krásný
597,heiß::A,熱い,horký
598,warm::A,温かい,teplý
599,kalt::A,寒い,studený
600,kalt::A,冷たい,studený
601,kühl::A,涼しい,chladný
602,frisch::A,ひんやりした,svěží
603,feucht::A,湿った,vlhký
604,nass::A,濡れた,mokrý
605,trocken::A,乾いた,suchý
606,voll::A,いっぱいの,plný
607,leer::A,空の,prázdný
608,offen::A,開いた,otevřený
609,geschlossen::A,閉まった,zavřený
610,sauber::A,清潔な,čistý
611,schmutzig::A,汚い,špinavý
612,roh::A,生の,syrový
613,reif::A,熟した,zralý
614,lecker::A,美味しい,chutný
615,süß::A,甘い,sladký
616,bitter::A,苦い,hořký
617,sauer::A,酸っぱい,kyselý
618,hell::A,明るい,světlý
619,dunkel::A,暗い,temný
620,schwarz::A,黒い,černý
621,weiß::A,白い,bílý
622,rot::A,赤い,rudý
623,rot::A,赤い,červený
624,gelb::A,黄色い,žlutý
625,blau::A,青い,modrý
626,grün::A,緑の,zelený
627,grau::A,灰色の,šedý
628,grau::A,灰色の,šedivý
629,bunt::A,色取り取りの,pestrý
630,billig::A,安い,levný
631,billig::A,安い,laciný
632,teuer::A,高い,drahý
633,wertvoll::A,貴重な,cenný
634,blind::A,盲目の,slepý
635,taub::A,耳が聞こえない,hluchý
636,kräftig::A,強力な,silný
637,stark::A,強い,silný
638,schwach::A,弱い,slabý
639,fett::A,太った,tučný
640,fett::A,太った,tlustý
641,schlank::A,ほっそりした,štíhlý
642,hübsch::A,素敵な,hezký
643,böse::A,悪い,zlý
644,dumm::A,馬鹿な,hloupý
645,faul::A,怠惰な,líný
646,fleißig::A,勤勉な,pilný
647,geizig::A,けちな,lakomý
648,klug::A,賢い,chytrý
649,klug::A,頭のいい,chytrý
650,geschickt::A,器用な,šikovný
651,lieb::A,愛らしい,milý
652,lustig::A,楽しい,veselý
653,sanft::A,温和な,mírný
654,hungrig::A,空腹の,hladový
655,krank::A,病気の,nemocný
656,nackt::A,裸の,nahý
657,traurig::A,悲しい,smutný
658,traurig::A,悲しい,truchlivý
659,lebendig::A,生きた,živý
660,gut::A,良い,dobrý
661,schlecht::A,悪い,špatný
662,schlecht::A,駄目な,špatný
663,richtig::A,正しい,pravý
664,richtig::A,正しい,správný
665,schlimm::A,ひどい,zlý
666,wahr::A,本当の,pravdivý
667,alt::A,古い,starý
668,neu::A,新しい,nový
669,ehemalig::A,以前の,bývalý
670,alt[Lebewesen]::A,年を取った,starý
671,jung::A,若い,mladý
672,arm::A,貧乏な,chudý
673,reich::A,裕福な,bohatý
674,bekannt::A,有名な,známý
675,berühmt::A,有名な,slavný
676,fremd::A,見知らぬ,cizí
677,verschieden::A,色々な,různý
678,verschieden::A,色々な,rozličný
679,nah::A,近い,blízký
680,fern::A,遠い,daleký
681,linker::A,左の,levý
682,rechter::A,右の,pravý
683,anderer::A,別の,jiný
684,erster::A,一番目,první
685,zweiter::A,二番目,druhý
686,dritter::A,三番目,třetí
687,letzter::A,最後の,poslední
688,allein::ADV,一人で,sám
689,auf einmal::ADV,同時に,najednou
690,zusammen::ADV,一緒に,spolu
691,zusammen::ADV,一緒に,dohromady
692,lange::ADV,長い間,dlouho
693,plötzlich::ADV,急に,vtom
694,plötzlich::ADV,急に,náhle
695,sofort::ADV,すぐに,hned
696,sofort::ADV,すぐに,ihned
697,später::ADV,後で,později
698,jetzt::ADV,今,teď
699,jetzt::ADV,今,nyní
700,heute::ADV,今日,dnes
701,heute::ADV,今日,dneska
702,morgen::ADV,明日,zítra
703,bald::ADV,間もなく,brzo
704,dann::ADV,それから,pak
705,dann::ADV,それから,potom
706,gestern::ADV,昨日,včera
707,einst::ADV,過去に,kdysi
708,damals::ADV,あの時,tehdy
709,damals::ADV,あの時,tenkrát
710,danach::ADV,その後で,podle toho
711,vorher::ADV,以前に,dříve
712,vorher::ADV,以前に,napřed
713,zuerst::ADV,まず,nejprve
714,zuerst::ADV,まず,nejdříve
715,zuerst::ADV,最初に,nejprve
716,zuerst::ADV,最初に,nejdříve
717,einmal::ADV,一回,jednou
718,manchmal::ADV,時々,někdy
719,oft::ADV,よく,často
720,immer::ADV,いつも,vždy
721,immer::ADV,いつも,stále
722,niemals::ADV,一度も...ない,nikdy
723,hier::ADV,こちら,zde
724,hier::ADV,こちら,tady
725,hierhin::ADV,ここへ,sem
726,hierhin::ADV,こちらへ,sem
727,von hier::ADV,ここから,odtud
728,dort::ADV,そちら,tam
729,dorthin::ADV,そこへ,tam
730,dorthin::ADV,そちらへ,tam
731,geradeaus::ADV,真っ直ぐに,rovně
732,vorwärts::ADV,前へ,kupředu
733,rückwärts::ADV,後ろへ,zpět
734,zurück::ADV,後ろへ,zpět
735,zurück::ADV,後ろへ,nazpět
736,unten::ADV,下に,dole
737,hinab::ADV,下へ,dolů
738,oben::ADV,上に,nahoře
739,oben::ADV,上に,navrchu
740,hinauf::ADV,上へ,nahoru
741,überall::ADV,どこでも,všude
742,nicht::ADV,ない,ne
743,ein wenig::ADV,少し,trochu
744,ein wenig::ADV,ちょっと,trochu
745,kaum::ADV,ほとんど～ない,sotva
746,sehr::ADV,とても,velmi
747,sehr::ADV,とても,velice
748,so::ADV,こう,tak
749,so::ADV,こう,takto
750,noch::ADV,まだ,ještě
751,nur::ADV,～だけ,jen
752,nur::ADV,～だけ,jenom
753,schon::ADV,もう,už
754,schon::ADV,もう,již
755,wieder::ADV,再び,zase
756,vergebens::ADV,無駄に,marně
757,vor::PRP,前に,před
758,hinter::PRP,後ろに,za
759,unter::PRP,下に,pod
760,durch::PRP,通して,skrz
761,neben::PRP,横に,vedle
762,zwischen::PRP,間に,mezi
763,wegen::PRP,為に,pro
764,wegen::PRP,せいで,pro
765,dies::PRN,これ,toto
766,dies::PRN,これ,tohle
767,das::PRN,それ,to
768,alles::PRN,全部,všechno
769,ich::PRN,私,já
770,du::PRN,あなた,ty
771,er::PRN,彼,on
772,wir::PRN,私達,my
773,ihr::PRN,あなた達,vy
774,sie::PRN,彼ら,oni
775,was::FPRN,何,co
776,wer::FPRN,誰,kdo
777,wer::FPRN,どなた,kdo
778,wo::FADV,どこ,kde
779,wo::FADV,どこに,kde
780,wohin::FADV,どこへ,kam
781,wie::FADV,どう,jak
782,warum::FADV,何故,proč
783,warum::FADV,どうして,proč
784,wieviel::FNUM,どのくらい,kolik
785,eins::NUM,一,jeden
786,zwei::NUM,二,dva
787,zwei::NUM,二つ,dva
788,drei::NUM,三,tři
789,drei::NUM,三つ,tři
790,vier::NUM,四,čtyři
791,vier::NUM,四つ,čtyři
792,fünf::NUM,五,pět
793,fünf::NUM,五つ,pět
794,sechs::NUM,六,šest
795,sechs::NUM,六つ,šest
796,sieben::NUM,七,sedm
797,sieben::NUM,七つ,sedm
798,acht::NUM,八,osm
799,acht::NUM,八つ,osm
800,neun::NUM,九,devět
801,neun::NUM,九つ,devět
802,zehn::NUM,十,deset
803,elf::NUM,十一,jedenáct
804,zwölf::NUM,十二,dvanáct
805,zwanzig::NUM,二十,dvacet
806,dreißig::NUM,三十,třicet
807,vierzig::NUM,四十,čtyřicet
808,fünfzig::NUM,五十,padesát
809,sechzig::NUM,六十,šedesát
810,siebzig::NUM,七十,sedmdesát
811,achtzig::NUM,八十,osmdesát
812,neunzig::NUM,九十,devadesát
813,hundert::NUM,百,sto
814,tausend::NUM,千,tisíc
815,und::CNJ,-と,a
816,und::CNJ,そして,a
817,oder::CNJ,或いは,nebo
818,stehen::V,立っている,stát
819,sitzen::V,座っている,sedět
820,liegen::V,横になっている,ležet
821,hängen::V,掛かっている,viset
822,werden::V,なる,stát se
823,passieren::V,起こる,stát se
824,beginnen::V,始まる,počít
825,enden::V,終わる,končit
826,enden::V,終わる,skončit
827,wechseln::V,変わる,měnit se
828,aufgehen[Sonne]::V,出る,vyjít
829,untergehen[Sonne]::V,沈む,zapadnout
830,scheinen[Sonne]::V,輝く,svítit
831,donnern::V,雷が鳴る,hřmět
832,wehen::V,吹く,vát
833,wehen::V,吹く,vanout
834,strömen::V,流れる,proudit
835,fließen::V,流れる,téct
836,sich drehen::V,回転する,točit se
837,schwanken::V,揺れる,kolísat
838,schwanken::V,揺れる,houpat se
839,schwingen::V,振動する,kývat se
840,fallen::V,落ちる,padat
841,brennen::V,燃える,hořet
842,rauchen::V,煙を出す,kouřit
843,regnen::V,雨が降る,pršet
844,gefrieren::V,凍る,zamrznout
