,Concept_ID,ru,he
700,wer::FPRN,кто,מי
701,wo::FADV,где,איפה
702,wohin::FADV,куда,לאן
703,wie::FADV,как,איך
704,warum::FADV,почему,למה
705,wieviel::FNUM,сколько,כמה
706,eins::NUM,один,אחד
707,zwei::NUM,два,שתים
708,drei::NUM,три,שלושה
709,vier::NUM,четыре,ארבעה
710,fünf::NUM,пять,חמשה
711,sechs::NUM,шесть,ששה
712,sieben::NUM,семь,שבעה
713,acht::NUM,восемь,שמונה
714,neun::NUM,девять,תשעה
715,zehn::NUM,десять,עשרה
716,elf::NUM,одиннадцать,אחת עשרה
717,zwölf::NUM,двенадцать,שתים עשרה
718,zwanzig::NUM,двадцать,עשרים
719,dreißig::NUM,тридцать,שלושים
720,vierzig::NUM,сорок,ארבעים
721,fünfzig::NUM,пятьдесят,חמשים
722,sechzig::NUM,шестьдесят,ששים
723,siebzig::NUM,семьдесят,שבעים
724,achtzig::NUM,восемьдесят,שמונים
725,neunzig::NUM,девяносто,תשעים
726,hundert::NUM,сто,מאה
727,tausend::NUM,тысяча,אלף
728,und::CNJ,и,ו
729,oder::CNJ,или,או
730,oder::CNJ,либо,או
731,stehen::V,стоять,עמד
732,sitzen::V,сидеть,ישב
733,liegen::V,лежать,שכב
734,hängen::V,висеть,היה תלוי
735,werden::V,стать,הפך ל
736,passieren::V,случиться,קרה
737,beginnen::V,начаться,התחיל
738,enden::V,кончиться,הסתים
739,wechseln::V,меняться,השתנה
740,aufgehen[Sonne]::V,взойти,זרח
741,untergehen[Sonne]::V,зайти,שקע
742,scheinen[Sonne]::V,светить,בהק
743,donnern::V,греметь,רעם
744,wehen::V,дуть,נשב
745,strömen::V,литься,זרם
746,fließen::V,течь,זרם
747,sich drehen::V,вращаться,הסתובב
748,schwanken::V,колебаться,התנודד
749,schwingen::V,качаться,התנענע
750,fallen::V,падать,נפל
751,brennen::V,гореть,בער
752,rauchen::V,дымить,עשן
753,regnen::V,дождить,ירד גשם
754,gefrieren::V,замерзнуть,קפא
755,tauen::V,таять,נמס
756,schmelzen::V,плавиться,התיך
757,trocknen::V,сохнуть,התיבש
758,sieden::V,кипеть,רתח
759,faulen::V,гнить,רקב
760,verfaulen::V,сгнить,רקב
761,reißen::V,рваться,נקרע
762,versinken::V,тонуть,טבע
763,vergehen::V,проходить,עבר
764,erscheinen::V,появиться,נגלה
765,erscheinen::V,появиться,הופיע
766,verschwinden::V,исчезнуть,נעלם
767,sinken::V,спадать,ירד
768,abnehmen::V,уменьшиться,הפחית
769,zunehmen::V,увеличиваться,רבה
770,steigen::V,подниматься,עלה
771,wachsen::V,расти,גדל
772,glänzen::V,блестеть,נצץ
773,glänzen::V,блестеть,בהק
774,funkeln::V,сверкать,נצנץ
775,lärmen::V,шуметь,רעש
776,läuten::V,звонить,צלצל
777,klingeln::V,звонить,צלצל
778,klirren::V,звякать,קרקש
779,brausen::V,бушевать,געש
780,rauschen::V,шелестеть,רשרש
781,klingen::V,звучать,נשמע
782,bellen::V,лаять,נבח
783,heulen::V,выть,ילל
784,blasen::V,дунуть,נשף
785,pfeifen::V,свистеть,שרק
786,schreien::V,кричать,צעק
787,stöhnen::V,стонать,נאנק
788,zittern::V,дрожать,רעד
789,leben::V,жить,חי
790,geboren werden::V,родиться,נולד
791,atmen::V,дышать,נשם
792,trinken::V,пить,שתה
793,essen::V,есть,אכל
794,essen::V,кушать,אכל
795,schlucken::V,глотать,בלע
796,müde werden::V,устать,התעיף
797,einschlafen::V,заснуть,נרדם
798,schlafen::V,спать,ישן
799,aufwachen::V,проснуться,התעורר
800,aufstehen::V,встать,קם
801,sich erholen::V,отдыхать,נפש
802,krank werden::V,заболеть,חלה
803,krank sein::V,болеть,היה חולה
804,schmerzen::V,болеть,כאב
805,husten::V,кашлять,השתעל
806,genesen::V,поправиться,הבריא
807,sterben::V,умереть,מת
808,umkommen::V,погибнуть,נספה
809,sich bewegen::V,двигаться,נע
810,sich rühren::V,шевельнуться,זז
811,sich erheben::V,встать,קם
812,sich setzen::V,сесть,התישב
813,hinfallen::V,упасть,נפל
814,laufen::V,ходить,הלך ברגל
815,schreiten::V,шагать,פסע
816,spazierengehen::V,гулять,טיל
817,eilen::V,спешить,אץ
818,eilen::V,спешить,מהר
819,sich beeilen::V,торопиться,מהר
820,sausen::V,мчаться,אץ
