,Concept_ID,is,uk
710,auf einmal::ADV,allt í einu,відразу
711,zusammen::ADV,saman,разом
712,zusammen::ADV,saman,спільно
713,lange::ADV,lengi,довго
714,plötzlich::ADV,skyndilega,раптом
715,sofort::ADV,strax,зараз
716,sofort::ADV,þegar í stað,зараз
717,später::ADV,seinna,пізніше
718,jetzt::ADV,nú,тепер
719,jetzt::ADV,núna,тепер
720,heute::ADV,í dag,сьогодні
721,morgen::ADV,á morgun,завтра
722,bald::ADV,brátt,незабаром
723,bald::ADV,bráðum,незабаром
724,dann::ADV,svo,потім
725,dann::ADV,síðan,потім
726,gestern::ADV,í gær,вчора
727,einst::ADV,forðum,колись
728,damals::ADV,þá,тоді
729,damals::ADV,á þeim tímum,тоді
730,danach::ADV,á eftir því,згодом
731,vorher::ADV,áður,раніше
732,zuerst::ADV,fyrst,спершу
733,zuerst::ADV,fyrst,спочатку
734,einmal::ADV,einu sinni,один раз
735,manchmal::ADV,stundum,іноді
736,manchmal::ADV,stundum,інколи
737,oft::ADV,oft,часто
738,immer::ADV,alltaf,завжди
739,immer::ADV,sífellt,завжди
740,niemals::ADV,aldrei,ніколи
741,hier::ADV,hér,тут
742,hierhin::ADV,hingað,сюди
743,von hier::ADV,héðan,звідси
744,dort::ADV,þar,там
745,dort::ADV,þarna,там
746,dorthin::ADV,þangað,туди
747,geradeaus::ADV,beint áfram,прямо
748,vorwärts::ADV,áfram,вперед
749,rückwärts::ADV,aftur á bak,назад
750,zurück::ADV,aftur,назад
751,zurück::ADV,til baka,назад
752,unten::ADV,niðri,внизу
753,unten::ADV,fyrir neðan,внизу
754,hinab::ADV,niður,вниз
755,hinab::ADV,niður eftir,вниз
756,oben::ADV,uppi,вгорі
757,hinauf::ADV,upp,вгору
758,hinauf::ADV,upp eftir,вгору
759,überall::ADV,alls staðar,скрізь
760,nicht::ADV,ekki,не
761,ein wenig::ADV,dálítið,трохи
762,ein wenig::ADV,dálítið,небагато
763,kaum::ADV,varla,ледве
764,kaum::ADV,tæplega,ледве
765,sehr::ADV,mjög,дуже
766,so::ADV,svo,так
767,so::ADV,þannig,так
768,noch::ADV,enn,ще
769,noch::ADV,ennþá,ще
770,nur::ADV,bara,лише
771,nur::ADV,bara,тільки
772,nur::ADV,aðeins,лише
