,Concept_ID,cy,xal
699,krank::A,sâl,шалтгта
700,krank::A,gwael,өвчтә
701,krank::A,gwael,шалтгта
702,nackt::A,noeth,нүцкн
703,traurig::A,trist,һундлта
704,lebendig::A,yn fyw,әмд
705,gut::A,da,сән
706,schlecht::A,drwg,му
707,schlecht::A,gwael,му
708,richtig::A,cywir,зөвтә
709,schlimm::A,enbyd,җигшүртә
710,wahr::A,gwir,үнн
711,wahr::A,gwir,мөн
712,alt::A,hen,хуучн
713,neu::A,newydd,шин
714,ehemalig::A,blaenorol,хуучн
715,alt[Lebewesen]::A,oedrannus,көгшн
716,jung::A,ifanc,баһ
717,arm::A,tlawd,угатя
718,reich::A,cyfoethog,байн
719,bekannt::A,cynefin,таньл
720,bekannt::A,cynefin,таньдг
721,bekannt::A,cyfarwydd,таньл
722,bekannt::A,cyfarwydd,таньдг
723,berühmt::A,enwog,туурсн
724,fremd::A,estron,күүнә
725,verschieden::A,gwahanol,әдл биш
726,verschieden::A,gwahanol,йилһәтә
727,nah::A,agos,өөрхн
728,fern::A,pell,хол
729,linker::A,aswy,зүн
730,linker::A,chwith,зүн
731,rechter::A,de,барун
732,rechter::A,deau,барун
733,anderer::A,arall,талдан
734,erster::A,cyntaf,негдгч
735,zweiter::A,ail,хойрдгч
736,dritter::A,trydydd,һурвдгч
737,letzter::A,olaf,отхн
738,allein::ADV,unig,һанцарн
739,allein::ADV,ar ei ben ei hun,һанцарн
740,auf einmal::ADV,ar yr un pryd,нег дәкҗ
741,zusammen::ADV,ynghyd,хамдан
742,zusammen::ADV,gyda'i gilydd,хамдан
743,lange::ADV,amser hir,удан
744,plötzlich::ADV,yn sydyn,генткн
745,sofort::ADV,ar unwaith,дарунь
746,später::ADV,yn ddiweddarach,сүүлд
747,jetzt::ADV,yn awr,ода
748,heute::ADV,heddiw,эндр
749,morgen::ADV,yfory,маңһдур
750,bald::ADV,yn fuan,дарунь
751,bald::ADV,gyda hyn,дарунь
752,dann::ADV,yna,дәкәд
753,dann::ADV,y pryd hwnnw,дәкәд
754,gestern::ADV,ddoe,өцклдүр
755,einst::ADV,gynt,нег саамд
756,damals::ADV,ar y pryd,тиигхд
757,damals::ADV,bryd hynny,тиигхд
758,danach::ADV,wedyn,тегәд
759,vorher::ADV,o'r blaen,урд
760,zuerst::ADV,yn gyntaf,түрүләд
761,einmal::ADV,unwaith,нег дәкҗ
762,manchmal::ADV,weithiau,зәрмдән
763,manchmal::ADV,ar brydiau,зәрмдән
764,oft::ADV,yn aml,хара биш
765,oft::ADV,yn aml,хатяр биш
766,oft::ADV,yn aml,дару-дарунь
767,oft::ADV,yn fynych,хара биш
768,oft::ADV,yn fynych,хатяр биш
769,oft::ADV,yn fynych,дару-дарунь
770,immer::ADV,bob amser,оньдинд
771,niemals::ADV,ni ... byth,кезә чмгн биш
