,Concept_ID,av,lbe
259,Sinn::N,магӏна,мяъна
260,Grund::N,багьана,багьана
261,Wahrheit::N,ритӏухълъи,тӏайламур
262,Wahrheit::N,ритӏухълъи,хӏакьмур
263,Gespräch::N,накъит,ихтилат
264,Märchen::N,маргьа,магьа
265,Erzählung::N,къиса,хавар
266,Nachricht::N,хабар,хавар
267,Neuigkeit::N,хабар-гӏазаб,хавар
268,Name::N,цӏар,цӏа
269,Rätsel::N,бицанкӏо,ссигьа
270,Rede::N,речь,гъалгъа
271,Rede::N,калам,гъалгъа
272,Sprache::N,мацӏ,маз
273,Stimme::N,гьаракь,чӏу
274,Stimme::N,гьаракь,чӏукӏа
275,Wort::N,рагӏи,махъ
276,Zeichen::N,ишара,лишан
