,Concept_ID,ml,lbe
366,Leiter::N,ഏണി,чуртту
367,Besen::N,ചൂല്,чӏатлу
368,Spaten::N,തൂമ്പ,бил
369,Schaufel::N,തൂമ്പ,чӏатӏа
370,Gabel::N,മുൾക്കത്തി,гьиссилу
371,Löffel::N,സ്പൂൺ,къуса
372,Messer::N,കത്തി,чӏила
373,Nagel::N,ആണി,мяр
374,Netz::N,വല,къери
375,Haken::N,കൊളുത്ത്,къича
376,Griff::N,കൈപ്പിടി,куяму
377,Schloss::N,പൂട്ട്,кьункьула
378,Bild::N,ചിത്രം,сурат
379,Figur::N,കണക്ക്,
380,Puppe::N,പാവ,ссихьу
381,Beutel::N,ബാഗ്,чантай
382,Bündel::N,കെട്ട്,гьи
383,Bündel::N,കെട്ട്,къар
384,Tasche::N,ബാഗ്,
385,Eimer::N,ബക്കറ്റ്,бадра
386,Deckel::N,ഉറ,къапаза
387,Geschirr::N,പിഞ്ഞാണം,пюрунчӏул
388,Geschirr::N,പിഞ്ഞാണം,тӏахӏникӏичӏу
389,Sack::N,ചാക്ക്,къап
390,Sack::N,ചാക്ക്,дарваг
391,Tasse::N,കപ്പ്,пижан
392,Tasse::N,കപ്പ്,пинжан
393,Tasse::N,കപ്പ്,инкираччатӏи
394,Tasse::N,കപ്പ്,цинцилттал бушкъап
395,Topf::N,പാത്രം,кӏункӏур
396,Kessel::N,കെറ്റ്ല്,чаг
397,Kessel::N,കെറ്റ്ല്,кӏункӏур
398,Essen::N,ആഹാരസമയം,дукия
399,Essen::N,ആഹാരസമയം,дукин
400,Nahrung::N,ഭക്ഷണം,дукра
401,Speise::N,ഡിഷ്,дукра
402,Fleisch::N,മാംസം,дикӏ
403,Getreide::N,ചോളം,къама
404,Brei::N,കഞ്ഞി,ккурч
405,Brot::N,റോട്ടി,ччатӏ
406,Scheibe::N,തുണ്ട്,парча
407,Fett::N,കൊഴുപ്പ്,аьгъушиву
408,Butter::N,വെണ്ണ,нагь
409,Butter::N,വെണ്ണ,лагаву
410,Öl::N,എണ്ണ,
411,Salz::N,ഉപ്പ്,цӏву
412,Suppe::N,സൂപ്പ്,накь
413,Honig::N,തേൻ,ницӏ
414,Milch::N,പാൽ,накӏ
415,Tee::N,ചായ,чяй
416,Leder::N,തുകൽ,бурчу
417,Wolle::N,കമ്പിളി,ппал
418,Stoff::N,തുണി,янна
419,Nadel::N,സൂചി,ххалаххи
420,Faden::N,നൂല്,ххал
421,Knopf::N,ബട്ടൺ,банд
422,Knoten::N,കുരുക്ക്,къурхъ
423,Farbe::N,പെയിൻറ്,сир
424,Kleidung::N,വസ്ത്രങ്ങൾ,янна
425,Kleidung::N,വസ്ത്രങ്ങൾ,лаххия
426,Hemd::N,ഷർട്ട്,гьухъа
427,Kragen::N,കുപ്പായക്കഴുത്ത്,дарвач
428,Ärmel::N,കുപ്പായക്കൈ,кахха
429,Hose::N,ട്രൌസർ,хӏажак
430,Gürtel::N,ബെൽറ്റ്,мухӏлу
431,Mütze::N,തൊപ്പി,кьяпа
432,Schuh::N,ഷൂ,
433,Stiefel::N,ബൂട്ട്,чакма
434,Ring::N,മോതിരം,кӏисса
435,Band::N,റിബൺ,линт
436,Kamm::N,ചീപ്പ്,ттарал
437,Spiegel::N,കണ്ണാടി,дагьани
438,Riemen::N,സ്ട്രാപ്പ്,эн
439,Schnur::N,ചരട്,хьхьа
440,Leine::N,കെട്ടാനുള്ള തോൽവാർ,
441,Decke::N,പുതപ്പ്,виргъан
442,Kissen::N,തലയിണ,кӏаралу
443,Tuch::N,സ്കാർഫ്,карщи
444,Handtuch::N,തോർത്ത്,калихьу
445,Handtuch::N,തോർത്ത്,лажинлихьу
446,Kraft::N,ശക്തി,эллаж
447,Stärke::N,ശക്തി,гуж
448,Gesundheit::N,ആരോഗ്യം,цӏуллу-сагъшиву
449,Krankheit::N,അസുഖം,къашайшиву
450,Schmerz::N,വേദന,къюву
451,Wunde::N,മുറിവ്,щаву
452,Fieber::N,പനി,кӏиришиву
453,Arznei::N,മരുന്ന്,дару
454,Brücke::N,പാലം,ламу
455,Brunnen::N,കിണർ,къуй
456,Weide::N,മേച്ചൽ,бизантту
457,Pfad::N,വഴി,жегъир ххуллу
458,Weg::N,വഴി,ххуллу
459,Straße::N,റോഡ്,ххуллу
460,Dorf::N,ഗ്രാമം,щар
461,Dorf::N,ഗ്രാമം,шяравалу
462,Stadt::N,നഗരം,шагьру
463,Brief::N,കത്ത്,чагъар
464,Buch::N,പുസ്തകം,лу
465,Buchstabe::N,അക്ഷരം,хӏарп
466,Zeitung::N,വർത്തമാനപത്രം,кказит
467,Leben::N,ജീവൻ,оьрму
468,Tod::N,മരണം,ажал
469,Tod::N,മരണം,бивкӏу
470,Tod::N,മരണം,ивчӏаву
471,Grab::N,ശവക്കുഴി,гьав
472,Kirche::N,പള്ളി,килиса
473,Sünde::N,പാപം,бунагъ
474,Gott::N,ദൈവം,зал
475,Arbeiter::N,ജോലിക്കാരൻ,зузала
476,Chef::N,മേധാവി,ялувма
477,Meister::N,യജമാനൻ,усттар
478,Arzt::N,ഡോക്ടർ,хӏакин
479,Lehrer::N,അധ്യാപകൻ,учитель
480,Geld::N,പണം,арцу
481,Geschäft::N,ബിസിനസ്,даву
482,Laden::N,കട,ттучан
483,Preis::N,വില,багъа
484,Ware::N,ചരക്ക്,хъус
485,Nutzen::N,ലാഭം,хайр
486,Nutzen::N,ലാഭം,мюнпат
487,Reichtum::N,ധനം,давлат
488,Reichtum::N,ധനം,аваданшиву
489,Welt::N,ലോകം,дуниял
490,Land::N,രാജ്യം,билаят
491,Staat::N,രാജ്യം,паччахӏлугъ
492,König::N,രാജാവ്,
493,Macht::N,അധികാരം,власть
494,Grenze::N,അതിർത്തി,дазу
495,Krieg::N,യുദ്ധം,дяъви
496,Feind::N,ശത്രു,душман
497,Gewalt::N,അക്രമം,къия
498,Kampf::N,പോരാട്ടം,лачӏуи уккаву
499,Bogen[Waffe]::N,വില്ല്,ккуртта
500,Pfeil::N,അമ്പ്,чӏатӏаракӏ
501,Gewehr::N,തോക്ക്,ттупанг
502,Fehler::N,പിശക്,гъалатӏ
503,Lüge::N,കള്ളം,щялмахъ
504,Schaden::N,കേടുപാട്,зарал
505,Unglück::N,ദൌർഭാഗ്യം,бала
506,Schuld::N,തെറ്റ്,тахсир
507,Alter::N,വയസ്സ്,оьрму
508,Schluss::N,നിഗമനം,ахир
509,Zeit::N,സമയം,чӏун
510,Tag::N,ദിവസം,кьини
511,Morgen::N,പ്രഭാതം,кӏюрх
512,Mittag::N,ഉച്ച,ахттайн
513,Mittag::N,ഉച്ച,дяахттайн
514,Mittag::N,ഉച്ച,ахттайн чӏун
515,Abend::N,സായാഹ്നം,маркӏачӏан
516,Nacht::N,രാത്രി,хьхьу
517,Woche::N,ആഴ്ച,нюжмар
518,Monat::N,മാസം,барз
519,Jahr::N,വർഷം,шин
520,Frühling::N,വസന്തം,инт
521,Sommer::N,വേനൽ,гъи
522,Herbst::N,ശരത്കാലം,ссут
523,Winter::N,ശൈത്യം,кӏи
524,Januar::N,ജനുവരി,цалчинмур барз
525,Februar::N,ഫെബ്രുവരി,кӏилчинмур барз
526,März::N,മാർച്ച്,шамилчинмур барз
527,April::N,ഏപ്രിൾ മാസം,апрель
528,April::N,ഏപ്രിൾ മാസം,мукьилчинмур барз
529,Mai::N,മെയ് മാസം,май
530,Mai::N,മെയ് മാസം,ххюлчинмур барз
531,Juni::N,ജൂൺ,июнь
532,Juni::N,ജൂൺ,ряххилчинмур барз
533,Juli::N,ജൂലൈ,июль
534,Juli::N,ജൂലൈ,Арулчинмур барз
535,August::N,ആഗസ്റ്റ്,мяйлчинмур барз
536,September::N,സെപ്തംബർ,урчӏилчинмур барз
537,Oktober::N,ഒക്ടോബർ,ацӏилчинмур барз
538,November::N,നവംബർ,ацӏния цалчинмур барз
539,Dezember::N,ഡിസംബർ,ацӏния кӏилчинмур барз
540,Montag::N,തിങ്കളാഴ്ച,итин
541,Montag::N,തിങ്കളാഴ്ച,итин кьини
542,Dienstag::N,ചൊവ്വ,тталат
543,Dienstag::N,ചൊവ്വ,тталат кьини
544,Mittwoch::N,ബുധനാഴ്ച,арвахӏ
545,Donnerstag::N,വ്യാഴാഴ്ച,хамис
546,Freitag::N,വെള്ളിയാഴ്ച,нюжмар
547,Freitag::N,വെള്ളിയാഴ്ച,нюжмар кьини
548,Samstag::N,ശനിയാഴ്ച,ххуллун
549,Samstag::N,ശനിയാഴ്ച,ххуллун кьини
550,Sonntag::N,ഞായറാഴ്ച,алхӏат
551,Sonntag::N,ഞായറാഴ്ച,алхӏат кьини
552,groß::A,വലിയ,бугъарасса
553,klein::A,ചെറിയ,чӏивисса
554,lang::A,നീണ്ട,лахъисса
555,kurz::A,ഹ്രസ്വമായ,кутӏасса
556,breit::A,വിശാലമായ,уттасса
557,schmal::A,ഇടുങ്ങിയ,уттакӏюласса
558,dicht::A,നിബിഡമായ,ццунсса
559,dick[Gegenstand]::A,തടിച്ച,ганзсса
560,dünn::A,മെലിഞ്ഞ,кӏюласса
561,fein::A,നേർത്ത,
562,fest::A,ഉറപ്പുള്ള,цӏакьсса
563,fest::A,ഉറപ്പുള്ള,кьянкьасса
564,flach::A,പരന്ന,баягъисса
565,flach::A,പരന്ന,цӏубакъасса
566,flach::A,പരന്ന,куртӏ дакъасса
567,glatt::A,മിനുസമുള്ള,дюрчӏусса
568,hart::A,കട്ടിയുള്ള,кьянкьасса
569,weich::A,മൃദുവായ,кӏукӏлусса
570,rund::A,വട്ടത്തിലുള്ള,ккурккисса
571,spitz::A,മുനയുള്ള,ярксса
572,spitz::A,മുനയുള്ള,дайлсса
573,spitz::A,മുനയുള്ള,мицӏ бусса
574,scharf::A,മൂർച്ചയുള്ള,ярксса
575,scharf::A,മൂർച്ചയുള്ള,дайлсса
576,scharf::A,മൂർച്ചയുള്ള,мицӏ бусса
577,stumpf::A,തുറന്നടിക്കുന്ന,къуркъасса
578,schwer::A,ഭാരമുള്ള,кӏусса
579,schön::A,മനോഹരമായ,аьнтӏикӏасса
580,heiß::A,ചൂടുള്ള,кӏирисса
581,warm::A,ചൂടുള്ള,гъелисса
582,kalt::A,തണുത്ത,дяркъусса
583,kühl::A,തണുപ്പുള്ള,дюхлулсса
584,frisch::A,ശുദ്ധമായ,цӏусса
585,feucht::A,ഈറനുള്ള,атилсса
586,feucht::A,ഈറനുള്ള,хъавтусса
587,nass::A,നനഞ്ഞ,атилсса
588,nass::A,നനഞ്ഞ,хъавтусса
589,trocken::A,വരണ്ട,кьавкьсса
590,trocken::A,വരണ്ട,кьакьан бувсса
591,voll::A,നിറയെ,бувцӏусса
592,leer::A,ഒഴിഞ്ഞ,бачӏвасса
593,offen::A,തുറന്ന,тӏивтӏусса
594,geschlossen::A,അടച്ച,лавкьусса
595,sauber::A,വൃത്തിയുള്ള,марцӏсса
596,schmutzig::A,അഴുക്കുനിറഞ്ഞ,чапалсса
597,roh::A,അസംസ്കൃതമായ,шакъавхьсса
