,Concept_ID,tt,mrj
529,Lehrer::N,укытучы,тымдышы
530,Lehrer::N,мөгаллим,тымдышы
531,Geld::N,акча,окса
532,Geschäft::N,эш,торге́йӹмӓш
533,Laden::N,кибет,лапка
534,Laden::N,кибет,магазин
535,Laden::N,магазин,лапка
536,Laden::N,магазин,магазин
537,Preis::N,бәя,ӓк
538,Preis::N,бәһа,ӓк
539,Ware::N,товар,товар
540,Nutzen::N,файда,пайда
541,Reichtum::N,байлык,перке
542,Welt::N,дөнья,сӓндӓлӹк
543,Welt::N,дөнья,свет
544,Land::N,ил,сӓндӓлӹк
545,Staat::N,дәүләт,кугижӓншӹ
546,König::N,патша,король
547,Macht::N,хакимият,власть
548,Grenze::N,чик,пӹсмӓн
549,Krieg::N,сугыш,вырсы
550,Feind::N,дошман,тышман
551,Gewalt::N,көчләү,ви
552,Kampf::N,көрәш,кредӓлмӓш
553,Bogen[Waffe]::N,җәя,янгеж
554,Pfeil::N,ук,пикш
555,Gewehr::N,мылтык,пичӓл
556,Fehler::N,хата,самынь
557,Lüge::N,ялган,шая
558,Schaden::N,зыян,вре́дӓ
559,Schaden::N,зарар,вре́дӓ
560,Unglück::N,бәла,пёда
561,Unglück::N,бәла,тымаша
562,Schuld::N,гаеп,вуйнамат
563,Alter::N,яшь,иӓш
564,Alter::N,яшь,игечӹ
565,Schluss::N,ахыр,пӹтӓртӹш
566,Zeit::N,заман,веремӓ
567,Tag::N,көн,кечӹ
568,Morgen::N,иртә,ир
569,Morgen::N,иртә,ирок
570,Mittag::N,өйлә,кечӹвӓл
571,Abend::N,кич,вады
572,Nacht::N,төн,йыд
573,Woche::N,атна,ӓрня
574,Monat::N,ай,тӹ́лзӹ
575,Jahr::N,ел,год
576,Frühling::N,яз,шошым
577,Sommer::N,җәй,кӓнгӹж
578,Herbst::N,көз,шӹжӹ
579,Winter::N,кыш,тел
580,Winter::N,кыш,телӹ
581,Januar::N,гыйнвар,январ
582,Januar::N,гыйнвар,январь
583,Februar::N,февраль,февраль
584,März::N,март,март
585,April::N,апрель,апрель
586,Mai::N,май,май
587,Juni::N,июнь,июнь
588,Juli::N,июль,июль
589,August::N,август,август
590,September::N,сентябрь,сентябрь
591,Oktober::N,октябрь,октябрь
592,November::N,ноябрь,ноябрь
593,Dezember::N,декабрь,декавыр
594,Montag::N,дүшәмбе,шачмы
595,Dienstag::N,сишәмбе,кышкыжмы
596,Mittwoch::N,чәршәмбе,вӹрчегӹ
597,Donnerstag::N,атнакич,изӓрня
598,Donnerstag::N,пәнҗешәмбе,изӓрня
599,Freitag::N,җомга,когарня
600,Samstag::N,шимбә,кукшыгечӹ
601,Sonntag::N,якшәмбе,рушӓрня
602,groß::A,зур,кого
603,klein::A,кечкенә,изи
604,lang::A,озын,кужы
605,kurz::A,кыска,кӹтӹк
606,breit::A,киң,кымда
607,schmal::A,кысык,ӓнгӹсӹр
608,dicht::A,куе,шӹре
609,dick[Gegenstand]::A,калын,кӹжгӹ
610,dünn::A,нечкә,вӹцкӹж
611,fein::A,нәзакәтле,пыльга
612,fest::A,нык,цаткыды
613,flach::A,яссы,тӓлякӓ
614,flach::A,ялпак,тӓлякӓ
615,glatt::A,шома,ягылгы
616,hart::A,каты,пингӹдӹ
617,weich::A,йомшак,пышкыды
618,rund::A,түгәрәк,тӹртӹш
619,spitz::A,очлы,кашар
620,scharf::A,үткен,кашар
621,stumpf::A,үтмәс,нӹшкӹ
622,schwer::A,салмак,нелӹ
623,schön::A,гүзәл,цевер
624,schön::A,гүзәл,олмыдшы
625,heiß::A,эссе,шокшы
626,warm::A,җылы,шокшы
627,kalt::A,суык,ӱштӹ
628,kalt::A,салкын,ӱштӹ
629,kühl::A,салкынча,юалгы
630,kühl::A,салкынча,йонгата
631,frisch::A,салкынча,йонгата
632,feucht::A,юеш,ӹлӹкшӹ
633,feucht::A,юеш,вӹдӹжгӹ
634,nass::A,дымлы,начкы
635,trocken::A,коры,кукшы
636,voll::A,тулы,темшӹ
637,voll::A,тулы,темыман
638,leer::A,буш,йӓрӓ
639,offen::A,ачык,виш
640,geschlossen::A,йомык,чӱчмӹ
641,geschlossen::A,йомык,тӹкӹлӓлтшӹ
642,sauber::A,пакь,ире
643,sauber::A,чиста,ире
644,schmutzig::A,керле,шоран
645,schmutzig::A,керле,лявӹрӓн
646,schmutzig::A,керле,шорангшы
647,schmutzig::A,пычрак,шоран
648,schmutzig::A,пычрак,лявӹрӓн
649,schmutzig::A,пычрак,шорангшы
650,roh::A,чи,пеле кӱшӹ
651,reif::A,өлгергән,кӱшӹ
652,lecker::A,тәмле,тотан
653,süß::A,татлы,мӱӓн
654,bitter::A,ачы,качы
655,sauer::A,әче,шапы
656,hell::A,якты,соты
657,hell::A,якты,валгыды
658,dunkel::A,кара,пӹц
659,dunkel::A,кара,пӹцкемӹш
660,schwarz::A,кара,шим
661,weiß::A,ак,ош
662,weiß::A,ак,ошы
663,rot::A,кызыл,якшаргы
664,gelb::A,сары,сар
665,gelb::A,сары,сары
666,blau::A,күк,симсӹ
667,grün::A,яшел,ыжар
668,grau::A,соры,луды
669,bunt::A,чуар,ала
670,billig::A,арзан,шулдаш
671,teuer::A,хаклы,шергӹ
672,teuer::A,хаклы,шергӓкӓн
673,wertvoll::A,кыйммәтле,ӓкӓн
674,blind::A,сукыр,слöпöй
675,blind::A,сукыр,сльöпöй
676,blind::A,күзсез,слöпöй
677,blind::A,күзсез,сльöпöй
678,taub::A,чукрак,тӱтӱк
679,taub::A,саңгырау,тӱтӱк
680,kräftig::A,егәрле,виӓн
681,stark::A,нык,виӓн
682,stark::A,базык,виӓн
683,schwach::A,зәгыйфь,шава
684,schwach::A,зәгыйфь,лӹпкӓ
685,schwach::A,зәгыйфь,слабка
686,fett::A,симез,таза
687,schlank::A,нәзек,яштака
688,hübsch::A,чибәр,сӹлнӹ
689,hübsch::A,чибәр,олмыдшы
690,böse::A,усал,шӹдӓн
691,dumm::A,акылсыз,окмак
692,faul::A,ялкау,ялахай
693,faul::A,иренчәк,ялахай
694,fleißig::A,тырыш,пӓшам яратышы
695,fleißig::A,тырышучан,пӓшам яратышы
696,geizig::A,саран,шык
697,klug::A,акыллы,ышан
698,geschickt::A,маһир,мастар
699,lieb::A,сөекле,тыри
700,lustig::A,күңелле,мындыр
701,lustig::A,күңелле,сусу
702,sanft::A,басынкы,йӹвӹжӓ
703,hungrig::A,ач,шужышы
704,krank::A,чирле,церлӹ
705,krank::A,чирле,хворой
706,krank::A,сырхау,церлӹ
707,krank::A,сырхау,хворой
708,nackt::A,шәрә,цӓрӓ
709,traurig::A,ямансу,сы́лыкан
710,traurig::A,ямансу,кымы́лдымы
711,lebendig::A,тере,живой
712,gut::A,яхшы,яжо
713,schlecht::A,начар,уда
714,schlecht::A,начар,худа
715,richtig::A,дөрес,вургамла
716,schlimm::A,әшәкә,йӹрнык
717,wahr::A,чып-чын,настоящий
718,wahr::A,чып-чын,настояшый
719,alt::A,иске,шонгы
720,neu::A,яңа,у
721,ehemalig::A,элекке,тошты
722,alt[Lebewesen]::A,карт,ӹлалшӹ
723,jung::A,яшь,нöргӹ
724,jung::A,яшь,молода
725,arm::A,фәкыйрь,укеӓн
726,reich::A,бай,паян
727,reich::A,бай,пурлыкан
728,bekannt::A,таныш,палӹмӹ
729,berühmt::A,атаклы,лӹмлы
730,fremd::A,ят,эдемӹн
731,verschieden::A,төрле,тӹрлӹ
732,nah::A,якын,лишӹл
733,fern::A,ерак,мӹндӹр
734,linker::A,сул,шалахай
735,rechter::A,уң,вургамла
736,anderer::A,бүтән,вес
737,anderer::A,бүтән,весӹ
738,erster::A,беренче,икшӹ
739,erster::A,беренче,икӹмшӹ
740,zweiter::A,икенче,кокшы
741,dritter::A,өченче,кымшы
742,letzter::A,ахыргы,остатка
743,allein::ADV,ялгыз,иктӹ
744,allein::ADV,ялгыз,иктӹт
745,auf einmal::ADV,бердән,тöрöк
746,zusammen::ADV,бергә,икараш
747,zusammen::ADV,бергә,цымырын
748,lange::ADV,озак,кужын
749,plötzlich::ADV,искәрмәстән,трӱк
750,sofort::ADV,хәзер,полт
751,sofort::ADV,хәзер,тöрöк
