,Concept_ID,sq,no
954,sich rühren::V,lëviz,røre på seg
955,sich erheben::V,ngrihem,reise seg
956,sich setzen::V,ulem,sette sig
957,hinfallen::V,gremisem,falle over ende
958,laufen::V,eci,løpe
959,schreiten::V,çapem,skride
960,spazierengehen::V,shëtis,spasere
961,spazierengehen::V,shëtis,gå en tur
962,eilen::V,ngas,ile
963,sich beeilen::V,nxitoj,skynde seg
964,sausen::V,eci shpejt,suse
965,rennen::V,vrapoj,løpe
966,springen::V,kërcej,hoppe
967,springen::V,kërcej,springe
968,klettern::V,hipi,klatre
969,schaukeln::V,kolovitem,huske
970,kriechen::V,zvarritem,krype
971,schwimmen::V,notoj,svømme
972,tauchen::V,zhytem,dykke
973,rudern::V,vozis,ro
974,fahren::V,shkoj,kjøre
975,fliegen::V,fluturoj,fly
976,gehen::V,eci,gå
977,gehen::V,shkoj,gå
978,weggehen::V,vete,gå bort
979,abfahren::V,nisem,reise
980,anhalten::V,ndalem,stanse
981,hineingehen::V,futem,gå inn
982,eintreten::V,hyj,tre inn
983,kommen::V,vij,komme
984,ankommen::V,arrij,ankomme
985,ankommen::V,arrij,komme til
986,ankommen::V,mbërrij,ankomme
987,ankommen::V,mbërrij,komme til
988,zurückkommen::V,kthehem,komme tilbake
989,bleiben::V,mbetem,bli
990,bleiben::V,mbetem,forbli
