,Concept_ID,mdf,cv
542,Buchstabe::N,бу́ква,сас палли
543,Zeitung::N,газе́та,хаҫат
544,Leben::N,эряф,пурнӑҫ
545,Leben::N,эряма,пурнӑҫ
546,Tod::N,кулома́,вилӗм
547,Grab::N,калма,масар шӑтӑкӗ
548,Kirche::N,це́рькав,чиркӳ
549,Sünde::N,пежеть,ҫылӑх
550,Sünde::N,муворкс,ҫылӑх
551,Gott::N,шкай,турӑ
552,Arbeiter::N,трудендай,рабочи
553,Arbeiter::N,работник,рабочи
554,Chef::N,азор,пуҫлӑх
555,Chef::N,оцюня,пуҫлӑх
556,Meister::N,мастяр,ӑста
557,Meister::N,мастяр,мастер
558,Arzt::N,врач,врач
559,Arzt::N,врач,тухтӑр
560,Arzt::N,доктор,врач
561,Arzt::N,доктор,тухтӑр
562,Lehrer::N,учи́тель,учитель
563,Lehrer::N,учи́тель,вӗрентекен
564,Geld::N,ярмакт,укҫа
565,Geschäft::N,ладяфкс,бизнес
566,Geschäft::N,ладяф тев,бизнес
567,Laden::N,ла́вка,магазин
568,Preis::N,питне,хак
569,Ware::N,миф,тавар
570,Ware::N,ра́маф,тавар
571,Nutzen::N,пара,пайта
572,Nutzen::N,лезкс,пайта
573,Reichtum::N,ко́зяши,мул
574,Welt::N,свет,тӗнче
575,Land::N,мастор,ҫӗр-шыв
576,Staat::N,государства,патшàлӑх
577,König::N,король,король
578,Macht::N,азорондама,власть
579,Macht::N,азорксши,власть
580,Grenze::N,ёткаян,чикӗ
581,Krieg::N,война́,вӑрҫӑ
582,Feind::N,душман,тӑшман
583,Feind::N,каршек тюри,тӑшман
584,Gewalt::N,наругама,ирӗксӗрлӳ
585,Kampf::N,тюрема́,кӗрешӳ
586,Bogen[Waffe]::N,нал,ухӑ
587,Pfeil::N,нал,ҫӗмрен
588,Pfeil::N,нал,ухӑ йӗппи
589,Gewehr::N,винто́вка,пӑшал
590,Fehler::N,эльбядькс,йӑнӑш
591,Lüge::N,васькафнема,суя
592,Lüge::N,васькафнема,ултав
593,Schaden::N,зия́н,сиен
594,Unglück::N,зия́н,шар
595,Unglück::N,зия́н,инкек
596,Schuld::N,муворши,айӑп
597,Alter::N,эряф кизот,ҫул шучӗ
598,Alter::N,эряфонь пинге,ҫул шучӗ
599,Schluss::N,пе,пӗтни
600,Schluss::N,пе,пӗтмӗш
601,Zeit::N,пинге,вӑхӑт
602,Tag::N,ши,кун
603,Morgen::N,шобдава,ир
604,Mittag::N,шикучка,кӑнтӑрла
605,Abend::N,иля́дь,каҫ
606,Nacht::N,ве,каҫ
607,Woche::N,недя́ля,эрне
608,Monat::N,ков,уйӑх
609,Jahr::N,киза,ҫулталӑк
610,Frühling::N,тунда́,ҫур
611,Frühling::N,тунда́,ҫуркунне
612,Sommer::N,киза,ҫу
613,Sommer::N,киза,ҫулла
614,Herbst::N,сёксе,кӗр
615,Herbst::N,сёксе,кӗркунне
616,Winter::N,тяла,хӗл
617,Winter::N,тяла,хӗлле
618,Januar::N,кельмеков,январь
619,Februar::N,уфайков,февраль
620,Februar::N,уфайков,кӗҫӗн кӑрлач
621,März::N,марайков,март
622,März::N,марайков,пуш уйӑхӗ
623,April::N,шудиков,апрель
624,Mai::N,панжиков,май
625,Juni::N,лямбеков,июнь
626,Juli::N,псиков,июль
627,August::N,сёроньков,август
628,September::N,тюжягов,сентябрь
629,September::N,тюжягов,авӑн уйӑхӗ
630,Oktober::N,кельмазаков,октябрь
631,November::N,эйндамков,ноябрь
632,Dezember::N,кучкаков,раштав
633,Dezember::N,кучкаков,декабрь
634,Montag::N,одговши,тунти кун
635,Dienstag::N,ша́вши,ытлари кун
636,Mittwoch::N,вержи,юн кун
637,Donnerstag::N,шува́ланя,кӗҫнерни кун
638,Freitag::N,пя́денця,эрне кун
639,Samstag::N,ёткши,шӑмат кун
640,Sonntag::N,таргоши,вырсарни кун
641,groß::A,оцю,пысӑк
642,klein::A,ёмла,пӗчӗк
643,lang::A,кува́ка,вӑрӑм
644,kurz::A,нюрьхкя́ня,кӗске
645,breit::A,кели,сарлака
646,schmal::A,тяйня,ансӑр
647,dicht::A,сиде,йӑвӑ
648,dicht::A,туста,йӑвӑ
649,dick[Gegenstand]::A,эчке,хулӑн
650,dünn::A,шува́ня,ҫинҫе
651,dünn::A,шува́ня,ҫӳхе
652,fein::A,шува́ня,тарай
653,fein::A,шува́ня,вӗлтӗрти
654,fest::A,кеме,тӗреклӗ
655,flach::A,лапш,лаптак
656,glatt::A,вадяв,такӑр
657,glatt::A,такор,такӑр
658,hart::A,калгода,хытӑ
659,weich::A,ляпе,ҫемҫе
660,rund::A,кру́глай,ҫавра
661,spitz::A,ботаз,шӗвӗр
662,spitz::A,оржа,шӗвӗр
663,scharf::A,оржа,ҫивӗч
664,stumpf::A,ношка,мӑка
665,stumpf::A,ношка,пуклак
666,stumpf::A,ношка,тӗрӗнчӗк
667,stumpf::A,ношка,ӑнкарусӑр
668,schwer::A,стака,йывӑр
669,schön::A,мазы,илемлӗ
670,heiß::A,пси,вӗри
671,warm::A,лямбе,ӑшӑ
672,kalt::A,кельме,сивӗ
673,kühl::A,эше,уҫӑ
674,frisch::A,свежай,уҫӑ
675,feucht::A,летьке,йӗпе
676,nass::A,начка,нӳрӗ
677,trocken::A,коське,типӗ
678,voll::A,пяшксе,тулли
679,leer::A,шава,пушӑ
680,offen::A,панжада,уҫӑ
681,offen::A,виде,уҫӑ
682,geschlossen::A,пякстаф,хупӑ
683,geschlossen::A,сёлгф,хупӑ
684,sauber::A,ару,таса
685,schmutzig::A,рда́зу,пылчӑклӑ
686,schmutzig::A,рда́зу,вараланчӑк
687,schmutzig::A,пя́ндра,пылчӑклӑ
688,schmutzig::A,пя́ндра,вараланчӑк
689,roh::A,верок,чӗрӗ
690,reif::A,ке́нерьф,пулнӑ
691,reif::A,ке́нерьф,пиҫӗхнӗ
692,reif::A,ке́нерьф,аталаннӑ
693,reif::A,ке́нерьф,пиҫсе ҫитнӗ
694,lecker::A,танцти,тутлӑ
695,lecker::A,танцти,техӗмлӗ
696,süß::A,ламбама,пылак
697,bitter::A,сяпи,йӳҫӗ
698,sauer::A,шапама,йӳҫӗ
699,sauer::A,шапама,йӳҫек
700,sauer::A,шапама,кӑвасак
701,hell::A,валда,ҫутӑ
702,dunkel::A,шобда,тӗттӗм
703,schwarz::A,равжа,хура
704,weiß::A,акша,шурӑ
705,rot::A,якстерь,хӗрлӗ
706,gelb::A,тюжя́,сарӑ
707,blau::A,сенем,кӑвак
708,grün::A,пиже,симӗс
709,grün::A,пиже,пиҫмен
